,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2022-11-07-18-kentucky.html,"Mon, Nov 7, 2022",6:30p,REG,/cbb/schools/howard/men/2023.html,Howard,/cbb/conferences/meac/men/2023.html,MEAC,-5.04,W,95,63,1,0,W 1,Rupp Arena,/cbb/schools/kentucky/men/2023.html,,
1,/cbb/boxscores/2022-11-11-19-kentucky.html,"Fri, Nov 11, 2022",7:00p,REG,/cbb/schools/duquesne/men/2023.html,Duquesne,/cbb/conferences/atlantic-10/men/2023.html,A-10,3.48,W,77,52,2,0,W 2,Rupp Arena,/cbb/schools/kentucky/men/2023.html,,
2,/cbb/boxscores/2022-11-15-19-kentucky.html,"Tue, Nov 15, 2022",7:00p,REG,/cbb/schools/michigan-state/men/2023.html,Michigan State,/cbb/conferences/big-ten/men/2023.html,Big Ten,14.25,L,77,86,2,1,L 1,Gainbridge Fieldhouse,/cbb/schools/kentucky/men/2023.html,N,2OT
3,/cbb/boxscores/2022-11-17-19-kentucky.html,"Thu, Nov 17, 2022",7:00p,REG,/cbb/schools/south-carolina-state/men/2023.html,South Carolina State,/cbb/conferences/meac/men/2023.html,MEAC,-16.73,W,106,63,3,1,W 1,Rupp Arena,/cbb/schools/kentucky/men/2023.html,,
4,/cbb/boxscores/2022-11-20-19-gonzaga.html,"Sun, Nov 20, 2022",7:30p,REG,/cbb/schools/gonzaga/men/2023.html,Gonzaga,/cbb/conferences/wcc/men/2023.html,WCC,18.99,L,72,88,3,2,L 1,Spokane Veterans Memorial Arena,/cbb/schools/kentucky/men/2023.html,@,
5,/cbb/boxscores/2022-11-23-00-kentucky.html,"Wed, Nov 23, 2022",4:00p,REG,/cbb/schools/north-florida/men/2023.html,North Florida,/cbb/conferences/atlantic-sun/men/2023.html,A-Sun,-6.75,W,96,56,4,2,W 1,Rupp Arena,/cbb/schools/kentucky/men/2023.html,,
6,/cbb/boxscores/2022-11-29-00-kentucky.html,"Tue, Nov 29, 2022",7:00p,REG,/cbb/schools/bellarmine/men/2023.html,Bellarmine,/cbb/conferences/atlantic-sun/men/2023.html,A-Sun,-7.42,W,60,41,5,2,W 2,Rupp Arena,/cbb/schools/kentucky/men/2023.html,,
7,/cbb/boxscores/2022-12-04-13-kentucky.html,"Sun, Dec 4, 2022",1:00p,REG,/cbb/schools/michigan/men/2023.html,Michigan,/cbb/conferences/big-ten/men/2023.html,Big Ten,12.43,W,73,69,6,2,W 3,The O2 Arena,/cbb/schools/kentucky/men/2023.html,N,
8,/cbb/boxscores/2022-12-10-00-kentucky.html,"Sat, Dec 10, 2022",1:00p,REG,/cbb/schools/yale/men/2023.html,Yale,/cbb/conferences/ivy/men/2023.html,Ivy,7.81,W,69,59,7,2,W 4,Rupp Arena,/cbb/schools/kentucky/men/2023.html,,
9,/cbb/boxscores/2022-12-17-20-kentucky.html,"Sat, Dec 17, 2022",5:15p,REG,/cbb/schools/ucla/men/2023.html,UCLA,/cbb/conferences/pac-12/men/2023.html,Pac-12,22.11,L,53,63,7,3,L 1,Madison Square Garden (IV),/cbb/schools/kentucky/men/2023.html,N,
