,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs,overtimes
0,/cbb/boxscores/2022-11-07-20-louisiana-lafayette.html,"Mon, Nov 7, 2022",8:00p,REG,Centenary (LA),,W,106,55,1,0,W 1,Cajundome,/cbb/schools/louisiana-lafayette/men/2023.html,,,,,
1,/cbb/boxscores/2022-11-11-18-harvard.html,"Fri, Nov 11, 2022",6:00p,REG,Harvard,Ivy,W,75,61,2,0,W 2,Harrah's Cherokee Center,/cbb/schools/louisiana-lafayette/men/2023.html,N,/cbb/schools/harvard/men/2023.html,/cbb/conferences/ivy/men/2023.html,-0.71,
2,/cbb/boxscores/2022-11-13-16-east-tennessee-state.html,"Sun, Nov 13, 2022",4:30p,REG,East Tennessee State,Southern,W,81,77,3,0,W 3,Harrah's Cherokee Center,/cbb/schools/louisiana-lafayette/men/2023.html,N,/cbb/schools/east-tennessee-state/men/2023.html,/cbb/conferences/southern/men/2023.html,-6.00,
3,/cbb/boxscores/2022-11-17-20-louisiana-lafayette.html,"Thu, Nov 17, 2022",8:00p,REG,Louisiana Tech,CUSA,W,94,88,4,0,W 4,Cajundome,/cbb/schools/louisiana-lafayette/men/2023.html,,/cbb/schools/louisiana-tech/men/2023.html,/cbb/conferences/cusa/men/2023.html,0.10,
4,/cbb/boxscores/2022-11-22-20-southern-methodist.html,"Tue, Nov 22, 2022",8:30p,REG,Southern Methodist,AAC,W,76,72,5,0,W 5,Moody Coliseum,/cbb/schools/louisiana-lafayette/men/2023.html,@,/cbb/schools/southern-methodist/men/2023.html,/cbb/conferences/aac/men/2023.html,-0.12,OT
5,/cbb/boxscores/2022-11-26-01-drake.html,"Sat, Nov 26, 2022",6:00p,REG,Drake,MVC,L,64,76,5,1,L 1,Knapp Center,/cbb/schools/louisiana-lafayette/men/2023.html,@,/cbb/schools/drake/men/2023.html,/cbb/conferences/mvc/men/2023.html,7.84,
6,/cbb/boxscores/2022-11-29-20-louisiana-lafayette.html,"Tue, Nov 29, 2022",8:00p,REG,Loyola (LA),,W,104,70,6,1,W 1,Cajundome,/cbb/schools/louisiana-lafayette/men/2023.html,,,,,
7,/cbb/boxscores/2022-12-03-17-new-orleans.html,"Sat, Dec 3, 2022",5:00p,REG,New Orleans,Southland,W,78,77,7,1,W 2,Kiefer Lakefront Arena,/cbb/schools/louisiana-lafayette/men/2023.html,@,/cbb/schools/new-orleans/men/2023.html,/cbb/conferences/southland/men/2023.html,-14.23,
8,/cbb/boxscores/2022-12-10-20-louisiana-lafayette.html,"Sat, Dec 10, 2022",8:00p,REG,Samford,Southern,W,75,58,8,1,W 3,Cajundome,/cbb/schools/louisiana-lafayette/men/2023.html,,/cbb/schools/samford/men/2023.html,/cbb/conferences/southern/men/2023.html,0.50,
9,/cbb/boxscores/2022-12-12-20-louisiana-lafayette.html,"Mon, Dec 12, 2022",8:00p,REG,Louisiana Christian University,,W,98,63,9,1,W 4,Cajundome,/cbb/schools/louisiana-lafayette/men/2023.html,,,,,
