,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2022-11-07-19-maryland.html,"Mon, Nov 7, 2022",7:00p,REG,/cbb/schools/niagara/men/2023.html,Niagara,/cbb/conferences/maac/men/2023.html,MAAC,-6.78,W,71,49,1,0,W 1,Xfinity Center,/cbb/schools/maryland/men/2023.html,,
1,/cbb/boxscores/2022-11-10-19-maryland.html,"Thu, Nov 10, 2022",7:00p,REG,/cbb/schools/western-carolina/men/2023.html,Western Carolina,/cbb/conferences/southern/men/2023.html,Southern,-6.34,W,71,51,2,0,W 2,Xfinity Center,/cbb/schools/maryland/men/2023.html,,
2,/cbb/boxscores/2022-11-15-19-maryland.html,"Tue, Nov 15, 2022",7:00p,REG,/cbb/schools/binghamton/men/2023.html,Binghamton,/cbb/conferences/america-east/men/2023.html,AEC,-10.44,W,76,52,3,0,W 3,Xfinity Center,/cbb/schools/maryland/men/2023.html,,
3,/cbb/boxscores/2022-11-19-13-maryland.html,"Sat, Nov 19, 2022",1:00p,REG,/cbb/schools/saint-louis/men/2023.html,Saint Louis,/cbb/conferences/atlantic-10/men/2023.html,A-10,6.04,W,95,67,4,0,W 4,Mohegan Sun Arena,/cbb/schools/maryland/men/2023.html,N,
4,/cbb/boxscores/2022-11-20-13-maryland.html,"Sun, Nov 20, 2022",1:00p,REG,/cbb/schools/miami-fl/men/2023.html,Miami (FL),/cbb/conferences/acc/men/2023.html,ACC,13.98,W,88,70,5,0,W 5,Mohegan Sun Arena,/cbb/schools/maryland/men/2023.html,N,
5,/cbb/boxscores/2022-11-25-16-maryland.html,"Fri, Nov 25, 2022",4:00p,REG,/cbb/schools/coppin-state/men/2023.html,Coppin State,/cbb/conferences/meac/men/2023.html,MEAC,-14.76,W,95,79,6,0,W 6,Xfinity Center,/cbb/schools/maryland/men/2023.html,,
6,/cbb/boxscores/2022-11-29-19-louisville.html,"Tue, Nov 29, 2022",7:00p,REG,/cbb/schools/louisville/men/2023.html,Louisville,/cbb/conferences/acc/men/2023.html,ACC,-5.39,W,79,54,7,0,W 7,KFC Yum! Center,/cbb/schools/maryland/men/2023.html,@,
7,/cbb/boxscores/2022-12-02-19-maryland.html,"Fri, Dec 2, 2022",9:00p,REG,/cbb/schools/illinois/men/2023.html,Illinois,/cbb/conferences/big-ten/men/2023.html,Big Ten,14.81,W,71,66,8,0,W 8,Xfinity Center,/cbb/schools/maryland/men/2023.html,,
8,/cbb/boxscores/2022-12-06-21-wisconsin.html,"Tue, Dec 6, 2022",9:00p,REG,/cbb/schools/wisconsin/men/2023.html,Wisconsin,/cbb/conferences/big-ten/men/2023.html,Big Ten,10.98,L,59,64,8,1,L 1,,/cbb/schools/maryland/men/2023.html,@,
9,/cbb/boxscores/2022-12-11-16-maryland.html,"Sun, Dec 11, 2022",4:30p,REG,/cbb/schools/tennessee/men/2023.html,Tennessee,/cbb/conferences/sec/men/2023.html,SEC,20.84,L,53,56,8,2,L 2,Barclays Center,/cbb/schools/maryland/men/2023.html,N,
10,/cbb/boxscores/2022-12-14-21-maryland.html,"Wed, Dec 14, 2022",9:00p,REG,/cbb/schools/ucla/men/2023.html,UCLA,/cbb/conferences/pac-12/men/2023.html,Pac-12,22.11,L,60,87,8,3,L 3,Xfinity Center,/cbb/schools/maryland/men/2023.html,,
11,/cbb/boxscores/2022-12-22-18-maryland.html,"Thu, Dec 22, 2022",6:30p,REG,/cbb/schools/saint-peters/men/2023.html,Saint Peter's,/cbb/conferences/maac/men/2023.html,MAAC,-9.90,W,75,45,9,3,W 1,Xfinity Center,/cbb/schools/maryland/men/2023.html,,
12,/cbb/boxscores/2022-12-29-19-maryland.html,"Thu, Dec 29, 2022",7:00p,REG,/cbb/schools/maryland-baltimore-county/men/2023.html,Maryland-Baltimore County,/cbb/conferences/america-east/men/2023.html,AEC,-6.22,W,80,64,10,3,W 2,Xfinity Center,/cbb/schools/maryland/men/2023.html,,
13,/cbb/boxscores/2023-01-01-16-michigan.html,"Sun, Jan 1, 2023",4:30p,REG,/cbb/schools/michigan/men/2023.html,Michigan,/cbb/conferences/big-ten/men/2023.html,Big Ten,12.43,L,46,81,10,4,L 1,Crisler Center,/cbb/schools/maryland/men/2023.html,@,
14,/cbb/boxscores/2023-01-05-18-rutgers.html,"Thu, Jan 5, 2023",6:30p,REG,/cbb/schools/rutgers/men/2023.html,Rutgers,/cbb/conferences/big-ten/men/2023.html,Big Ten,14.58,L,50,64,10,5,L 2,Jersey Mike's Arena,/cbb/schools/maryland/men/2023.html,@,
