,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2022-11-07-19-mississippi-state.html,"Mon, Nov 7, 2022",7:30p,REG,/cbb/schools/texas-am-corpus-christi/men/2023.html,Texas A&M-Corpus Christi,/cbb/conferences/southland/men/2023.html,Southland,-2.57,W,63,44,1,0,W 1,Humphrey Coliseum,/cbb/schools/mississippi-state/men/2023.html,,
1,/cbb/boxscores/2022-11-11-19-akron.html,"Fri, Nov 11, 2022",7:00p,REG,/cbb/schools/akron/men/2023.html,Akron,/cbb/conferences/mac/men/2023.html,MAC,4.19,W,73,54,2,0,W 2,Wells Fargo Center,/cbb/schools/mississippi-state/men/2023.html,N,
2,/cbb/boxscores/2022-11-13-15-mississippi-state.html,"Sun, Nov 13, 2022",3:00p,REG,/cbb/schools/arkansas-pine-bluff/men/2023.html,Arkansas-Pine Bluff,/cbb/conferences/swac/men/2023.html,SWAC,-12.99,W,80,47,3,0,W 3,Humphrey Coliseum,/cbb/schools/mississippi-state/men/2023.html,,
3,/cbb/boxscores/2022-11-17-21-mississippi-state.html,"Thu, Nov 17, 2022",9:00p,REG,/cbb/schools/south-dakota/men/2023.html,South Dakota,/cbb/conferences/summit/men/2023.html,Summit,-9.87,W,79,42,4,0,W 4,Humphrey Coliseum,/cbb/schools/mississippi-state/men/2023.html,,
4,/cbb/boxscores/2022-11-21-20-marquette.html,"Mon, Nov 21, 2022",8:30p,REG,/cbb/schools/marquette/men/2023.html,Marquette,/cbb/conferences/big-east/men/2023.html,Big East,17.07,W,58,55,5,0,W 5,Suncoast Credit Union Arena,/cbb/schools/mississippi-state/men/2023.html,N,
5,/cbb/boxscores/2022-11-23-20-mississippi-state.html,"Wed, Nov 23, 2022",8:30p,REG,/cbb/schools/utah/men/2023.html,Utah,/cbb/conferences/pac-12/men/2023.html,Pac-12,11.34,W,52,49,6,0,W 6,Suncoast Credit Union Arena,/cbb/schools/mississippi-state/men/2023.html,N,
6,/cbb/boxscores/2022-11-28-19-mississippi-state.html,"Mon, Nov 28, 2022",7:30p,REG,/cbb/schools/nebraska-omaha/men/2023.html,Omaha,/cbb/conferences/summit/men/2023.html,Summit,-10.80,W,74,54,7,0,W 7,Humphrey Coliseum,/cbb/schools/mississippi-state/men/2023.html,,
7,/cbb/boxscores/2022-12-03-14-mississippi-state.html,"Sat, Dec 3, 2022",2:00p,REG,/cbb/schools/mississippi-valley-state/men/2023.html,Mississippi Valley State,/cbb/conferences/swac/men/2023.html,SWAC,-18.28,W,82,52,8,0,W 8,Humphrey Coliseum,/cbb/schools/mississippi-state/men/2023.html,,
8,/cbb/boxscores/2022-12-11-20-minnesota.html,"Sun, Dec 11, 2022",8:30p,REG,/cbb/schools/minnesota/men/2023.html,Minnesota,/cbb/conferences/big-ten/men/2023.html,Big Ten,-0.30,W,69,51,9,0,W 9,Williams Arena,/cbb/schools/mississippi-state/men/2023.html,@,
9,/cbb/boxscores/2022-12-14-19-jackson-state.html,"Wed, Dec 14, 2022",7:30p,REG,/cbb/schools/jackson-state/men/2023.html,Jackson State,/cbb/conferences/swac/men/2023.html,SWAC,-11.36,W,69,59,10,0,W 10,Mississippi Coliseum,/cbb/schools/mississippi-state/men/2023.html,N,
10,/cbb/boxscores/2022-12-17-15-mississippi-state.html,"Sat, Dec 17, 2022",3:00p,REG,/cbb/schools/nicholls-state/men/2023.html,Nicholls State,/cbb/conferences/southland/men/2023.html,Southland,-8.54,W,68,66,11,0,W 11,Humphrey Coliseum,/cbb/schools/mississippi-state/men/2023.html,,
11,/cbb/boxscores/2022-12-20-17-drake.html,"Tue, Dec 20, 2022",5:00p,REG,/cbb/schools/drake/men/2023.html,Drake,/cbb/conferences/mvc/men/2023.html,MVC,7.84,L,52,58,11,1,L 1,Pinnacle Bank Arena,/cbb/schools/mississippi-state/men/2023.html,N,
12,/cbb/boxscores/2022-12-28-21-mississippi-state.html,"Wed, Dec 28, 2022",9:00p,REG,/cbb/schools/alabama/men/2023.html,Alabama,/cbb/conferences/sec/men/2023.html,SEC,23.19,L,67,78,11,2,L 2,Humphrey Coliseum,/cbb/schools/mississippi-state/men/2023.html,,
13,/cbb/boxscores/2023-01-03-20-tennessee.html,"Tue, Jan 3, 2023",7:00p,REG,/cbb/schools/tennessee/men/2023.html,Tennessee,/cbb/conferences/sec/men/2023.html,SEC,20.84,L,53,87,11,3,L 3,Thompson-Boling Arena,/cbb/schools/mississippi-state/men/2023.html,@,
14,/cbb/boxscores/2023-01-07-14-mississippi-state.html,"Sat, Jan 7, 2023",2:00p,REG,/cbb/schools/mississippi/men/2023.html,Mississippi,/cbb/conferences/sec/men/2023.html,SEC,5.73,W,64,54,12,3,W 1,Humphrey Coliseum,/cbb/schools/mississippi-state/men/2023.html,,
15,/cbb/boxscores/2023-01-11-18-georgia.html,"Wed, Jan 11, 2023",6:30p,REG,/cbb/schools/georgia/men/2023.html,Georgia,/cbb/conferences/sec/men/2023.html,SEC,1.80,L,50,58,12,4,L 1,Stegeman Coliseum,/cbb/schools/mississippi-state/men/2023.html,@,
16,/cbb/boxscores/2023-01-14-20-auburn.html,"Sat, Jan 14, 2023",8:30p,REG,/cbb/schools/auburn/men/2023.html,Auburn,/cbb/conferences/sec/men/2023.html,SEC,14.35,L,63,69,12,5,L 2,Neville Arena,/cbb/schools/mississippi-state/men/2023.html,@,
17,/cbb/boxscores/2023-01-17-19-mississippi-state.html,"Tue, Jan 17, 2023",7:00p,REG,/cbb/schools/tennessee/men/2023.html,Tennessee,/cbb/conferences/sec/men/2023.html,SEC,20.84,L,59,70,12,6,L 3,Humphrey Coliseum,/cbb/schools/mississippi-state/men/2023.html,,
18,/cbb/boxscores/2023-01-21-20-mississippi-state.html,"Sat, Jan 21, 2023",8:30p,REG,/cbb/schools/florida/men/2023.html,Florida,/cbb/conferences/sec/men/2023.html,SEC,10.90,L,59,61,12,7,L 4,Humphrey Coliseum,/cbb/schools/mississippi-state/men/2023.html,,
19,/cbb/boxscores/2023-01-25-21-alabama.html,"Wed, Jan 25, 2023",9:00p,REG,/cbb/schools/alabama/men/2023.html,Alabama,/cbb/conferences/sec/men/2023.html,SEC,23.19,L,63,66,12,8,L 5,Coleman Coliseum,/cbb/schools/mississippi-state/men/2023.html,@,
20,/cbb/boxscores/2023-01-28-16-mississippi-state.html,"Sat, Jan 28, 2023",4:00p,REG,/cbb/schools/texas-christian/men/2023.html,TCU,/cbb/conferences/big-12/men/2023.html,Big 12,15.61,W,81,74,13,8,W 1,Humphrey Coliseum,/cbb/schools/mississippi-state/men/2023.html,,OT
21,/cbb/boxscores/2023-01-31-19-south-carolina.html,"Tue, Jan 31, 2023",6:30p,REG,/cbb/schools/south-carolina/men/2023.html,South Carolina,/cbb/conferences/sec/men/2023.html,SEC,-2.28,W,66,51,14,8,W 2,Colonial Life Arena,/cbb/schools/mississippi-state/men/2023.html,@,
22,/cbb/boxscores/2023-02-04-18-mississippi-state.html,"Sat, Feb 4, 2023",6:00p,REG,/cbb/schools/missouri/men/2023.html,Missouri,/cbb/conferences/sec/men/2023.html,SEC,11.41,W,63,52,15,8,W 3,Humphrey Coliseum,/cbb/schools/mississippi-state/men/2023.html,,
23,/cbb/boxscores/2023-02-08-21-mississippi-state.html,"Wed, Feb 8, 2023",9:00p,REG,/cbb/schools/louisiana-state/men/2023.html,Louisiana State,/cbb/conferences/sec/men/2023.html,SEC,3.32,W,64,53,16,8,W 4,Humphrey Coliseum,/cbb/schools/mississippi-state/men/2023.html,,
24,/cbb/boxscores/2023-02-11-18-arkansas.html,"Sat, Feb 11, 2023",6:00p,REG,/cbb/schools/arkansas/men/2023.html,Arkansas,/cbb/conferences/sec/men/2023.html,SEC,15.99,W,70,64,17,8,W 5,Bud Walton Arena,/cbb/schools/mississippi-state/men/2023.html,@,
25,/cbb/boxscores/2023-02-15-20-mississippi-state.html,"Wed, Feb 15, 2023",8:30p,REG,/cbb/schools/kentucky/men/2023.html,Kentucky,/cbb/conferences/sec/men/2023.html,SEC,14.76,L,68,71,17,9,L 1,Humphrey Coliseum,/cbb/schools/mississippi-state/men/2023.html,,
