,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2022-11-07-20-missouri.html,"Mon, Nov 7, 2022",8:00p,REG,/cbb/schools/southern-indiana/men/2023.html,Southern Indiana,/cbb/conferences/ovc/men/2023.html,OVC,-8.87,W,97,91,1,0,W 1,Mizzou Arena,/cbb/schools/missouri/men/2023.html,,
1,/cbb/boxscores/2022-11-11-01-missouri.html,"Fri, Nov 11, 2022",8:00p,REG,/cbb/schools/pennsylvania/men/2023.html,Pennsylvania,/cbb/conferences/ivy/men/2023.html,Ivy,0.85,W,92,85,2,0,W 2,Mizzou Arena,/cbb/schools/missouri/men/2023.html,,
2,/cbb/boxscores/2022-11-13-01-missouri.html,"Sun, Nov 13, 2022",6:00p,REG,/cbb/schools/lindenwood/men/2023.html,Lindenwood,/cbb/conferences/ovc/men/2023.html,OVC,-14.80,W,82,53,3,0,W 3,Mizzou Arena,/cbb/schools/missouri/men/2023.html,,
3,/cbb/boxscores/2022-11-15-01-missouri.html,"Tue, Nov 15, 2022",8:00p,REG,/cbb/schools/southern-illinois-edwardsville/men/2023.html,Southern Illinois-Edwardsville,/cbb/conferences/ovc/men/2023.html,OVC,-6.45,W,105,80,4,0,W 4,Mizzou Arena,/cbb/schools/missouri/men/2023.html,,
4,/cbb/boxscores/2022-11-20-01-missouri.html,"Sun, Nov 20, 2022",7:30p,REG,/cbb/schools/mississippi-valley-state/men/2023.html,Mississippi Valley State,/cbb/conferences/swac/men/2023.html,SWAC,-18.28,W,83,62,5,0,W 5,Mizzou Arena,/cbb/schools/missouri/men/2023.html,,
5,/cbb/boxscores/2022-11-23-01-missouri.html,"Wed, Nov 23, 2022",7:00p,REG,/cbb/schools/coastal-carolina/men/2023.html,Coastal Carolina,/cbb/conferences/sun-belt/men/2023.html,Sun Belt,-8.93,W,89,51,6,0,W 6,Mizzou Arena,/cbb/schools/missouri/men/2023.html,,
6,/cbb/boxscores/2022-11-26-01-missouri.html,"Sat, Nov 26, 2022",12:00p,REG,/cbb/schools/houston-baptist/men/2023.html,Houston Christian,/cbb/conferences/southland/men/2023.html,Southland,-17.18,W,105,69,7,0,W 7,Mizzou Arena,/cbb/schools/missouri/men/2023.html,,
7,/cbb/boxscores/2022-11-29-20-wichita-state.html,"Tue, Nov 29, 2022",8:00p,REG,/cbb/schools/wichita-state/men/2023.html,Wichita State,/cbb/conferences/aac/men/2023.html,AAC,5.78,W,88,84,8,0,W 8,Charles Koch Arena,/cbb/schools/missouri/men/2023.html,@,OT
8,/cbb/boxscores/2022-12-04-01-missouri.html,"Sun, Dec 4, 2022",4:00p,REG,/cbb/schools/southeast-missouri-state/men/2023.html,Southeast Missouri State,/cbb/conferences/ovc/men/2023.html,OVC,-7.40,W,96,89,9,0,W 9,Mizzou Arena,/cbb/schools/missouri/men/2023.html,,
9,/cbb/boxscores/2022-12-10-01-missouri.html,"Sat, Dec 10, 2022",5:15p,REG,/cbb/schools/kansas/men/2023.html,Kansas,/cbb/conferences/big-12/men/2023.html,Big 12,19.20,L,67,95,9,1,L 1,Mizzou Arena,/cbb/schools/missouri/men/2023.html,,
