,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2022-11-07-21-grand-canyon.html,"Mon, Nov 7, 2022",9:00p,REG,@,/cbb/schools/grand-canyon/men/2023.html,Grand Canyon,/cbb/conferences/wac/men/2023.html,WAC,4.43,L,54,60,0,1,L 1,GCU Arena,/cbb/schools/montana-state/men/2023.html,
1,/cbb/boxscores/2022-11-13-19-long-beach-state.html,"Sun, Nov 13, 2022",7:00p,REG,@,/cbb/schools/long-beach-state/men/2023.html,Long Beach State,/cbb/conferences/big-west/men/2023.html,Big West,-0.58,W,70,57,1,1,W 1,The Walter Pyramid,/cbb/schools/montana-state/men/2023.html,
2,/cbb/boxscores/2022-11-15-18-oregon.html,"Tue, Nov 15, 2022",9:00p,REG,@,/cbb/schools/oregon/men/2023.html,Oregon,/cbb/conferences/pac-12/men/2023.html,Pac-12,13.83,L,51,81,1,2,L 1,Matthew Knight Arena,/cbb/schools/montana-state/men/2023.html,
3,/cbb/boxscores/2022-11-18-02-montana-state.html,"Fri, Nov 18, 2022",7:30p,REG,,,Warner Pacific,,,,W,106,64,2,2,W 1,Worthington Arena,/cbb/schools/montana-state/men/2023.html,
4,/cbb/boxscores/2022-11-20-14-north-dakota.html,"Sun, Nov 20, 2022",2:00p,REG,@,/cbb/schools/north-dakota/men/2023.html,North Dakota,/cbb/conferences/summit/men/2023.html,Summit,-7.60,W,81,71,3,2,W 2,Betty Engelstad Sioux Center,/cbb/schools/montana-state/men/2023.html,
5,/cbb/boxscores/2022-11-25-16-montana-state.html,"Fri, Nov 25, 2022",4:30p,REG,N,/cbb/schools/north-carolina-greensboro/men/2023.html,UNC Greensboro,/cbb/conferences/southern/men/2023.html,Southern,1.66,L,66,77,3,3,L 1,Place Bell,/cbb/schools/montana-state/men/2023.html,
6,/cbb/boxscores/2022-11-26-19-montana-state.html,"Sat, Nov 26, 2022",7:00p,REG,N,/cbb/schools/quinnipiac/men/2023.html,Quinnipiac,/cbb/conferences/maac/men/2023.html,MAAC,-2.43,L,53,70,3,4,L 2,Place Bell,/cbb/schools/montana-state/men/2023.html,
7,/cbb/boxscores/2022-11-27-13-middle-tennessee.html,"Sun, Nov 27, 2022",1:30p,REG,N,/cbb/schools/middle-tennessee/men/2023.html,Middle Tennessee,/cbb/conferences/cusa/men/2023.html,CUSA,2.95,L,71,72,3,5,L 3,Place Bell,/cbb/schools/montana-state/men/2023.html,
8,/cbb/boxscores/2022-11-30-02-southern-utah.html,"Wed, Nov 30, 2022",9:00p,REG,@,/cbb/schools/southern-utah/men/2023.html,Southern Utah,/cbb/conferences/wac/men/2023.html,WAC,3.39,W,86,83,4,5,W 1,America First Event Center,/cbb/schools/montana-state/men/2023.html,
9,/cbb/boxscores/2022-12-08-21-montana-state.html,"Thu, Dec 8, 2022",9:00p,REG,,/cbb/schools/st-thomas-mn/men/2023.html,St. Thomas,/cbb/conferences/summit/men/2023.html,Summit,-3.10,W,82,65,5,5,W 2,Worthington Arena,/cbb/schools/montana-state/men/2023.html,
