,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2022-11-07-19-penn-state.html,"Mon, Nov 7, 2022",7:00p,REG,/cbb/schools/winthrop/men/2023.html,Winthrop,/cbb/conferences/big-south/men/2023.html,Big South,-6.63,W,93,68,1,0,W 1,Bryce Jordan Center,/cbb/schools/penn-state/men/2023.html,,
1,/cbb/boxscores/2022-11-10-19-penn-state.html,"Thu, Nov 10, 2022",7:00p,REG,/cbb/schools/loyola-md/men/2023.html,Loyola (MD),/cbb/conferences/patriot/men/2023.html,Patriot,-12.05,W,90,65,2,0,W 2,Bryce Jordan Center,/cbb/schools/penn-state/men/2023.html,,
2,/cbb/boxscores/2022-11-14-20-penn-state.html,"Mon, Nov 14, 2022",8:30p,REG,/cbb/schools/butler/men/2023.html,Butler,/cbb/conferences/big-east/men/2023.html,Big East,5.85,W,68,62,3,0,W 3,Bryce Jordan Center,/cbb/schools/penn-state/men/2023.html,,
3,/cbb/boxscores/2022-11-17-11-penn-state.html,"Thu, Nov 17, 2022",11:30a,REG,/cbb/schools/furman/men/2023.html,Furman,/cbb/conferences/southern/men/2023.html,Southern,4.89,W,73,68,4,0,W 4,TD Arena,/cbb/schools/penn-state/men/2023.html,N,
4,/cbb/boxscores/2022-11-18-12-virginia-tech.html,"Fri, Nov 18, 2022",12:00p,REG,/cbb/schools/virginia-tech/men/2023.html,Virginia Tech,/cbb/conferences/acc/men/2023.html,ACC,9.36,L,59,61,4,1,L 1,TD Arena,/cbb/schools/penn-state/men/2023.html,N,
5,/cbb/boxscores/2022-11-20-18-colorado-state.html,"Sun, Nov 20, 2022",6:00p,REG,/cbb/schools/colorado-state/men/2023.html,Colorado State,/cbb/conferences/mwc/men/2023.html,MWC,5.64,W,68,56,5,1,W 1,TD Arena,/cbb/schools/penn-state/men/2023.html,N,
6,/cbb/boxscores/2022-11-25-19-penn-state.html,"Fri, Nov 25, 2022",7:00p,REG,/cbb/schools/lafayette/men/2023.html,Lafayette,/cbb/conferences/patriot/men/2023.html,Patriot,-7.83,W,70,57,6,1,W 2,Bryce Jordan Center,/cbb/schools/penn-state/men/2023.html,,
7,/cbb/boxscores/2022-11-29-00-clemson.html,"Tue, Nov 29, 2022",7:00p,REG,/cbb/schools/clemson/men/2023.html,Clemson,/cbb/conferences/acc/men/2023.html,ACC,10.53,L,94,101,6,2,L 1,Littlejohn Coliseum,/cbb/schools/penn-state/men/2023.html,@,2OT
8,/cbb/boxscores/2022-12-07-18-penn-state.html,"Wed, Dec 7, 2022",6:30p,REG,/cbb/schools/michigan-state/men/2023.html,Michigan State,/cbb/conferences/big-ten/men/2023.html,Big Ten,14.25,L,58,67,6,3,L 2,Bryce Jordan Center,/cbb/schools/penn-state/men/2023.html,,
9,/cbb/boxscores/2022-12-10-12-illinois.html,"Sat, Dec 10, 2022",12:00p,REG,/cbb/schools/illinois/men/2023.html,Illinois,/cbb/conferences/big-ten/men/2023.html,Big Ten,14.81,W,74,59,7,3,W 1,State Farm Center,/cbb/schools/penn-state/men/2023.html,@,
