,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2022-11-07-19-princeton.html,"Mon, Nov 7, 2022",7:30p,REG,/cbb/schools/hofstra/men/2023.html,Hofstra,/cbb/conferences/colonial/men/2023.html,CAA,4.96,L,77,83,0,1,L 1,Jadwin Gymnasium,/cbb/schools/princeton/men/2023.html,,
1,/cbb/boxscores/2022-11-11-20-navy.html,"Fri, Nov 11, 2022",8:30p,REG,/cbb/schools/navy/men/2023.html,Navy,/cbb/conferences/patriot/men/2023.html,Patriot,-2.79,L,73,74,0,2,L 2,Alumni Hall,/cbb/schools/princeton/men/2023.html,@,
2,/cbb/boxscores/2022-11-14-18-maryland-baltimore-county.html,"Mon, Nov 14, 2022",6:00p,REG,/cbb/schools/maryland-baltimore-county/men/2023.html,Maryland-Baltimore County,/cbb/conferences/america-east/men/2023.html,AEC,-6.22,W,94,64,1,2,W 1,Chesapeake Employers Insurance Arena,/cbb/schools/princeton/men/2023.html,@,
3,/cbb/boxscores/2022-11-19-19-marist.html,"Sat, Nov 19, 2022",7:00p,REG,/cbb/schools/marist/men/2023.html,Marist,/cbb/conferences/maac/men/2023.html,MAAC,-8.44,W,62,55,2,2,W 2,McCann Arena,/cbb/schools/princeton/men/2023.html,@,
4,/cbb/boxscores/2022-11-24-00-army.html,"Thu, Nov 24, 2022",9:30a,REG,/cbb/schools/army/men/2023.html,Army,/cbb/conferences/patriot/men/2023.html,Patriot,-7.13,W,74,66,3,2,W 3,Copper Box Arena,/cbb/schools/princeton/men/2023.html,N,
5,/cbb/boxscores/2022-11-26-12-northeastern.html,"Sat, Nov 26, 2022",7:00a,REG,/cbb/schools/northeastern/men/2023.html,Northeastern,/cbb/conferences/colonial/men/2023.html,CAA,-10.33,W,56,54,4,2,W 4,Copper Box Arena,/cbb/schools/princeton/men/2023.html,N,
6,/cbb/boxscores/2022-11-30-19-princeton.html,"Wed, Nov 30, 2022",7:00p,REG,,Cairn,,,,W,92,58,5,2,W 5,Jadwin Gymnasium,/cbb/schools/princeton/men/2023.html,,
7,/cbb/boxscores/2022-12-03-14-drexel.html,"Sat, Dec 3, 2022",2:00p,REG,/cbb/schools/drexel/men/2023.html,Drexel,/cbb/conferences/colonial/men/2023.html,CAA,-2.27,W,83,63,6,2,W 6,Daskalakis Athletic Center,/cbb/schools/princeton/men/2023.html,@,
8,/cbb/boxscores/2022-12-06-19-princeton.html,"Tue, Dec 6, 2022",7:00p,REG,/cbb/schools/lafayette/men/2023.html,Lafayette,/cbb/conferences/patriot/men/2023.html,Patriot,-7.83,W,69,58,7,2,W 7,Jadwin Gymnasium,/cbb/schools/princeton/men/2023.html,,
9,/cbb/boxscores/2022-12-10-19-princeton.html,"Sat, Dec 10, 2022",7:00p,REG,/cbb/schools/monmouth/men/2023.html,Monmouth,/cbb/conferences/colonial/men/2023.html,CAA,-15.64,W,91,54,8,2,W 8,Jadwin Gymnasium,/cbb/schools/princeton/men/2023.html,,
