,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2022-11-07-20-south-florida.html,"Mon, Nov 7, 2022",8:00p,REG,@,/cbb/schools/south-florida/men/2023.html,South Florida,/cbb/conferences/aac/men/2023.html,AAC,1.95,W,64,61,1,0,W 1,Yuengling Center,/cbb/schools/southeast-missouri-state/men/2023.html,
1,/cbb/boxscores/2022-11-12-17-southeast-missouri-state.html,"Sat, Nov 12, 2022",5:00p,REG,,,Lyon,,,,W,83,46,2,0,W 2,Show Me Center,/cbb/schools/southeast-missouri-state/men/2023.html,
2,/cbb/boxscores/2022-11-16-19-evansville.html,"Wed, Nov 16, 2022",7:00p,REG,@,/cbb/schools/evansville/men/2023.html,Evansville,/cbb/conferences/mvc/men/2023.html,MVC,-15.14,W,67,61,3,0,W 3,Ford Center,/cbb/schools/southeast-missouri-state/men/2023.html,
3,/cbb/boxscores/2022-11-19-16-bradley.html,"Sat, Nov 19, 2022",4:00p,REG,@,/cbb/schools/bradley/men/2023.html,Bradley,/cbb/conferences/mvc/men/2023.html,MVC,6.51,L,60,73,3,1,L 1,Carver Arena,/cbb/schools/southeast-missouri-state/men/2023.html,
4,/cbb/boxscores/2022-11-22-19-southeast-missouri-state.html,"Tue, Nov 22, 2022",7:30p,REG,,,William Woods,,,,W,87,49,4,1,W 1,Show Me Center,/cbb/schools/southeast-missouri-state/men/2023.html,
5,/cbb/boxscores/2022-11-26-00-boston-university.html,"Sat, Nov 26, 2022",3:00p,REG,N,/cbb/schools/boston-university/men/2023.html,Boston University,/cbb/conferences/patriot/men/2023.html,Patriot,-8.10,W,63,52,5,1,W 2,UW-Milwaukee Panther Arena,/cbb/schools/southeast-missouri-state/men/2023.html,
6,/cbb/boxscores/2022-11-27-03-southeast-missouri-state.html,"Sun, Nov 27, 2022",2:00p,REG,N,/cbb/schools/california-davis/men/2023.html,UC Davis,/cbb/conferences/big-west/men/2023.html,Big West,-0.31,L,71,73,5,2,L 1,UW-Milwaukee Panther Arena,/cbb/schools/southeast-missouri-state/men/2023.html,
7,/cbb/boxscores/2022-11-28-20-milwaukee.html,"Mon, Nov 28, 2022",8:00p,REG,@,/cbb/schools/milwaukee/men/2023.html,Milwaukee,/cbb/conferences/horizon/men/2023.html,Horizon,-4.69,L,68,84,5,3,L 2,Klotsche Center,/cbb/schools/southeast-missouri-state/men/2023.html,
8,/cbb/boxscores/2022-12-04-01-missouri.html,"Sun, Dec 4, 2022",4:00p,REG,@,/cbb/schools/missouri/men/2023.html,Missouri,/cbb/conferences/sec/men/2023.html,SEC,11.41,L,89,96,5,4,L 3,Mizzou Arena,/cbb/schools/southeast-missouri-state/men/2023.html,
9,/cbb/boxscores/2022-12-07-20-southeast-missouri-state.html,"Wed, Dec 7, 2022",8:00p,REG,,/cbb/schools/ipfw/men/2023.html,Purdue Fort Wayne,/cbb/conferences/horizon/men/2023.html,Horizon,-5.46,L,68,89,5,5,L 4,Show Me Center,/cbb/schools/southeast-missouri-state/men/2023.html,
