,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2022-11-07-21-southern-california.html,"Mon, Nov 7, 2022",9:30p,REG,/cbb/schools/florida-gulf-coast/men/2023.html,Florida Gulf Coast,/cbb/conferences/atlantic-sun/men/2023.html,A-Sun,-2.63,L,61,74,0,1,L 1,Galen Center,/cbb/schools/southern-california/men/2023.html,,
1,/cbb/boxscores/2022-11-10-23-southern-california.html,"Thu, Nov 10, 2022",11:00p,REG,/cbb/schools/alabama-state/men/2023.html,Alabama State,/cbb/conferences/swac/men/2023.html,SWAC,-16.33,W,96,58,1,1,W 1,Galen Center,/cbb/schools/southern-california/men/2023.html,,
2,/cbb/boxscores/2022-11-15-23-southern-california.html,"Tue, Nov 15, 2022",11:00p,REG,/cbb/schools/vermont/men/2023.html,Vermont,/cbb/conferences/america-east/men/2023.html,AEC,1.63,W,59,57,2,1,W 2,Galen Center,/cbb/schools/southern-california/men/2023.html,,
3,/cbb/boxscores/2022-11-18-23-southern-california.html,"Fri, Nov 18, 2022",11:00p,REG,/cbb/schools/mount-st-marys/men/2023.html,Mount St. Mary's,/cbb/conferences/maac/men/2023.html,MAAC,-8.18,W,83,74,3,1,W 3,Galen Center,/cbb/schools/southern-california/men/2023.html,,
4,/cbb/boxscores/2022-11-23-17-brigham-young.html,"Wed, Nov 23, 2022",5:00p,REG,/cbb/schools/brigham-young/men/2023.html,Brigham Young,/cbb/conferences/wcc/men/2023.html,WCC,9.43,W,82,76,4,1,W 4,Imperial Arena at Atlantis Resort,/cbb/schools/southern-california/men/2023.html,N,
5,/cbb/boxscores/2022-11-24-13-southern-california.html,"Thu, Nov 24, 2022",1:30p,REG,/cbb/schools/tennessee/men/2023.html,Tennessee,/cbb/conferences/sec/men/2023.html,SEC,20.84,L,66,73,4,2,L 1,Imperial Arena at Atlantis Resort,/cbb/schools/southern-california/men/2023.html,N,OT
6,/cbb/boxscores/2022-11-25-13-southern-california.html,"Fri, Nov 25, 2022",1:00p,REG,/cbb/schools/wisconsin/men/2023.html,Wisconsin,/cbb/conferences/big-ten/men/2023.html,Big Ten,10.98,L,59,64,4,3,L 2,Imperial Arena at Atlantis Resort,/cbb/schools/southern-california/men/2023.html,N,
7,/cbb/boxscores/2022-11-30-22-california.html,"Wed, Nov 30, 2022",10:00p,REG,/cbb/schools/california/men/2023.html,California,/cbb/conferences/pac-12/men/2023.html,Pac-12,-3.36,W,66,51,5,3,W 1,Haas Pavilion,/cbb/schools/southern-california/men/2023.html,@,
8,/cbb/boxscores/2022-12-04-19-southern-california.html,"Sun, Dec 4, 2022",7:00p,REG,/cbb/schools/oregon-state/men/2023.html,Oregon State,/cbb/conferences/pac-12/men/2023.html,Pac-12,0.08,W,63,62,6,3,W 2,Galen Center,/cbb/schools/southern-california/men/2023.html,,
9,/cbb/boxscores/2022-12-07-23-southern-california.html,"Wed, Dec 7, 2022",11:00p,REG,/cbb/schools/cal-state-fullerton/men/2023.html,Cal State Fullerton,/cbb/conferences/big-west/men/2023.html,Big West,1.73,W,64,50,7,3,W 3,Galen Center,/cbb/schools/southern-california/men/2023.html,,
10,/cbb/boxscores/2022-12-14-23-southern-california.html,"Wed, Dec 14, 2022",11:00p,REG,/cbb/schools/long-beach-state/men/2023.html,Long Beach State,/cbb/conferences/big-west/men/2023.html,Big West,-0.58,W,88,78,8,3,W 4,Galen Center,/cbb/schools/southern-california/men/2023.html,,
11,/cbb/boxscores/2022-12-18-17-southern-california.html,"Sun, Dec 18, 2022",5:30p,REG,/cbb/schools/auburn/men/2023.html,Auburn,/cbb/conferences/sec/men/2023.html,SEC,14.35,W,74,71,9,3,W 5,Galen Center,/cbb/schools/southern-california/men/2023.html,,
12,/cbb/boxscores/2022-12-21-23-colorado-state.html,"Wed, Dec 21, 2022",11:00p,REG,/cbb/schools/colorado-state/men/2023.html,Colorado State,/cbb/conferences/mwc/men/2023.html,MWC,5.64,W,73,64,10,3,W 6,Footprint Center,/cbb/schools/southern-california/men/2023.html,N,
13,/cbb/boxscores/2022-12-30-22-washington.html,"Fri, Dec 30, 2022",10:00p,REG,/cbb/schools/washington/men/2023.html,Washington,/cbb/conferences/pac-12/men/2023.html,Pac-12,6.78,W,80,67,11,3,W 7,Alaska Airlines Arena,/cbb/schools/southern-california/men/2023.html,@,
14,/cbb/boxscores/2023-01-01-15-washington-state.html,"Sun, Jan 1, 2023",3:00p,REG,/cbb/schools/washington-state/men/2023.html,Washington State,/cbb/conferences/pac-12/men/2023.html,Pac-12,10.53,L,71,81,11,4,L 1,Friel Court at Beasley Coliseum,/cbb/schools/southern-california/men/2023.html,@,
15,/cbb/boxscores/2023-01-05-21-ucla.html,"Thu, Jan 5, 2023",9:30p,REG,/cbb/schools/ucla/men/2023.html,UCLA,/cbb/conferences/pac-12/men/2023.html,Pac-12,22.11,L,58,60,11,5,L 2,Pauley Pavilion,/cbb/schools/southern-california/men/2023.html,@,
16,/cbb/boxscores/2023-01-12-21-southern-california.html,"Thu, Jan 12, 2023",9:00p,REG,/cbb/schools/colorado/men/2023.html,Colorado,/cbb/conferences/pac-12/men/2023.html,Pac-12,11.17,W,68,61,12,5,W 1,Galen Center,/cbb/schools/southern-california/men/2023.html,,
17,/cbb/boxscores/2023-01-14-22-southern-california.html,"Sat, Jan 14, 2023",10:30p,REG,/cbb/schools/utah/men/2023.html,Utah,/cbb/conferences/pac-12/men/2023.html,Pac-12,11.34,W,71,56,13,5,W 2,Galen Center,/cbb/schools/southern-california/men/2023.html,,
18,/cbb/boxscores/2023-01-19-21-arizona.html,"Thu, Jan 19, 2023",9:00p,REG,/cbb/schools/arizona/men/2023.html,Arizona,/cbb/conferences/pac-12/men/2023.html,Pac-12,19.08,L,66,81,13,6,L 1,McKale Center,/cbb/schools/southern-california/men/2023.html,@,
19,/cbb/boxscores/2023-01-21-22-arizona-state.html,"Sat, Jan 21, 2023",10:00p,REG,/cbb/schools/arizona-state/men/2023.html,Arizona State,/cbb/conferences/pac-12/men/2023.html,Pac-12,11.29,W,77,69,14,6,W 1,Desert Financial Arena,/cbb/schools/southern-california/men/2023.html,@,
20,/cbb/boxscores/2023-01-26-21-southern-california.html,"Thu, Jan 26, 2023",9:00p,REG,/cbb/schools/ucla/men/2023.html,UCLA,/cbb/conferences/pac-12/men/2023.html,Pac-12,22.11,W,77,64,15,6,W 2,Galen Center,/cbb/schools/southern-california/men/2023.html,,
21,/cbb/boxscores/2023-02-02-23-southern-california.html,"Thu, Feb 2, 2023",11:00p,REG,/cbb/schools/washington-state/men/2023.html,Washington State,/cbb/conferences/pac-12/men/2023.html,Pac-12,10.53,W,80,70,16,6,W 3,Galen Center,/cbb/schools/southern-california/men/2023.html,,
22,/cbb/boxscores/2023-02-04-21-southern-california.html,"Sat, Feb 4, 2023",9:30p,REG,/cbb/schools/washington/men/2023.html,Washington,/cbb/conferences/pac-12/men/2023.html,Pac-12,6.78,W,80,74,17,6,W 4,Galen Center,/cbb/schools/southern-california/men/2023.html,,
23,/cbb/boxscores/2023-02-09-23-oregon.html,"Thu, Feb 9, 2023",11:00p,REG,/cbb/schools/oregon/men/2023.html,Oregon,/cbb/conferences/pac-12/men/2023.html,Pac-12,13.83,L,60,78,17,7,L 1,Matthew Knight Arena,/cbb/schools/southern-california/men/2023.html,@,
24,/cbb/boxscores/2023-02-11-18-oregon-state.html,"Sat, Feb 11, 2023",6:00p,REG,/cbb/schools/oregon-state/men/2023.html,Oregon State,/cbb/conferences/pac-12/men/2023.html,Pac-12,0.08,L,58,61,17,8,L 2,Gill Coliseum,/cbb/schools/southern-california/men/2023.html,@,
25,/cbb/boxscores/2023-02-16-03-southern-california.html,"Thu, Feb 16, 2023",10:00p,REG,/cbb/schools/california/men/2023.html,California,/cbb/conferences/pac-12/men/2023.html,Pac-12,-3.36,W,97,60,18,8,W 1,Galen Center,/cbb/schools/southern-california/men/2023.html,,
26,/cbb/boxscores/2023-02-18-03-southern-california.html,"Sat, Feb 18, 2023",10:00p,REG,/cbb/schools/stanford/men/2023.html,Stanford,/cbb/conferences/pac-12/men/2023.html,Pac-12,9.64,W,85,75,19,8,W 2,Galen Center,/cbb/schools/southern-california/men/2023.html,,
27,/cbb/boxscores/2023-02-23-21-colorado.html,"Thu, Feb 23, 2023",9:00p,REG,/cbb/schools/colorado/men/2023.html,Colorado,/cbb/conferences/pac-12/men/2023.html,Pac-12,11.17,W,84,65,20,8,W 3,CU Events Center,/cbb/schools/southern-california/men/2023.html,@,
28,/cbb/boxscores/2023-02-25-02-utah.html,"Sat, Feb 25, 2023",8:00p,REG,/cbb/schools/utah/men/2023.html,Utah,/cbb/conferences/pac-12/men/2023.html,Pac-12,11.34,W,62,49,21,8,W 4,Jon M. Huntsman Center,/cbb/schools/southern-california/men/2023.html,@,
29,/cbb/boxscores/2023-03-02-03-southern-california.html,"Thu, Mar 2, 2023",11:00p,REG,/cbb/schools/arizona/men/2023.html,Arizona,/cbb/conferences/pac-12/men/2023.html,Pac-12,19.08,L,81,87,21,9,L 1,Galen Center,/cbb/schools/southern-california/men/2023.html,,
30,/cbb/boxscores/2023-03-04-23-southern-california.html,"Sat, Mar 4, 2023",11:00p,REG,/cbb/schools/arizona-state/men/2023.html,Arizona State,/cbb/conferences/pac-12/men/2023.html,Pac-12,11.29,W,68,65,22,9,W 1,Galen Center,/cbb/schools/southern-california/men/2023.html,,
31,/cbb/boxscores/2023-03-09-23-southern-california.html,"Thu, Mar 9, 2023",11:30p,CTOURN,/cbb/schools/arizona-state/men/2023.html,Arizona State,/cbb/conferences/pac-12/men/2023.html,Pac-12,11.29,L,72,77,22,10,L 1,T-Mobile Arena,/cbb/schools/southern-california/men/2023.html,N,
32,/cbb/boxscores/2023-03-17-12-michigan-state.html,"Fri, Mar 17, 2023",12:15p,NCAA,/cbb/schools/michigan-state/men/2023.html,Michigan State,/cbb/conferences/big-ten/men/2023.html,Big Ten,14.25,L,62,72,22,11,L 2,Nationwide Arena,/cbb/schools/southern-california/men/2023.html,N,
