,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2022-11-07-19-mississippi-state.html,"Mon, Nov 7, 2022",7:30p,REG,@,/cbb/schools/mississippi-state/men/2023.html,Mississippi State,/cbb/conferences/sec/men/2023.html,SEC,11.43,L,44,63,0,1,L 1,Humphrey Coliseum,/cbb/schools/texas-am-corpus-christi/men/2023.html,
1,/cbb/boxscores/2022-11-11-20-texas-am-corpus-christi.html,"Fri, Nov 11, 2022",8:00p,REG,,/cbb/schools/texas-san-antonio/men/2023.html,UTSA,/cbb/conferences/cusa/men/2023.html,CUSA,-7.74,W,75,55,1,1,W 1,Dugan Wellness Center,/cbb/schools/texas-am-corpus-christi/men/2023.html,
2,/cbb/boxscores/2022-11-14-20-texas-am-corpus-christi.html,"Mon, Nov 14, 2022",8:00p,REG,,,Trinity (TX),,,,W,91,73,2,1,W 2,American Bank Center,/cbb/schools/texas-am-corpus-christi/men/2023.html,
3,/cbb/boxscores/2022-11-17-20-texas-am-corpus-christi.html,"Thu, Nov 17, 2022",8:00p,REG,,/cbb/schools/texas-pan-american/men/2023.html,Texas-Rio Grande Valley,/cbb/conferences/wac/men/2023.html,WAC,-6.48,W,97,75,3,1,W 3,American Bank Center,/cbb/schools/texas-am-corpus-christi/men/2023.html,
4,/cbb/boxscores/2022-11-22-18-texas-am-corpus-christi.html,"Tue, Nov 22, 2022",6:00p,REG,N,/cbb/schools/cal-state-bakersfield/men/2023.html,Cal State Bakersfield,/cbb/conferences/big-west/men/2023.html,Big West,-8.34,L,63,73,3,2,L 1,Don Haskins Center,/cbb/schools/texas-am-corpus-christi/men/2023.html,
5,/cbb/boxscores/2022-11-23-18-texas-am-corpus-christi.html,"Wed, Nov 23, 2022",6:00p,REG,N,/cbb/schools/alcorn-state/men/2023.html,Alcorn State,/cbb/conferences/swac/men/2023.html,SWAC,-8.74,W,98,67,4,2,W 1,Don Haskins Center,/cbb/schools/texas-am-corpus-christi/men/2023.html,
6,/cbb/boxscores/2022-11-25-16-texas-el-paso.html,"Fri, Nov 25, 2022",4:00p,REG,@,/cbb/schools/texas-el-paso/men/2023.html,UTEP,/cbb/conferences/cusa/men/2023.html,CUSA,-0.74,L,67,72,4,3,L 1,Don Haskins Center,/cbb/schools/texas-am-corpus-christi/men/2023.html,
7,/cbb/boxscores/2022-11-30-19-texas-pan-american.html,"Wed, Nov 30, 2022",7:30p,REG,@,/cbb/schools/texas-pan-american/men/2023.html,Texas-Rio Grande Valley,/cbb/conferences/wac/men/2023.html,WAC,-6.48,L,82,89,4,4,L 2,UTRGV Fieldhouse,/cbb/schools/texas-am-corpus-christi/men/2023.html,
8,/cbb/boxscores/2022-12-07-20-texas-am-corpus-christi.html,"Wed, Dec 7, 2022",8:00p,REG,,,Texas Lutheran,,,,W,100,63,5,4,W 1,American Bank Center,/cbb/schools/texas-am-corpus-christi/men/2023.html,
9,/cbb/boxscores/2022-12-13-19-arizona.html,"Tue, Dec 13, 2022",8:30p,REG,@,/cbb/schools/arizona/men/2023.html,Arizona,/cbb/conferences/pac-12/men/2023.html,Pac-12,19.08,L,61,99,5,5,L 1,McKale Center,/cbb/schools/texas-am-corpus-christi/men/2023.html,
