,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2022-11-07-20-texas-am.html,"Mon, Nov 7, 2022",8:00p,REG,/cbb/schools/louisiana-monroe/men/2023.html,Louisiana-Monroe,/cbb/conferences/sun-belt/men/2023.html,Sun Belt,-8.64,W,87,54,1,0,W 1,Reed Arena,/cbb/schools/texas-am/men/2023.html,
1,/cbb/boxscores/2022-11-11-01-texas-am.html,"Fri, Nov 11, 2022",8:00p,REG,/cbb/schools/abilene-christian/men/2023.html,Abilene Christian,/cbb/conferences/wac/men/2023.html,WAC,-2.79,W,77,58,2,0,W 2,Reed Arena,/cbb/schools/texas-am/men/2023.html,
2,/cbb/boxscores/2022-11-17-16-texas-am.html,"Thu, Nov 17, 2022",4:00p,REG,/cbb/schools/murray-state/men/2023.html,Murray State,/cbb/conferences/mvc/men/2023.html,MVC,-4.45,L,79,88,2,1,L 1,HTC Center,/cbb/schools/texas-am/men/2023.html,N
3,/cbb/boxscores/2022-11-18-12-texas-am.html,"Fri, Nov 18, 2022",12:00p,REG,/cbb/schools/colorado/men/2023.html,Colorado,/cbb/conferences/pac-12/men/2023.html,Pac-12,11.17,L,75,103,2,2,L 2,HTC Center,/cbb/schools/texas-am/men/2023.html,N
4,/cbb/boxscores/2022-11-20-16-loyola-il.html,"Sun, Nov 20, 2022",4:30p,REG,/cbb/schools/loyola-il/men/2023.html,Loyola (IL),/cbb/conferences/atlantic-10/men/2023.html,A-10,-4.65,W,67,51,3,2,W 1,HTC Center,/cbb/schools/texas-am/men/2023.html,N
5,/cbb/boxscores/2022-11-25-13-depaul.html,"Fri, Nov 25, 2022",1:00p,REG,/cbb/schools/depaul/men/2023.html,DePaul,/cbb/conferences/big-east/men/2023.html,Big East,2.90,W,82,66,4,2,W 2,Wintrust Arena,/cbb/schools/texas-am/men/2023.html,@
6,/cbb/boxscores/2022-11-30-01-texas-am.html,"Wed, Nov 30, 2022",8:00p,REG,/cbb/schools/southern-methodist/men/2023.html,Southern Methodist,/cbb/conferences/aac/men/2023.html,AAC,-0.12,W,83,64,5,2,W 3,Reed Arena,/cbb/schools/texas-am/men/2023.html,
7,/cbb/boxscores/2022-12-03-19-boise-state.html,"Sat, Dec 3, 2022",7:00p,REG,/cbb/schools/boise-state/men/2023.html,Boise State,/cbb/conferences/mwc/men/2023.html,MWC,12.78,L,71,86,5,3,L 1,Dickies Arena,/cbb/schools/texas-am/men/2023.html,N
8,/cbb/boxscores/2022-12-11-20-texas-am.html,"Sun, Dec 11, 2022",8:00p,REG,/cbb/schools/oregon-state/men/2023.html,Oregon State,/cbb/conferences/pac-12/men/2023.html,Pac-12,0.08,W,72,54,6,3,W 1,Reed Arena,/cbb/schools/texas-am/men/2023.html,
9,/cbb/boxscores/2022-12-17-19-memphis.html,"Sat, Dec 17, 2022",7:00p,REG,/cbb/schools/memphis/men/2023.html,Memphis,/cbb/conferences/aac/men/2023.html,AAC,14.50,L,79,83,6,4,L 1,FedExForum,/cbb/schools/texas-am/men/2023.html,@
10,/cbb/boxscores/2022-12-20-01-texas-am.html,"Tue, Dec 20, 2022",2:00p,REG,/cbb/schools/wofford/men/2023.html,Wofford,/cbb/conferences/southern/men/2023.html,Southern,-5.02,L,62,67,6,5,L 2,Reed Arena,/cbb/schools/texas-am/men/2023.html,
11,/cbb/boxscores/2022-12-27-20-texas-am.html,"Tue, Dec 27, 2022",8:00p,REG,/cbb/schools/northwestern-state/men/2023.html,Northwestern State,/cbb/conferences/southland/men/2023.html,Southland,-4.72,W,64,52,7,5,W 1,Reed Arena,/cbb/schools/texas-am/men/2023.html,
12,/cbb/boxscores/2022-12-30-01-texas-am.html,"Fri, Dec 30, 2022",7:00p,REG,/cbb/schools/prairie-view/men/2023.html,Prairie View,/cbb/conferences/swac/men/2023.html,SWAC,-8.92,W,86,66,8,5,W 2,Reed Arena,/cbb/schools/texas-am/men/2023.html,
13,/cbb/boxscores/2023-01-04-19-florida.html,"Wed, Jan 4, 2023",7:00p,REG,/cbb/schools/florida/men/2023.html,Florida,/cbb/conferences/sec/men/2023.html,SEC,10.90,W,66,63,9,5,W 3,Stephen C. O''Connell Center,/cbb/schools/texas-am/men/2023.html,@
14,/cbb/boxscores/2023-01-07-18-texas-am.html,"Sat, Jan 7, 2023",6:00p,REG,/cbb/schools/louisiana-state/men/2023.html,Louisiana State,/cbb/conferences/sec/men/2023.html,SEC,3.32,W,69,56,10,5,W 4,Reed Arena,/cbb/schools/texas-am/men/2023.html,
15,/cbb/boxscores/2023-01-11-20-texas-am.html,"Wed, Jan 11, 2023",8:30p,REG,/cbb/schools/missouri/men/2023.html,Missouri,/cbb/conferences/sec/men/2023.html,SEC,11.41,W,82,64,11,5,W 5,Reed Arena,/cbb/schools/texas-am/men/2023.html,
16,/cbb/boxscores/2023-01-14-19-south-carolina.html,"Sat, Jan 14, 2023",6:00p,REG,/cbb/schools/south-carolina/men/2023.html,South Carolina,/cbb/conferences/sec/men/2023.html,SEC,-2.28,W,94,53,12,5,W 6,Colonial Life Arena,/cbb/schools/texas-am/men/2023.html,@
17,/cbb/boxscores/2023-01-18-19-texas-am.html,"Wed, Jan 18, 2023",7:00p,REG,/cbb/schools/florida/men/2023.html,Florida,/cbb/conferences/sec/men/2023.html,SEC,10.90,W,54,52,13,5,W 7,Reed Arena,/cbb/schools/texas-am/men/2023.html,
18,/cbb/boxscores/2023-01-21-14-kentucky.html,"Sat, Jan 21, 2023",2:00p,REG,/cbb/schools/kentucky/men/2023.html,Kentucky,/cbb/conferences/sec/men/2023.html,SEC,14.76,L,67,76,13,6,L 1,Rupp Arena,/cbb/schools/texas-am/men/2023.html,@
19,/cbb/boxscores/2023-01-25-21-auburn.html,"Wed, Jan 25, 2023",9:00p,REG,/cbb/schools/auburn/men/2023.html,Auburn,/cbb/conferences/sec/men/2023.html,SEC,14.35,W,79,63,14,6,W 1,Neville Arena,/cbb/schools/texas-am/men/2023.html,@
20,/cbb/boxscores/2023-01-28-20-texas-am.html,"Sat, Jan 28, 2023",8:30p,REG,/cbb/schools/vanderbilt/men/2023.html,Vanderbilt,/cbb/conferences/sec/men/2023.html,SEC,8.98,W,72,66,15,6,W 2,Reed Arena,/cbb/schools/texas-am/men/2023.html,
21,/cbb/boxscores/2023-01-31-19-arkansas.html,"Tue, Jan 31, 2023",7:00p,REG,/cbb/schools/arkansas/men/2023.html,Arkansas,/cbb/conferences/sec/men/2023.html,SEC,15.99,L,70,81,15,7,L 1,Bud Walton Arena,/cbb/schools/texas-am/men/2023.html,@
22,/cbb/boxscores/2023-02-04-20-texas-am.html,"Sat, Feb 4, 2023",8:30p,REG,/cbb/schools/georgia/men/2023.html,Georgia,/cbb/conferences/sec/men/2023.html,SEC,1.80,W,82,57,16,7,W 1,Reed Arena,/cbb/schools/texas-am/men/2023.html,
23,/cbb/boxscores/2023-02-07-19-texas-am.html,"Tue, Feb 7, 2023",7:00p,REG,/cbb/schools/auburn/men/2023.html,Auburn,/cbb/conferences/sec/men/2023.html,SEC,14.35,W,83,78,17,7,W 2,Reed Arena,/cbb/schools/texas-am/men/2023.html,
24,/cbb/boxscores/2023-02-11-20-louisiana-state.html,"Sat, Feb 11, 2023",8:30p,REG,/cbb/schools/louisiana-state/men/2023.html,Louisiana State,/cbb/conferences/sec/men/2023.html,SEC,3.32,W,74,62,18,7,W 3,Maravich Assembly Center,/cbb/schools/texas-am/men/2023.html,@
25,/cbb/boxscores/2023-02-15-21-texas-am.html,"Wed, Feb 15, 2023",9:00p,REG,/cbb/schools/arkansas/men/2023.html,Arkansas,/cbb/conferences/sec/men/2023.html,SEC,15.99,W,62,56,19,7,W 4,Reed Arena,/cbb/schools/texas-am/men/2023.html,
26,/cbb/boxscores/2023-02-18-18-missouri.html,"Sat, Feb 18, 2023",6:00p,REG,/cbb/schools/missouri/men/2023.html,Missouri,/cbb/conferences/sec/men/2023.html,SEC,11.41,W,69,60,20,7,W 5,Mizzou Arena,/cbb/schools/texas-am/men/2023.html,@
27,/cbb/boxscores/2023-02-21-19-texas-am.html,"Tue, Feb 21, 2023",7:00p,REG,/cbb/schools/tennessee/men/2023.html,Tennessee,/cbb/conferences/sec/men/2023.html,SEC,20.84,W,68,63,21,7,W 6,Reed Arena,/cbb/schools/texas-am/men/2023.html,
