,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2022-11-07-21-utah-state.html,"Mon, Nov 7, 2022",9:00p,REG,/cbb/schools/utah-valley/men/2023.html,Utah Valley,/cbb/conferences/wac/men/2023.html,WAC,8.48,W,75,58,1,0,W 1,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2023.html,,
1,/cbb/boxscores/2022-11-11-02-utah-state.html,"Fri, Nov 11, 2022",9:00p,REG,/cbb/schools/bradley/men/2023.html,Bradley,/cbb/conferences/mvc/men/2023.html,MVC,6.51,W,84,62,2,0,W 2,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2023.html,,
2,/cbb/boxscores/2022-11-14-02-utah-state.html,"Mon, Nov 14, 2022",9:00p,REG,/cbb/schools/santa-clara/men/2023.html,Santa Clara,/cbb/conferences/wcc/men/2023.html,WCC,8.55,W,96,74,3,0,W 3,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2023.html,,
3,/cbb/boxscores/2022-11-17-22-san-diego.html,"Thu, Nov 17, 2022",10:00p,REG,/cbb/schools/san-diego/men/2023.html,San Diego,/cbb/conferences/wcc/men/2023.html,WCC,-2.06,W,91,89,4,0,W 4,Jenny Craig Pavilion,/cbb/schools/utah-state/men/2023.html,@,OT
4,/cbb/boxscores/2022-11-22-02-utah-state.html,"Tue, Nov 22, 2022",9:00p,REG,/cbb/schools/oral-roberts/men/2023.html,Oral Roberts,/cbb/conferences/summit/men/2023.html,Summit,8.55,W,95,85,5,0,W 5,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2023.html,,
5,/cbb/boxscores/2022-12-01-02-utah-state.html,"Thu, Dec 1, 2022",9:00p,REG,/cbb/schools/dixie-state/men/2023.html,Utah Tech,/cbb/conferences/wac/men/2023.html,WAC,-0.16,W,86,81,6,0,W 6,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2023.html,,
6,/cbb/boxscores/2022-12-04-20-san-francisco.html,"Sun, Dec 4, 2022",8:30p,REG,/cbb/schools/san-francisco/men/2023.html,San Francisco,/cbb/conferences/wcc/men/2023.html,WCC,6.00,W,82,64,7,0,W 7,Chase Center,/cbb/schools/utah-state/men/2023.html,N,
7,/cbb/boxscores/2022-12-10-03-loyola-marymount.html,"Sun, Dec 11, 2022",12:30a,REG,/cbb/schools/loyola-marymount/men/2023.html,Loyola Marymount,/cbb/conferences/wcc/men/2023.html,WCC,4.98,W,79,67,8,0,W 8,Michelob Ultra Arena,/cbb/schools/utah-state/men/2023.html,N,
8,/cbb/boxscores/2022-12-15-02-utah-state.html,"Thu, Dec 15, 2022",9:00p,REG,,Westminster (UT),,,,W,106,68,9,0,W 9,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2023.html,,
9,/cbb/boxscores/2022-12-19-02-utah-state.html,"Mon, Dec 19, 2022",9:00p,REG,/cbb/schools/weber-state/men/2023.html,Weber State,/cbb/conferences/big-sky/men/2023.html,Big Sky,-2.94,L,72,75,9,1,L 1,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2023.html,,
10,/cbb/boxscores/2022-12-22-03-seattle.html,"Thu, Dec 22, 2022",5:00p,REG,/cbb/schools/seattle/men/2023.html,Seattle,/cbb/conferences/wac/men/2023.html,WAC,0.91,W,84,56,10,1,W 1,Stan Sheriff Center,/cbb/schools/utah-state/men/2023.html,N,
11,/cbb/boxscores/2022-12-23-19-utah-state.html,"Fri, Dec 23, 2022",7:00p,REG,/cbb/schools/southern-methodist/men/2023.html,Southern Methodist,/cbb/conferences/aac/men/2023.html,AAC,-0.12,L,74,77,10,2,L 1,Stan Sheriff Center,/cbb/schools/utah-state/men/2023.html,N,
12,/cbb/boxscores/2022-12-25-18-washington-state.html,"Sun, Dec 25, 2022",6:30p,REG,/cbb/schools/washington-state/men/2023.html,Washington State,/cbb/conferences/pac-12/men/2023.html,Pac-12,10.53,W,82,73,11,2,W 1,Stan Sheriff Center,/cbb/schools/utah-state/men/2023.html,N,
13,/cbb/boxscores/2022-12-31-02-utah-state.html,"Sat, Dec 31, 2022",2:00p,REG,/cbb/schools/fresno-state/men/2023.html,Fresno State,/cbb/conferences/mwc/men/2023.html,MWC,2.60,W,67,54,12,2,W 2,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2023.html,,
14,/cbb/boxscores/2023-01-03-21-air-force.html,"Tue, Jan 3, 2023",9:00p,REG,/cbb/schools/air-force/men/2023.html,Air Force,/cbb/conferences/mwc/men/2023.html,MWC,2.00,W,77,65,13,2,W 3,Clune Arena,/cbb/schools/utah-state/men/2023.html,@,
15,/cbb/boxscores/2023-01-07-02-boise-state.html,"Sat, Jan 7, 2023",6:30p,REG,/cbb/schools/boise-state/men/2023.html,Boise State,/cbb/conferences/mwc/men/2023.html,MWC,12.78,L,59,82,13,3,L 1,ExtraMile Arena,/cbb/schools/utah-state/men/2023.html,@,
16,/cbb/boxscores/2023-01-10-02-utah-state.html,"Tue, Jan 10, 2023",10:30p,REG,/cbb/schools/wyoming/men/2023.html,Wyoming,/cbb/conferences/mwc/men/2023.html,MWC,2.02,W,83,63,14,3,W 1,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2023.html,,
17,/cbb/boxscores/2023-01-13-23-nevada.html,"Fri, Jan 13, 2023",11:00p,REG,/cbb/schools/nevada/men/2023.html,Nevada,/cbb/conferences/mwc/men/2023.html,MWC,10.01,L,70,85,14,4,L 1,Lawlor Events Center,/cbb/schools/utah-state/men/2023.html,@,
18,/cbb/boxscores/2023-01-17-02-utah-state.html,"Tue, Jan 17, 2023",9:00p,REG,/cbb/schools/nevada-las-vegas/men/2023.html,Nevada-Las Vegas,/cbb/conferences/mwc/men/2023.html,MWC,7.20,W,75,71,15,4,W 1,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2023.html,,
19,/cbb/boxscores/2023-01-21-02-utah-state.html,"Sat, Jan 21, 2023",6:00p,REG,/cbb/schools/san-jose-state/men/2023.html,San Jose State,/cbb/conferences/mwc/men/2023.html,MWC,5.17,W,75,74,16,4,W 2,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2023.html,,
20,/cbb/boxscores/2023-01-25-23-san-diego-state.html,"Wed, Jan 25, 2023",11:00p,REG,/cbb/schools/san-diego-state/men/2023.html,San Diego State,/cbb/conferences/mwc/men/2023.html,MWC,15.81,L,75,85,16,5,L 1,Viejas Arena,/cbb/schools/utah-state/men/2023.html,@,
21,/cbb/boxscores/2023-01-28-19-fresno-state.html,"Sat, Jan 28, 2023",7:00p,REG,/cbb/schools/fresno-state/men/2023.html,Fresno State,/cbb/conferences/mwc/men/2023.html,MWC,2.60,W,70,53,17,5,W 1,Save Mart Center,/cbb/schools/utah-state/men/2023.html,@,
22,/cbb/boxscores/2023-02-01-22-utah-state.html,"Wed, Feb 1, 2023",10:30p,REG,/cbb/schools/new-mexico/men/2023.html,New Mexico,/cbb/conferences/mwc/men/2023.html,MWC,10.82,W,84,73,18,5,W 2,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2023.html,,
23,/cbb/boxscores/2023-02-04-20-colorado-state.html,"Sat, Feb 4, 2023",8:00p,REG,/cbb/schools/colorado-state/men/2023.html,Colorado State,/cbb/conferences/mwc/men/2023.html,MWC,5.64,W,88,79,19,5,W 3,Moby Arena,/cbb/schools/utah-state/men/2023.html,@,
24,/cbb/boxscores/2023-02-08-02-utah-state.html,"Wed, Feb 8, 2023",10:00p,REG,/cbb/schools/san-diego-state/men/2023.html,San Diego State,/cbb/conferences/mwc/men/2023.html,MWC,15.81,L,61,63,19,6,L 1,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2023.html,,
25,/cbb/boxscores/2023-02-11-22-san-jose-state.html,"Sat, Feb 11, 2023",10:00p,REG,/cbb/schools/san-jose-state/men/2023.html,San Jose State,/cbb/conferences/mwc/men/2023.html,MWC,5.17,L,64,69,19,7,L 2,Provident Credit Union Event Center,/cbb/schools/utah-state/men/2023.html,@,
26,/cbb/boxscores/2023-02-14-02-utah-state.html,"Tue, Feb 14, 2023",9:00p,REG,/cbb/schools/air-force/men/2023.html,Air Force,/cbb/conferences/mwc/men/2023.html,MWC,2.00,W,80,65,20,7,W 1,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2023.html,,
27,/cbb/boxscores/2023-02-18-02-utah-state.html,"Sat, Feb 18, 2023",8:00p,REG,/cbb/schools/nevada/men/2023.html,Nevada,/cbb/conferences/mwc/men/2023.html,MWC,10.01,W,75,66,21,7,W 2,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2023.html,,
28,/cbb/boxscores/2023-02-21-02-wyoming.html,"Tue, Feb 21, 2023",9:00p,REG,/cbb/schools/wyoming/men/2023.html,Wyoming,/cbb/conferences/mwc/men/2023.html,MWC,2.02,W,65,55,22,7,W 3,Arena-Auditorium,/cbb/schools/utah-state/men/2023.html,@,
29,/cbb/boxscores/2023-03-01-23-nevada-las-vegas.html,"Wed, Mar 1, 2023",11:00p,REG,/cbb/schools/nevada-las-vegas/men/2023.html,Nevada-Las Vegas,/cbb/conferences/mwc/men/2023.html,MWC,7.20,W,91,66,23,7,W 4,Thomas & Mack Center,/cbb/schools/utah-state/men/2023.html,@,
30,/cbb/boxscores/2023-03-04-02-utah-state.html,"Sat, Mar 4, 2023",9:00p,REG,/cbb/schools/boise-state/men/2023.html,Boise State,/cbb/conferences/mwc/men/2023.html,MWC,12.78,W,86,73,24,7,W 5,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2023.html,,
31,/cbb/boxscores/2023-03-09-23-utah-state.html,"Thu, Mar 9, 2023",11:30p,CTOURN,/cbb/schools/new-mexico/men/2023.html,New Mexico,/cbb/conferences/mwc/men/2023.html,MWC,10.82,W,91,76,25,7,W 6,Thomas & Mack Center,/cbb/schools/utah-state/men/2023.html,N,
32,/cbb/boxscores/2023-03-10-21-boise-state.html,"Fri, Mar 10, 2023",9:00p,CTOURN,/cbb/schools/boise-state/men/2023.html,Boise State,/cbb/conferences/mwc/men/2023.html,MWC,12.78,W,72,62,26,7,W 7,Thomas & Mack Center,/cbb/schools/utah-state/men/2023.html,N,
33,/cbb/boxscores/2023-03-11-18-san-diego-state.html,"Sat, Mar 11, 2023",6:00p,CTOURN,/cbb/schools/san-diego-state/men/2023.html,San Diego State,/cbb/conferences/mwc/men/2023.html,MWC,15.81,L,57,62,26,8,L 1,Thomas & Mack Center,/cbb/schools/utah-state/men/2023.html,N,
34,/cbb/boxscores/2023-03-16-13-missouri.html,"Thu, Mar 16, 2023",1:40p,NCAA,/cbb/schools/missouri/men/2023.html,Missouri,/cbb/conferences/sec/men/2023.html,SEC,11.41,L,65,76,26,9,L 2,Golden 1 Center,/cbb/schools/utah-state/men/2023.html,N,
