,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2022-11-07-19-vermont.html,"Mon, Nov 7, 2022",7:00p,REG,/cbb/schools/brown/men/2023.html,Brown,/cbb/conferences/ivy/men/2023.html,Ivy,-2.47,W,80,65,1,0,W 1,Roy L. Patrick Gymnasium,/cbb/schools/vermont/men/2023.html,,
1,/cbb/boxscores/2022-11-10-22-saint-marys-ca.html,"Thu, Nov 10, 2022",10:00p,REG,/cbb/schools/saint-marys-ca/men/2023.html,Saint Mary's (CA),/cbb/conferences/wcc/men/2023.html,WCC,17.41,L,53,79,1,1,L 1,University Credit Union Pavilion,/cbb/schools/vermont/men/2023.html,@,
2,/cbb/boxscores/2022-11-13-20-cal-state-fullerton.html,"Sun, Nov 13, 2022",8:00p,REG,/cbb/schools/cal-state-fullerton/men/2023.html,Cal State Fullerton,/cbb/conferences/big-west/men/2023.html,Big West,1.73,L,85,94,1,2,L 2,Titan Gym,/cbb/schools/vermont/men/2023.html,@,2OT
3,/cbb/boxscores/2022-11-15-23-southern-california.html,"Tue, Nov 15, 2022",11:00p,REG,/cbb/schools/southern-california/men/2023.html,Southern California,/cbb/conferences/pac-12/men/2023.html,Pac-12,13.06,L,57,59,1,3,L 3,Galen Center,/cbb/schools/vermont/men/2023.html,@,
4,/cbb/boxscores/2022-11-18-19-iona.html,"Fri, Nov 18, 2022",7:30p,REG,/cbb/schools/iona/men/2023.html,Iona,/cbb/conferences/maac/men/2023.html,MAAC,7.61,L,50,71,1,4,L 4,Mohegan Sun Arena,/cbb/schools/vermont/men/2023.html,N,
5,/cbb/boxscores/2022-11-22-00-yale.html,"Tue, Nov 22, 2022",7:00p,REG,/cbb/schools/yale/men/2023.html,Yale,/cbb/conferences/ivy/men/2023.html,Ivy,7.81,L,44,73,1,5,L 5,John J. Lee Amphitheater,/cbb/schools/vermont/men/2023.html,@,
6,/cbb/boxscores/2022-11-25-12-vermont.html,"Fri, Nov 25, 2022",12:00p,REG,/cbb/schools/ball-state/men/2023.html,Ball State,/cbb/conferences/mac/men/2023.html,MAC,-1.20,W,78,73,2,5,W 1,Baha Mar Convention Center,/cbb/schools/vermont/men/2023.html,N,
7,/cbb/boxscores/2022-11-26-17-vermont.html,"Sat, Nov 26, 2022",5:30p,REG,/cbb/schools/north-carolina-wilmington/men/2023.html,UNC Wilmington,/cbb/conferences/colonial/men/2023.html,CAA,-1.17,L,66,68,2,6,L 1,Baha Mar Convention Center,/cbb/schools/vermont/men/2023.html,N,
8,/cbb/boxscores/2022-11-27-17-vermont.html,"Sun, Nov 27, 2022",5:30p,REG,/cbb/schools/long-beach-state/men/2023.html,Long Beach State,/cbb/conferences/big-west/men/2023.html,Big West,-0.58,L,58,78,2,7,L 2,Baha Mar Convention Center,/cbb/schools/vermont/men/2023.html,N,
9,/cbb/boxscores/2022-12-01-19-vermont.html,"Thu, Dec 1, 2022",7:00p,REG,,Vermont State–Lyndon,,,,W,101,63,3,7,W 1,Roy L. Patrick Gymnasium,/cbb/schools/vermont/men/2023.html,,
