,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,overtimes,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2023-11-06-20-alabama-birmingham.html,"Mon, Nov 6, 2023",8:00p,REG,/cbb/schools/bradley/men/2024.html,Bradley,/cbb/conferences/mvc/men/2024.html,MVC,10.03,L,71,73,OT,0,1,L 1,Bartow Arena,/cbb/schools/alabama-birmingham/men/2024.html,
1,/cbb/boxscores/2023-11-10-21-alabama-birmingham.html,"Fri, Nov 10, 2023",9:30p,REG,/cbb/schools/clemson/men/2024.html,Clemson,/cbb/conferences/acc/men/2024.html,ACC,14.89,L,76,77,,0,2,L 2,Harrah's Cherokee Center,/cbb/schools/alabama-birmingham/men/2024.html,N
2,/cbb/boxscores/2023-11-12-12-alabama-birmingham.html,"Sun, Nov 12, 2023",12:30p,REG,/cbb/schools/maryland/men/2024.html,Maryland,/cbb/conferences/big-ten/men/2024.html,Big Ten,10.83,W,66,63,,1,2,W 1,Harrah's Cherokee Center,/cbb/schools/alabama-birmingham/men/2024.html,N
3,/cbb/boxscores/2023-11-16-01-alabama-birmingham.html,"Thu, Nov 16, 2023",8:00p,REG,/cbb/schools/alcorn-state/men/2024.html,Alcorn State,/cbb/conferences/swac/men/2024.html,SWAC,-11.46,W,80,77,,2,2,W 2,Bartow Arena,/cbb/schools/alabama-birmingham/men/2024.html,
4,/cbb/boxscores/2023-11-21-01-middle-tennessee.html,"Tue, Nov 21, 2023",7:30p,REG,/cbb/schools/middle-tennessee/men/2024.html,Middle Tennessee,/cbb/conferences/cusa/men/2024.html,CUSA,-7.23,W,58,57,,3,2,W 3,Murphy Center,/cbb/schools/alabama-birmingham/men/2024.html,@
5,/cbb/boxscores/2023-11-25-01-alabama-birmingham.html,"Sat, Nov 25, 2023",6:00p,REG,/cbb/schools/furman/men/2024.html,Furman,/cbb/conferences/southern/men/2024.html,Southern,0.36,W,92,86,,4,2,W 4,Bartow Arena,/cbb/schools/alabama-birmingham/men/2024.html,
6,/cbb/boxscores/2023-11-28-01-alabama-birmingham.html,"Tue, Nov 28, 2023",8:00p,REG,/cbb/schools/mcneese-state/men/2024.html,McNeese State,/cbb/conferences/southland/men/2024.html,Southland,7.07,L,60,81,,4,3,L 1,Bartow Arena,/cbb/schools/alabama-birmingham/men/2024.html,
7,/cbb/boxscores/2023-12-01-01-alabama-birmingham.html,"Fri, Dec 1, 2023",8:00p,REG,/cbb/schools/southern-mississippi/men/2024.html,Southern Mississippi,/cbb/conferences/sun-belt/men/2024.html,Sun Belt,-5.67,L,82,85,,4,4,L 2,Bartow Arena,/cbb/schools/alabama-birmingham/men/2024.html,
8,/cbb/boxscores/2023-12-09-15-arkansas-state.html,"Sat, Dec 9, 2023",3:30p,REG,/cbb/schools/arkansas-state/men/2024.html,Arkansas State,/cbb/conferences/sun-belt/men/2024.html,Sun Belt,0.51,L,68,87,,4,5,L 3,First National Bank Arena,/cbb/schools/alabama-birmingham/men/2024.html,@
9,/cbb/boxscores/2023-12-13-20-alabama-am.html,"Wed, Dec 13, 2023",8:00p,REG,/cbb/schools/alabama-am/men/2024.html,Alabama A&M,/cbb/conferences/swac/men/2024.html,SWAC,-14.02,W,93,82,,5,5,W 1,,/cbb/schools/alabama-birmingham/men/2024.html,@
10,/cbb/boxscores/2023-12-17-01-alabama-birmingham.html,"Sun, Dec 17, 2023",3:00p,REG,,Montevallo,,,,W,92,56,,6,5,W 2,Bartow Arena,/cbb/schools/alabama-birmingham/men/2024.html,
11,/cbb/boxscores/2023-12-22-01-alabama-birmingham.html,"Fri, Dec 22, 2023",3:00p,REG,/cbb/schools/drake/men/2024.html,Drake,/cbb/conferences/mvc/men/2024.html,MVC,11.30,W,79,78,OT,7,5,W 3,Bartow Arena,/cbb/schools/alabama-birmingham/men/2024.html,
12,/cbb/boxscores/2023-12-29-01-alabama-birmingham.html,"Fri, Dec 29, 2023",8:00p,REG,/cbb/schools/north-carolina-asheville/men/2024.html,UNC Asheville,/cbb/conferences/big-south/men/2024.html,Big South,-1.71,W,90,85,,8,5,W 4,Bartow Arena,/cbb/schools/alabama-birmingham/men/2024.html,
13,/cbb/boxscores/2024-01-02-21-texas-san-antonio.html,"Tue, Jan 2, 2024",9:00p,REG,/cbb/schools/texas-san-antonio/men/2024.html,UTSA,/cbb/conferences/aac/men/2024.html,AAC,-4.95,W,78,76,,9,5,W 5,Convocation Center,/cbb/schools/alabama-birmingham/men/2024.html,@
14,/cbb/boxscores/2024-01-07-15-alabama-birmingham.html,"Sun, Jan 7, 2024",3:00p,REG,/cbb/schools/south-florida/men/2024.html,South Florida,/cbb/conferences/aac/men/2024.html,AAC,7.72,W,75,71,,10,5,W 6,Bartow Arena,/cbb/schools/alabama-birmingham/men/2024.html,
15,/cbb/boxscores/2024-01-14-00-florida-atlantic.html,"Sun, Jan 14, 2024",12:00p,REG,/cbb/schools/florida-atlantic/men/2024.html,Florida Atlantic,/cbb/conferences/aac/men/2024.html,AAC,13.89,L,73,86,,10,6,L 1,FAU Arena,/cbb/schools/alabama-birmingham/men/2024.html,@
16,/cbb/boxscores/2024-01-17-01-alabama-birmingham.html,"Wed, Jan 17, 2024",8:00p,REG,/cbb/schools/tulane/men/2024.html,Tulane,/cbb/conferences/aac/men/2024.html,AAC,3.98,W,83,69,,11,6,W 1,Bartow Arena,/cbb/schools/alabama-birmingham/men/2024.html,
17,/cbb/boxscores/2024-01-20-01-alabama-birmingham.html,"Sat, Jan 20, 2024",3:00p,REG,/cbb/schools/east-carolina/men/2024.html,East Carolina,/cbb/conferences/aac/men/2024.html,AAC,-0.35,W,69,61,,12,6,W 2,Bartow Arena,/cbb/schools/alabama-birmingham/men/2024.html,
18,/cbb/boxscores/2024-01-23-19-charlotte.html,"Tue, Jan 23, 2024",7:00p,REG,/cbb/schools/charlotte/men/2024.html,Charlotte,/cbb/conferences/aac/men/2024.html,AAC,4.36,L,70,76,,12,7,L 1,Dale F. Halton Arena,/cbb/schools/alabama-birmingham/men/2024.html,@
19,/cbb/boxscores/2024-01-28-01-alabama-birmingham.html,"Sun, Jan 28, 2024",5:00p,REG,/cbb/schools/memphis/men/2024.html,Memphis,/cbb/conferences/aac/men/2024.html,AAC,9.19,W,97,88,,13,7,W 1,Bartow Arena,/cbb/schools/alabama-birmingham/men/2024.html,
20,/cbb/boxscores/2024-01-31-01-north-texas.html,"Wed, Jan 31, 2024",9:00p,REG,/cbb/schools/north-texas/men/2024.html,North Texas,/cbb/conferences/aac/men/2024.html,AAC,9.01,W,82,79,OT,14,7,W 2,Super Pit,/cbb/schools/alabama-birmingham/men/2024.html,@
21,/cbb/boxscores/2024-02-04-18-southern-methodist.html,"Sun, Feb 4, 2024",6:00p,REG,/cbb/schools/southern-methodist/men/2024.html,Southern Methodist,/cbb/conferences/aac/men/2024.html,AAC,10.48,L,69,72,,14,8,L 1,Moody Coliseum,/cbb/schools/alabama-birmingham/men/2024.html,@
22,/cbb/boxscores/2024-02-08-01-alabama-birmingham.html,"Thu, Feb 8, 2024",9:00p,REG,/cbb/schools/florida-atlantic/men/2024.html,Florida Atlantic,/cbb/conferences/aac/men/2024.html,AAC,13.89,W,76,73,OT,15,8,W 1,Bartow Arena,/cbb/schools/alabama-birmingham/men/2024.html,
23,/cbb/boxscores/2024-02-11-14-tulsa.html,"Sun, Feb 11, 2024",2:00p,REG,/cbb/schools/tulsa/men/2024.html,Tulsa,/cbb/conferences/aac/men/2024.html,AAC,-0.92,W,70,63,,16,8,W 2,Donald W. Reynolds Center,/cbb/schools/alabama-birmingham/men/2024.html,@
