,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2023-11-06-20-alabama.html,"Mon, Nov 6, 2023",8:00p,REG,/cbb/schools/morehead-state/men/2024.html,Morehead State,/cbb/conferences/ovc/men/2024.html,OVC,0.64,W,105,73,1,0,W 1,Coleman Coliseum,/cbb/schools/alabama/men/2024.html,,
1,/cbb/boxscores/2023-11-10-20-alabama.html,"Fri, Nov 10, 2023",8:00p,REG,/cbb/schools/indiana-state/men/2024.html,Indiana State,/cbb/conferences/mvc/men/2024.html,MVC,13.02,W,102,80,2,0,W 2,Coleman Coliseum,/cbb/schools/alabama/men/2024.html,,
2,/cbb/boxscores/2023-11-14-20-alabama.html,"Tue, Nov 14, 2023",8:00p,REG,/cbb/schools/south-alabama/men/2024.html,South Alabama,/cbb/conferences/sun-belt/men/2024.html,Sun Belt,-5.66,W,102,46,3,0,W 3,Coleman Coliseum,/cbb/schools/alabama/men/2024.html,,
3,/cbb/boxscores/2023-11-17-20-alabama.html,"Fri, Nov 17, 2023",8:00p,REG,/cbb/schools/mercer/men/2024.html,Mercer,/cbb/conferences/southern/men/2024.html,Southern,-4.52,W,98,67,4,0,W 4,Coleman Coliseum,/cbb/schools/alabama/men/2024.html,,
4,/cbb/boxscores/2023-11-24-19-ohio-state.html,"Fri, Nov 24, 2023",7:00p,REG,/cbb/schools/ohio-state/men/2024.html,Ohio State,/cbb/conferences/big-ten/men/2024.html,Big Ten,13.92,L,81,92,4,1,L 1,The Arena at Northwest Florida State College,/cbb/schools/alabama/men/2024.html,N,
5,/cbb/boxscores/2023-11-25-16-oregon.html,"Sat, Nov 25, 2023",4:00p,REG,/cbb/schools/oregon/men/2024.html,Oregon,/cbb/conferences/pac-12/men/2024.html,Pac-12,12.27,W,99,91,5,1,W 1,The Arena at Northwest Florida State College,/cbb/schools/alabama/men/2024.html,N,
6,/cbb/boxscores/2023-11-28-21-alabama.html,"Tue, Nov 28, 2023",9:30p,REG,/cbb/schools/clemson/men/2024.html,Clemson,/cbb/conferences/acc/men/2024.html,ACC,14.89,L,77,85,5,2,L 1,Coleman Coliseum,/cbb/schools/alabama/men/2024.html,,
7,/cbb/boxscores/2023-12-04-01-alabama.html,"Mon, Dec 4, 2023",8:00p,REG,/cbb/schools/arkansas-state/men/2024.html,Arkansas State,/cbb/conferences/sun-belt/men/2024.html,Sun Belt,0.51,W,89,65,6,2,W 1,Coleman Coliseum,/cbb/schools/alabama/men/2024.html,,
8,/cbb/boxscores/2023-12-09-13-purdue.html,"Sat, Dec 9, 2023",1:30p,REG,/cbb/schools/purdue/men/2024.html,Purdue,/cbb/conferences/big-ten/men/2024.html,Big Ten,24.73,L,86,92,6,3,L 1,,/cbb/schools/alabama/men/2024.html,N,
9,/cbb/boxscores/2023-12-16-14-creighton.html,"Sat, Dec 16, 2023",8:00p,REG,/cbb/schools/creighton/men/2024.html,Creighton,/cbb/conferences/big-east/men/2024.html,Big East,19.85,L,82,85,6,4,L 2,CHI Health Center Omaha,/cbb/schools/alabama/men/2024.html,@,
10,/cbb/boxscores/2023-12-20-23-alabama.html,"Wed, Dec 20, 2023",11:00p,REG,/cbb/schools/arizona/men/2024.html,Arizona,/cbb/conferences/pac-12/men/2024.html,Pac-12,25.35,L,74,87,6,5,L 3,Footprint Center,/cbb/schools/alabama/men/2024.html,N,
11,/cbb/boxscores/2023-12-23-01-alabama.html,"Sat, Dec 23, 2023",4:00p,REG,/cbb/schools/eastern-kentucky/men/2024.html,Eastern Kentucky,/cbb/conferences/atlantic-sun/men/2024.html,A-Sun,-5.23,W,111,67,7,5,W 1,Coleman Coliseum,/cbb/schools/alabama/men/2024.html,,
12,/cbb/boxscores/2023-12-30-00-alabama.html,"Sat, Dec 30, 2023",2:00p,REG,/cbb/schools/liberty/men/2024.html,Liberty,/cbb/conferences/cusa/men/2024.html,CUSA,1.78,W,101,56,8,5,W 2,Legacy Arena,/cbb/schools/alabama/men/2024.html,N,
13,/cbb/boxscores/2024-01-06-01-vanderbilt.html,"Sat, Jan 6, 2024",3:30p,REG,/cbb/schools/vanderbilt/men/2024.html,Vanderbilt,/cbb/conferences/sec/men/2024.html,SEC,0.45,W,78,75,9,5,W 3,Memorial Gymnasium,/cbb/schools/alabama/men/2024.html,@,
14,/cbb/boxscores/2024-01-09-01-alabama.html,"Tue, Jan 9, 2024",7:00p,REG,/cbb/schools/south-carolina/men/2024.html,South Carolina,/cbb/conferences/sec/men/2024.html,SEC,11.54,W,74,47,10,5,W 4,Coleman Coliseum,/cbb/schools/alabama/men/2024.html,,
15,/cbb/boxscores/2024-01-13-20-mississippi-state.html,"Sat, Jan 13, 2024",8:30p,REG,/cbb/schools/mississippi-state/men/2024.html,Mississippi State,/cbb/conferences/sec/men/2024.html,SEC,14.92,W,82,74,11,5,W 5,Humphrey Coliseum,/cbb/schools/alabama/men/2024.html,@,
16,/cbb/boxscores/2024-01-16-19-alabama.html,"Tue, Jan 16, 2024",7:00p,REG,/cbb/schools/missouri/men/2024.html,Missouri,/cbb/conferences/sec/men/2024.html,SEC,3.47,W,93,75,12,5,W 6,Coleman Coliseum,/cbb/schools/alabama/men/2024.html,,
17,/cbb/boxscores/2024-01-20-00-tennessee.html,"Sat, Jan 20, 2024",2:00p,REG,/cbb/schools/tennessee/men/2024.html,Tennessee,/cbb/conferences/sec/men/2024.html,SEC,21.77,L,71,91,12,6,L 1,Thompson-Boling Arena,/cbb/schools/alabama/men/2024.html,@,
18,/cbb/boxscores/2024-01-24-01-alabama.html,"Wed, Jan 24, 2024",7:30p,REG,/cbb/schools/auburn/men/2024.html,Auburn,/cbb/conferences/sec/men/2024.html,SEC,23.33,W,79,75,13,6,W 1,Coleman Coliseum,/cbb/schools/alabama/men/2024.html,,
19,/cbb/boxscores/2024-01-27-20-alabama.html,"Sat, Jan 27, 2024",8:00p,REG,/cbb/schools/louisiana-state/men/2024.html,Louisiana State,/cbb/conferences/sec/men/2024.html,SEC,8.41,W,109,88,14,6,W 2,Coleman Coliseum,/cbb/schools/alabama/men/2024.html,,
20,/cbb/boxscores/2024-01-31-18-georgia.html,"Wed, Jan 31, 2024",6:30p,REG,/cbb/schools/georgia/men/2024.html,Georgia,/cbb/conferences/sec/men/2024.html,SEC,8.67,W,85,76,15,6,W 3,Stegeman Coliseum,/cbb/schools/alabama/men/2024.html,@,
21,/cbb/boxscores/2024-02-03-20-alabama.html,"Sat, Feb 3, 2024",8:30p,REG,/cbb/schools/mississippi-state/men/2024.html,Mississippi State,/cbb/conferences/sec/men/2024.html,SEC,14.92,W,99,67,16,6,W 4,Coleman Coliseum,/cbb/schools/alabama/men/2024.html,,
22,/cbb/boxscores/2024-02-07-19-auburn.html,"Wed, Feb 7, 2024",7:00p,REG,/cbb/schools/auburn/men/2024.html,Auburn,/cbb/conferences/sec/men/2024.html,SEC,23.33,L,81,99,16,7,L 1,Neville Arena,/cbb/schools/alabama/men/2024.html,@,
23,/cbb/boxscores/2024-02-10-12-louisiana-state.html,"Sat, Feb 10, 2024",12:00p,REG,/cbb/schools/louisiana-state/men/2024.html,Louisiana State,/cbb/conferences/sec/men/2024.html,SEC,8.41,W,109,92,17,7,W 1,Maravich Assembly Center,/cbb/schools/alabama/men/2024.html,@,
24,/cbb/boxscores/2024-02-17-12-alabama.html,"Sat, Feb 17, 2024",12:00p,REG,/cbb/schools/texas-am/men/2024.html,Texas A&M,/cbb/conferences/sec/men/2024.html,SEC,12.97,W,100,75,18,7,W 2,Coleman Coliseum,/cbb/schools/alabama/men/2024.html,,
