,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2023-11-07-21-baylor.html,"Tue, Nov 7, 2023",9:00p,REG,N,/cbb/schools/auburn/men/2024.html,Auburn,/cbb/conferences/sec/men/2024.html,SEC,23.33,W,88,82,1,0,W 1,Sanford Pentagon,/cbb/schools/baylor/men/2024.html,
1,/cbb/boxscores/2023-11-09-12-baylor.html,"Thu, Nov 9, 2023",12:00p,REG,,,John Brown,,,,W,96,70,2,0,W 2,Ferrell Center,/cbb/schools/baylor/men/2024.html,
2,/cbb/boxscores/2023-11-12-17-baylor.html,"Sun, Nov 12, 2023",5:00p,REG,,/cbb/schools/gardner-webb/men/2024.html,Gardner-Webb,/cbb/conferences/big-south/men/2024.html,Big South,-4.45,W,77,62,3,0,W 3,Ferrell Center,/cbb/schools/baylor/men/2024.html,
3,/cbb/boxscores/2023-11-14-22-baylor.html,"Tue, Nov 14, 2023",10:00p,REG,,/cbb/schools/missouri-kansas-city/men/2024.html,Kansas City,/cbb/conferences/summit/men/2024.html,Summit,-5.00,W,99,61,4,0,W 4,Ferrell Center,/cbb/schools/baylor/men/2024.html,
4,/cbb/boxscores/2023-11-22-19-oregon-state.html,"Wed, Nov 22, 2023",7:00p,NIT,N,/cbb/schools/oregon-state/men/2024.html,Oregon State,/cbb/conferences/pac-12/men/2024.html,Pac-12,3.54,W,88,72,5,0,W 5,Barclays Center,/cbb/schools/baylor/men/2024.html,
5,/cbb/boxscores/2023-11-24-17-florida.html,"Fri, Nov 24, 2023",5:30p,NIT,N,/cbb/schools/florida/men/2024.html,Florida,/cbb/conferences/sec/men/2024.html,SEC,15.45,W,95,91,6,0,W 6,Barclays Center,/cbb/schools/baylor/men/2024.html,
6,/cbb/boxscores/2023-11-28-20-baylor.html,"Tue, Nov 28, 2023",8:00p,REG,,/cbb/schools/nicholls-state/men/2024.html,Nicholls State,/cbb/conferences/southland/men/2024.html,Southland,-6.77,W,108,70,7,0,W 7,Ferrell Center,/cbb/schools/baylor/men/2024.html,
7,/cbb/boxscores/2023-12-02-18-baylor.html,"Sat, Dec 2, 2023",6:00p,REG,,/cbb/schools/northwestern-state/men/2024.html,Northwestern State,/cbb/conferences/southland/men/2024.html,Southland,-14.08,W,91,40,8,0,W 8,Ferrell Center,/cbb/schools/baylor/men/2024.html,
8,/cbb/boxscores/2023-12-05-21-baylor.html,"Tue, Dec 5, 2023",9:00p,REG,,/cbb/schools/seton-hall/men/2024.html,Seton Hall,/cbb/conferences/big-east/men/2024.html,Big East,11.12,W,78,60,9,0,W 9,Ferrell Center,/cbb/schools/baylor/men/2024.html,
9,/cbb/boxscores/2023-12-16-20-michigan-state.html,"Sat, Dec 16, 2023",2:00p,REG,N,/cbb/schools/michigan-state/men/2024.html,Michigan State,/cbb/conferences/big-ten/men/2024.html,Big Ten,17.87,L,64,88,9,1,L 1,Little Caesars Arena,/cbb/schools/baylor/men/2024.html,
10,/cbb/boxscores/2023-12-20-19-baylor.html,"Wed, Dec 20, 2023",7:00p,REG,N,/cbb/schools/duke/men/2024.html,Duke,/cbb/conferences/acc/men/2024.html,ACC,20.19,L,70,78,9,2,L 2,Madison Square Garden (IV),/cbb/schools/baylor/men/2024.html,
11,/cbb/boxscores/2023-12-22-19-baylor.html,"Fri, Dec 22, 2023",7:00p,REG,,/cbb/schools/mississippi-valley-state/men/2024.html,Mississippi Valley State,/cbb/conferences/swac/men/2024.html,SWAC,-26.05,W,107,48,10,2,W 1,Ferrell Center,/cbb/schools/baylor/men/2024.html,
12,/cbb/boxscores/2024-01-02-19-baylor.html,"Tue, Jan 2, 2024",8:00p,REG,,/cbb/schools/cornell/men/2024.html,Cornell,/cbb/conferences/ivy/men/2024.html,Ivy,3.76,W,98,79,11,2,W 2,,/cbb/schools/baylor/men/2024.html,
13,/cbb/boxscores/2024-01-06-15-oklahoma-state.html,"Sat, Jan 6, 2024",3:00p,REG,@,/cbb/schools/oklahoma-state/men/2024.html,Oklahoma State,/cbb/conferences/big-12/men/2024.html,Big 12,6.65,W,75,70,12,2,W 3,Gallagher-Iba Arena,/cbb/schools/baylor/men/2024.html,OT
14,/cbb/boxscores/2024-01-09-21-baylor.html,"Tue, Jan 9, 2024",9:00p,REG,,/cbb/schools/brigham-young/men/2024.html,Brigham Young,/cbb/conferences/big-12/men/2024.html,Big 12,20.22,W,81,72,13,2,W 4,,/cbb/schools/baylor/men/2024.html,
15,/cbb/boxscores/2024-01-13-20-baylor.html,"Sat, Jan 13, 2024",8:00p,REG,,/cbb/schools/cincinnati/men/2024.html,Cincinnati,/cbb/conferences/big-12/men/2024.html,Big 12,15.29,W,62,59,14,2,W 5,,/cbb/schools/baylor/men/2024.html,
16,/cbb/boxscores/2024-01-16-20-kansas-state.html,"Tue, Jan 16, 2024",8:00p,REG,@,/cbb/schools/kansas-state/men/2024.html,Kansas State,/cbb/conferences/big-12/men/2024.html,Big 12,11.45,L,64,68,14,3,L 1,Bramlage Coliseum,/cbb/schools/baylor/men/2024.html,OT
17,/cbb/boxscores/2024-01-20-01-texas.html,"Sat, Jan 20, 2024",12:00p,REG,@,/cbb/schools/texas/men/2024.html,Texas,/cbb/conferences/big-12/men/2024.html,Big 12,15.90,L,73,75,14,4,L 2,Moody Center,/cbb/schools/baylor/men/2024.html,
