,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2023-11-06-18-connecticut.html,"Mon, Nov 6, 2023",6:30p,REG,/cbb/schools/northern-arizona/men/2024.html,Northern Arizona,/cbb/conferences/big-sky/men/2024.html,Big Sky,-11.94,W,95,52,1,0,W 1,Harry A. Gampel Pavilion,/cbb/schools/connecticut/men/2024.html,
1,/cbb/boxscores/2023-11-11-12-connecticut.html,"Sat, Nov 11, 2023",12:00p,REG,/cbb/schools/stonehill/men/2024.html,Stonehill,/cbb/conferences/northeast/men/2024.html,NEC,-20.05,W,107,67,2,0,W 2,XL Center,/cbb/schools/connecticut/men/2024.html,
2,/cbb/boxscores/2023-11-14-19-connecticut.html,"Tue, Nov 14, 2023",7:00p,REG,/cbb/schools/mississippi-valley-state/men/2024.html,Mississippi Valley State,/cbb/conferences/swac/men/2024.html,SWAC,-26.05,W,87,53,3,0,W 3,XL Center,/cbb/schools/connecticut/men/2024.html,
3,/cbb/boxscores/2023-11-19-13-indiana.html,"Sun, Nov 19, 2023",1:00p,REG,/cbb/schools/indiana/men/2024.html,Indiana,/cbb/conferences/big-ten/men/2024.html,Big Ten,7.98,W,77,57,4,0,W 4,Madison Square Garden (IV),/cbb/schools/connecticut/men/2024.html,N
4,/cbb/boxscores/2023-11-20-19-texas.html,"Mon, Nov 20, 2023",7:00p,REG,/cbb/schools/texas/men/2024.html,Texas,/cbb/conferences/big-12/men/2024.html,Big 12,15.90,W,81,71,5,0,W 5,Madison Square Garden (IV),/cbb/schools/connecticut/men/2024.html,N
5,/cbb/boxscores/2023-11-24-14-connecticut.html,"Fri, Nov 24, 2023",2:00p,REG,/cbb/schools/manhattan/men/2024.html,Manhattan,/cbb/conferences/maac/men/2024.html,MAAC,-15.12,W,90,60,6,0,W 6,XL Center,/cbb/schools/connecticut/men/2024.html,
6,/cbb/boxscores/2023-11-27-19-connecticut.html,"Mon, Nov 27, 2023",7:00p,REG,/cbb/schools/new-hampshire/men/2024.html,New Hampshire,/cbb/conferences/america-east/men/2024.html,AEC,-6.09,W,84,64,7,0,W 7,Harry A. Gampel Pavilion,/cbb/schools/connecticut/men/2024.html,
7,/cbb/boxscores/2023-12-01-21-kansas.html,"Fri, Dec 1, 2023",9:00p,REG,/cbb/schools/kansas/men/2024.html,Kansas,/cbb/conferences/big-12/men/2024.html,Big 12,17.48,L,65,69,7,1,L 1,Allen Fieldhouse,/cbb/schools/connecticut/men/2024.html,@
8,/cbb/boxscores/2023-12-05-21-north-carolina.html,"Tue, Dec 5, 2023",9:00p,REG,/cbb/schools/north-carolina/men/2024.html,North Carolina,/cbb/conferences/acc/men/2024.html,ACC,20.93,W,87,76,8,1,W 1,Madison Square Garden (IV),/cbb/schools/connecticut/men/2024.html,N
9,/cbb/boxscores/2023-12-09-12-connecticut.html,"Sat, Dec 9, 2023",12:00p,REG,/cbb/schools/arkansas-pine-bluff/men/2024.html,Arkansas-Pine Bluff,/cbb/conferences/swac/men/2024.html,SWAC,-15.50,W,101,63,9,1,W 2,Harry A. Gampel Pavilion,/cbb/schools/connecticut/men/2024.html,
10,/cbb/boxscores/2023-12-15-22-gonzaga.html,"Fri, Dec 15, 2023",10:00p,REG,/cbb/schools/gonzaga/men/2024.html,Gonzaga,/cbb/conferences/wcc/men/2024.html,WCC,17.35,W,76,63,10,1,W 3,Climate Pledge Arena,/cbb/schools/connecticut/men/2024.html,N
11,/cbb/boxscores/2023-12-20-19-seton-hall.html,"Wed, Dec 20, 2023",7:00p,REG,/cbb/schools/seton-hall/men/2024.html,Seton Hall,/cbb/conferences/big-east/men/2024.html,Big East,11.12,L,60,75,10,2,L 1,Prudential Center,/cbb/schools/connecticut/men/2024.html,@
12,/cbb/boxscores/2023-12-23-20-connecticut.html,"Sat, Dec 23, 2023",8:00p,REG,/cbb/schools/st-johns-ny/men/2024.html,St. John's (NY),/cbb/conferences/big-east/men/2024.html,Big East,16.09,W,69,65,11,2,W 1,XL Center,/cbb/schools/connecticut/men/2024.html,
