,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2023-11-08-20-drake.html,"Wed, Nov 8, 2023",8:00p,REG,/cbb/schools/lipscomb/men/2024.html,Lipscomb,/cbb/conferences/atlantic-sun/men/2024.html,A-Sun,-1.71,W,85,70,1,0,W 1,Knapp Center,/cbb/schools/drake/men/2024.html,,
1,/cbb/boxscores/2023-11-14-20-drake.html,"Tue, Nov 14, 2023",8:00p,REG,,Southwest Minnesota State,,,,W,87,67,2,0,W 2,Knapp Center,/cbb/schools/drake/men/2024.html,,
2,/cbb/boxscores/2023-11-19-11-drake.html,"Sun, Nov 19, 2023",11:00a,REG,/cbb/schools/oakland/men/2024.html,Oakland,/cbb/conferences/horizon/men/2024.html,Horizon,1.56,W,85,77,3,0,W 3,John Gray Gymnasium,/cbb/schools/drake/men/2024.html,N,
3,/cbb/boxscores/2023-11-20-13-drake.html,"Mon, Nov 20, 2023",1:30p,REG,/cbb/schools/stephen-f-austin/men/2024.html,Stephen F. Austin,/cbb/conferences/wac/men/2024.html,WAC,-0.88,L,68,92,3,1,L 1,John Gray Gymnasium,/cbb/schools/drake/men/2024.html,N,
4,/cbb/boxscores/2023-11-21-17-akron.html,"Tue, Nov 21, 2023",5:00p,REG,/cbb/schools/akron/men/2024.html,Akron,/cbb/conferences/mac/men/2024.html,MAC,3.02,W,79,59,4,1,W 1,John Gray Gymnasium,/cbb/schools/drake/men/2024.html,N,
5,/cbb/boxscores/2023-11-25-19-drake.html,"Sat, Nov 25, 2023",7:00p,REG,/cbb/schools/texas-southern/men/2024.html,Texas Southern,/cbb/conferences/swac/men/2024.html,SWAC,-8.97,W,77,71,5,1,W 2,Knapp Center,/cbb/schools/drake/men/2024.html,,
6,/cbb/boxscores/2023-11-29-01-valparaiso.html,"Wed, Nov 29, 2023",8:00p,REG,/cbb/schools/valparaiso/men/2024.html,Valparaiso,/cbb/conferences/mvc/men/2024.html,MVC,-8.09,W,83,65,6,1,W 3,Athletics-Recreation Center,/cbb/schools/drake/men/2024.html,@,
7,/cbb/boxscores/2023-12-02-01-drake.html,"Sat, Dec 2, 2023",4:00p,REG,/cbb/schools/missouri-state/men/2024.html,Missouri State,/cbb/conferences/mvc/men/2024.html,MVC,1.18,W,74,57,7,1,W 4,Knapp Center,/cbb/schools/drake/men/2024.html,,
8,/cbb/boxscores/2023-12-06-01-drake.html,"Wed, Dec 6, 2023",8:00p,REG,/cbb/schools/saint-louis/men/2024.html,Saint Louis,/cbb/conferences/atlantic-10/men/2024.html,A-10,-1.41,W,75,69,8,1,W 5,Knapp Center,/cbb/schools/drake/men/2024.html,,
9,/cbb/boxscores/2023-12-09-19-drake.html,"Sat, Dec 9, 2023",7:30p,REG,/cbb/schools/nevada/men/2024.html,Nevada,/cbb/conferences/mwc/men/2024.html,MWC,13.48,W,72,53,9,1,W 6,Dollar Loan Center,/cbb/schools/drake/men/2024.html,N,
