,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2023-11-06-20-florida.html,"Mon, Nov 6, 2023",8:00p,REG,/cbb/schools/loyola-md/men/2024.html,Loyola (MD),/cbb/conferences/patriot/men/2024.html,Patriot,-16.00,W,93,73,1,0,W 1,Stephen C. O''Connell Center,/cbb/schools/florida/men/2024.html,,
1,/cbb/boxscores/2023-11-10-19-florida.html,"Fri, Nov 10, 2023",7:00p,REG,/cbb/schools/virginia/men/2024.html,Virginia,/cbb/conferences/acc/men/2024.html,ACC,10.35,L,70,73,1,1,L 1,Spectrum Center,/cbb/schools/florida/men/2024.html,N,
2,/cbb/boxscores/2023-11-14-19-florida.html,"Tue, Nov 14, 2023",7:00p,REG,/cbb/schools/florida-am/men/2024.html,Florida A&M,/cbb/conferences/swac/men/2024.html,SWAC,-15.64,W,89,68,2,1,W 1,Stephen C. O''Connell Center,/cbb/schools/florida/men/2024.html,,
3,/cbb/boxscores/2023-11-17-19-florida.html,"Fri, Nov 17, 2023",7:00p,REG,/cbb/schools/florida-state/men/2024.html,Florida State,/cbb/conferences/acc/men/2024.html,ACC,9.43,W,89,68,3,1,W 2,Stephen C. O''Connell Center,/cbb/schools/florida/men/2024.html,,
4,/cbb/boxscores/2023-11-22-21-pittsburgh.html,"Wed, Nov 22, 2023",9:30p,NIT,/cbb/schools/pittsburgh/men/2024.html,Pittsburgh,/cbb/conferences/acc/men/2024.html,ACC,14.75,W,86,71,4,1,W 3,Barclays Center,/cbb/schools/florida/men/2024.html,N,
5,/cbb/boxscores/2023-11-24-17-florida.html,"Fri, Nov 24, 2023",5:30p,NIT,/cbb/schools/baylor/men/2024.html,Baylor,/cbb/conferences/big-12/men/2024.html,Big 12,20.09,L,91,95,4,2,L 1,Barclays Center,/cbb/schools/florida/men/2024.html,N,
6,/cbb/boxscores/2023-11-29-19-wake-forest.html,"Wed, Nov 29, 2023",7:15p,REG,/cbb/schools/wake-forest/men/2024.html,Wake Forest,/cbb/conferences/acc/men/2024.html,ACC,15.17,L,71,82,4,3,L 2,Lawrence Joel Coliseum,/cbb/schools/florida/men/2024.html,@,
7,/cbb/boxscores/2023-12-05-00-florida.html,"Tue, Dec 5, 2023",7:00p,REG,/cbb/schools/merrimack/men/2024.html,Merrimack,/cbb/conferences/northeast/men/2024.html,NEC,-5.16,W,77,57,5,3,W 1,Stephen C. O''Connell Center,/cbb/schools/florida/men/2024.html,,
8,/cbb/boxscores/2023-12-09-00-florida.html,"Sat, Dec 9, 2023",4:00p,REG,/cbb/schools/richmond/men/2024.html,Richmond,/cbb/conferences/atlantic-10/men/2024.html,A-10,7.87,W,87,76,6,3,W 2,FLA Live Arena,/cbb/schools/florida/men/2024.html,N,
9,/cbb/boxscores/2023-12-14-19-florida.html,"Thu, Dec 14, 2023",7:00p,REG,/cbb/schools/east-carolina/men/2024.html,East Carolina,/cbb/conferences/aac/men/2024.html,AAC,-0.35,W,70,65,7,3,W 3,,/cbb/schools/florida/men/2024.html,N,
10,/cbb/boxscores/2023-12-19-19-florida.html,"Tue, Dec 19, 2023",7:00p,REG,/cbb/schools/michigan/men/2024.html,Michigan,/cbb/conferences/big-ten/men/2024.html,Big Ten,5.54,W,106,101,8,3,W 4,Spectrum Center,/cbb/schools/florida/men/2024.html,N,2OT
11,/cbb/boxscores/2023-12-22-00-florida.html,"Fri, Dec 22, 2023",4:00p,REG,/cbb/schools/grambling/men/2024.html,Grambling,/cbb/conferences/swac/men/2024.html,SWAC,-9.68,W,96,57,9,3,W 5,Stephen C. O''Connell Center,/cbb/schools/florida/men/2024.html,,
12,/cbb/boxscores/2023-12-30-00-florida.html,"Sat, Dec 30, 2023",1:00p,REG,/cbb/schools/quinnipiac/men/2024.html,Quinnipiac,/cbb/conferences/maac/men/2024.html,MAAC,-2.81,W,97,72,10,3,W 6,Stephen C. O''Connell Center,/cbb/schools/florida/men/2024.html,,
13,/cbb/boxscores/2024-01-06-00-florida.html,"Sat, Jan 6, 2024",12:30p,REG,/cbb/schools/kentucky/men/2024.html,Kentucky,/cbb/conferences/sec/men/2024.html,SEC,17.58,L,85,87,10,4,L 1,Stephen C. O''Connell Center,/cbb/schools/florida/men/2024.html,,
14,/cbb/boxscores/2024-01-10-21-mississippi.html,"Wed, Jan 10, 2024",9:00p,REG,/cbb/schools/mississippi/men/2024.html,Mississippi,/cbb/conferences/sec/men/2024.html,SEC,8.53,L,85,103,10,5,L 2,The Sandy and John Black Pavilion at Ole Miss,/cbb/schools/florida/men/2024.html,@,
15,/cbb/boxscores/2024-01-13-00-florida.html,"Sat, Jan 13, 2024",4:00p,REG,/cbb/schools/arkansas/men/2024.html,Arkansas,/cbb/conferences/sec/men/2024.html,SEC,6.34,W,90,68,11,5,W 1,Stephen C. O''Connell Center,/cbb/schools/florida/men/2024.html,,
