,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2023-11-10-21-gonzaga.html,"Fri, Nov 10, 2023",9:00p,REG,/cbb/schools/yale/men/2024.html,Yale,/cbb/conferences/ivy/men/2024.html,Ivy,4.76,W,86,71,1,0,W 1,McCarthey Athletic Center,/cbb/schools/gonzaga/men/2024.html,
1,/cbb/boxscores/2023-11-14-21-gonzaga.html,"Tue, Nov 14, 2023",9:00p,REG,,Eastern Oregon,,,,W,123,57,2,0,W 2,McCarthey Athletic Center,/cbb/schools/gonzaga/men/2024.html,
2,/cbb/boxscores/2023-11-20-17-gonzaga.html,"Mon, Nov 20, 2023",5:00p,REG,/cbb/schools/purdue/men/2024.html,Purdue,/cbb/conferences/big-ten/men/2024.html,Big Ten,24.73,L,63,73,2,1,L 1,Stan Sheriff Center,/cbb/schools/gonzaga/men/2024.html,N
3,/cbb/boxscores/2023-11-21-14-gonzaga.html,"Tue, Nov 21, 2023",2:30p,REG,/cbb/schools/syracuse/men/2024.html,Syracuse,/cbb/conferences/acc/men/2024.html,ACC,8.28,W,76,57,3,1,W 1,Stan Sheriff Center,/cbb/schools/gonzaga/men/2024.html,N
4,/cbb/boxscores/2023-11-23-00-ucla.html,"Thu, Nov 23, 2023",12:00a,REG,/cbb/schools/ucla/men/2024.html,UCLA,/cbb/conferences/pac-12/men/2024.html,Pac-12,7.70,W,69,65,4,1,W 2,Stan Sheriff Center,/cbb/schools/gonzaga/men/2024.html,N
5,/cbb/boxscores/2023-11-28-21-gonzaga.html,"Tue, Nov 28, 2023",9:00p,REG,/cbb/schools/cal-state-bakersfield/men/2024.html,Cal State Bakersfield,/cbb/conferences/big-west/men/2024.html,Big West,-5.06,W,81,65,5,1,W 3,McCarthey Athletic Center,/cbb/schools/gonzaga/men/2024.html,
6,/cbb/boxscores/2023-12-02-22-southern-california.html,"Sat, Dec 2, 2023",10:00p,REG,/cbb/schools/southern-california/men/2024.html,Southern California,/cbb/conferences/pac-12/men/2024.html,Pac-12,9.59,W,89,76,6,1,W 4,MGM Grand Garden Arena,/cbb/schools/gonzaga/men/2024.html,N
7,/cbb/boxscores/2023-12-05-21-gonzaga.html,"Tue, Dec 5, 2023",9:00p,REG,/cbb/schools/arkansas-pine-bluff/men/2024.html,Arkansas-Pine Bluff,/cbb/conferences/swac/men/2024.html,SWAC,-15.50,W,111,71,7,1,W 5,McCarthey Athletic Center,/cbb/schools/gonzaga/men/2024.html,
8,/cbb/boxscores/2023-12-09-23-washington.html,"Sat, Dec 9, 2023",11:00p,REG,/cbb/schools/washington/men/2024.html,Washington,/cbb/conferences/pac-12/men/2024.html,Pac-12,12.09,L,73,78,7,2,L 1,Alaska Airlines Arena,/cbb/schools/gonzaga/men/2024.html,@
9,/cbb/boxscores/2023-12-11-21-gonzaga.html,"Mon, Dec 11, 2023",9:00p,REG,/cbb/schools/mississippi-valley-state/men/2024.html,Mississippi Valley State,/cbb/conferences/swac/men/2024.html,SWAC,-26.05,W,78,40,8,2,W 1,McCarthey Athletic Center,/cbb/schools/gonzaga/men/2024.html,
10,/cbb/boxscores/2023-12-15-22-gonzaga.html,"Fri, Dec 15, 2023",10:00p,REG,/cbb/schools/connecticut/men/2024.html,Connecticut,/cbb/conferences/big-east/men/2024.html,Big East,24.50,L,63,76,8,3,L 1,Climate Pledge Arena,/cbb/schools/gonzaga/men/2024.html,N
11,/cbb/boxscores/2023-12-20-21-gonzaga.html,"Wed, Dec 20, 2023",9:00p,REG,/cbb/schools/jackson-state/men/2024.html,Jackson State,/cbb/conferences/swac/men/2024.html,SWAC,-11.40,W,100,76,9,3,W 1,McCarthey Athletic Center,/cbb/schools/gonzaga/men/2024.html,
12,/cbb/boxscores/2023-12-29-21-gonzaga.html,"Fri, Dec 29, 2023",9:00p,REG,/cbb/schools/san-diego-state/men/2024.html,San Diego State,/cbb/conferences/mwc/men/2024.html,MWC,15.42,L,74,84,9,4,L 1,McCarthey Athletic Center,/cbb/schools/gonzaga/men/2024.html,
13,/cbb/boxscores/2024-01-04-21-gonzaga.html,"Thu, Jan 4, 2024",9:00p,REG,/cbb/schools/pepperdine/men/2024.html,Pepperdine,/cbb/conferences/wcc/men/2024.html,WCC,-1.89,W,86,60,10,4,W 1,Spokane Veterans Memorial Arena,/cbb/schools/gonzaga/men/2024.html,
14,/cbb/boxscores/2024-01-06-21-gonzaga.html,"Sat, Jan 6, 2024",9:00p,REG,/cbb/schools/san-diego/men/2024.html,San Diego,/cbb/conferences/wcc/men/2024.html,WCC,-5.05,W,101,74,11,4,W 2,McCarthey Athletic Center,/cbb/schools/gonzaga/men/2024.html,
15,/cbb/boxscores/2024-01-11-03-santa-clara.html,"Thu, Jan 11, 2024",9:30p,REG,/cbb/schools/santa-clara/men/2024.html,Santa Clara,/cbb/conferences/wcc/men/2024.html,WCC,5.65,L,76,77,11,5,L 1,Leavey Center,/cbb/schools/gonzaga/men/2024.html,@
16,/cbb/boxscores/2024-01-18-03-pepperdine.html,"Thu, Jan 18, 2024",10:00p,REG,/cbb/schools/pepperdine/men/2024.html,Pepperdine,/cbb/conferences/wcc/men/2024.html,WCC,-1.89,W,86,61,12,5,W 1,Firestone Fieldhouse,/cbb/schools/gonzaga/men/2024.html,@
17,/cbb/boxscores/2024-01-20-22-san-diego.html,"Sat, Jan 20, 2024",10:00p,REG,/cbb/schools/san-diego/men/2024.html,San Diego,/cbb/conferences/wcc/men/2024.html,WCC,-5.05,W,105,63,13,5,W 2,Jenny Craig Pavilion,/cbb/schools/gonzaga/men/2024.html,@
18,/cbb/boxscores/2024-01-25-21-gonzaga.html,"Thu, Jan 25, 2024",9:00p,REG,/cbb/schools/san-francisco/men/2024.html,San Francisco,/cbb/conferences/wcc/men/2024.html,WCC,9.86,W,77,72,14,5,W 3,McCarthey Athletic Center,/cbb/schools/gonzaga/men/2024.html,
19,/cbb/boxscores/2024-01-27-03-pacific.html,"Sat, Jan 27, 2024",10:00p,REG,/cbb/schools/pacific/men/2024.html,Pacific,/cbb/conferences/wcc/men/2024.html,WCC,-17.17,W,82,73,15,5,W 4,Alex G. Spanos Center,/cbb/schools/gonzaga/men/2024.html,@
20,/cbb/boxscores/2024-01-30-23-gonzaga.html,"Tue, Jan 30, 2024",11:00p,REG,/cbb/schools/loyola-marymount/men/2024.html,Loyola Marymount,/cbb/conferences/wcc/men/2024.html,WCC,0.16,W,92,58,16,5,W 5,McCarthey Athletic Center,/cbb/schools/gonzaga/men/2024.html,
21,/cbb/boxscores/2024-02-03-22-gonzaga.html,"Sat, Feb 3, 2024",10:30p,REG,/cbb/schools/saint-marys-ca/men/2024.html,Saint Mary's (CA),/cbb/conferences/wcc/men/2024.html,WCC,17.01,L,62,64,16,6,L 1,McCarthey Athletic Center,/cbb/schools/gonzaga/men/2024.html,
22,/cbb/boxscores/2024-02-07-20-gonzaga.html,"Wed, Feb 7, 2024",8:00p,REG,/cbb/schools/portland/men/2024.html,Portland,/cbb/conferences/wcc/men/2024.html,WCC,-7.97,W,96,64,17,6,W 1,McCarthey Athletic Center,/cbb/schools/gonzaga/men/2024.html,
23,/cbb/boxscores/2024-02-10-16-kentucky.html,"Sat, Feb 10, 2024",4:00p,REG,/cbb/schools/kentucky/men/2024.html,Kentucky,/cbb/conferences/sec/men/2024.html,SEC,17.58,W,89,85,18,6,W 2,Rupp Arena,/cbb/schools/gonzaga/men/2024.html,@
24,/cbb/boxscores/2024-02-15-03-loyola-marymount.html,"Thu, Feb 15, 2024",9:00p,REG,/cbb/schools/loyola-marymount/men/2024.html,Loyola Marymount,/cbb/conferences/wcc/men/2024.html,WCC,0.16,W,91,74,19,6,W 3,Gersten Pavilion,/cbb/schools/gonzaga/men/2024.html,@
25,/cbb/boxscores/2024-02-17-21-gonzaga.html,"Sat, Feb 17, 2024",9:00p,REG,/cbb/schools/pacific/men/2024.html,Pacific,/cbb/conferences/wcc/men/2024.html,WCC,-17.17,W,102,76,20,6,W 4,McCarthey Athletic Center,/cbb/schools/gonzaga/men/2024.html,
26,/cbb/boxscores/2024-02-22-21-portland.html,"Thu, Feb 22, 2024",9:00p,REG,/cbb/schools/portland/men/2024.html,Portland,/cbb/conferences/wcc/men/2024.html,WCC,-7.97,W,86,65,21,6,W 5,Chiles Center,/cbb/schools/gonzaga/men/2024.html,@
27,/cbb/boxscores/2024-02-24-20-gonzaga.html,"Sat, Feb 24, 2024",10:00p,REG,/cbb/schools/santa-clara/men/2024.html,Santa Clara,/cbb/conferences/wcc/men/2024.html,WCC,5.65,W,94,81,22,6,W 6,McCarthey Athletic Center,/cbb/schools/gonzaga/men/2024.html,
28,/cbb/boxscores/2024-02-29-23-san-francisco.html,"Thu, Feb 29, 2024",11:00p,REG,/cbb/schools/san-francisco/men/2024.html,San Francisco,/cbb/conferences/wcc/men/2024.html,WCC,9.86,W,86,68,23,6,W 7,Chase Center,/cbb/schools/gonzaga/men/2024.html,@
29,/cbb/boxscores/2024-03-02-22-saint-marys-ca.html,"Sat, Mar 2, 2024",10:00p,REG,/cbb/schools/saint-marys-ca/men/2024.html,Saint Mary's (CA),/cbb/conferences/wcc/men/2024.html,WCC,17.01,W,70,57,24,6,W 8,University Credit Union Pavilion,/cbb/schools/gonzaga/men/2024.html,@
30,/cbb/boxscores/2024-03-11-23-gonzaga.html,"Mon, Mar 11, 2024",11:30p,CTOURN,/cbb/schools/san-francisco/men/2024.html,San Francisco,/cbb/conferences/wcc/men/2024.html,WCC,9.86,W,89,77,25,6,W 9,Orleans Arena,/cbb/schools/gonzaga/men/2024.html,N
31,/cbb/boxscores/2024-03-12-21-saint-marys-ca.html,"Tue, Mar 12, 2024",9:00p,CTOURN,/cbb/schools/saint-marys-ca/men/2024.html,Saint Mary's (CA),/cbb/conferences/wcc/men/2024.html,WCC,17.01,L,60,69,25,7,L 1,Orleans Arena,/cbb/schools/gonzaga/men/2024.html,N
32,,"['Thu, Mar 21, 2024']",7:25p,NCAA,/cbb/schools/mcneese-state/men/2024.html,McNeese State,/cbb/conferences/southland/men/2024.html,Southland,7.07,,,,,,,Vivint Arena,/cbb/schools/gonzaga/men/2024.html,N
