,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2023-11-06-21-grand-canyon.html,"Mon, Nov 6, 2023",9:00p,REG,/cbb/schools/southeast-missouri-state/men/2024.html,Southeast Missouri State,/cbb/conferences/ovc/men/2024.html,OVC,-18.04,W,88,67,1,0,W 1,GCU Arena,/cbb/schools/grand-canyon/men/2024.html,,
1,/cbb/boxscores/2023-11-12-17-grand-canyon.html,"Sun, Nov 12, 2023",5:30p,REG,/cbb/schools/northern-arizona/men/2024.html,Northern Arizona,/cbb/conferences/big-sky/men/2024.html,Big Sky,-11.94,W,89,55,2,0,W 2,GCU Arena,/cbb/schools/grand-canyon/men/2024.html,,
2,/cbb/boxscores/2023-11-17-21-grand-canyon.html,"Fri, Nov 17, 2023",9:00p,REG,/cbb/schools/san-francisco/men/2024.html,San Francisco,/cbb/conferences/wcc/men/2024.html,WCC,9.86,W,76,72,3,0,W 3,,/cbb/schools/grand-canyon/men/2024.html,N,
3,/cbb/boxscores/2023-11-19-19-grand-canyon.html,"Sun, Nov 19, 2023",7:00p,REG,/cbb/schools/south-carolina/men/2024.html,South Carolina,/cbb/conferences/sec/men/2024.html,SEC,11.54,L,68,75,3,1,L 1,,/cbb/schools/grand-canyon/men/2024.html,N,
4,/cbb/boxscores/2023-11-25-20-grand-canyon.html,"Sat, Nov 25, 2023",8:00p,REG,/cbb/schools/north-dakota-state/men/2024.html,North Dakota State,/cbb/conferences/summit/men/2024.html,Summit,-7.27,W,86,71,4,1,W 1,GCU Arena,/cbb/schools/grand-canyon/men/2024.html,,
5,/cbb/boxscores/2023-11-29-19-texas-pan-american.html,"Wed, Nov 29, 2023",7:30p,REG,/cbb/schools/texas-pan-american/men/2024.html,Texas-Rio Grande Valley,/cbb/conferences/wac/men/2024.html,WAC,-13.33,W,79,69,5,1,W 2,UTRGV Fieldhouse,/cbb/schools/grand-canyon/men/2024.html,@,
6,/cbb/boxscores/2023-12-02-20-grand-canyon.html,"Sat, Dec 2, 2023",8:00p,REG,/cbb/schools/texas-arlington/men/2024.html,UT Arlington,/cbb/conferences/wac/men/2024.html,WAC,2.49,W,76,69,6,1,W 3,GCU Arena,/cbb/schools/grand-canyon/men/2024.html,,
7,/cbb/boxscores/2023-12-05-21-grand-canyon.html,"Tue, Dec 5, 2023",9:00p,REG,/cbb/schools/san-diego-state/men/2024.html,San Diego State,/cbb/conferences/mwc/men/2024.html,MWC,15.42,W,79,73,7,1,W 4,GCU Arena,/cbb/schools/grand-canyon/men/2024.html,,
8,/cbb/boxscores/2023-12-09-14-liberty.html,"Sat, Dec 9, 2023",2:00p,REG,/cbb/schools/liberty/men/2024.html,Liberty,/cbb/conferences/cusa/men/2024.html,CUSA,1.78,W,69,64,8,1,W 5,Liberty Arena,/cbb/schools/grand-canyon/men/2024.html,@,
9,/cbb/boxscores/2023-12-16-21-grand-canyon.html,"Sat, Dec 16, 2023",9:30p,REG,/cbb/schools/portland/men/2024.html,Portland,/cbb/conferences/wcc/men/2024.html,WCC,-7.97,W,91,63,9,1,W 6,Footprint Center,/cbb/schools/grand-canyon/men/2024.html,N,
