,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2023-11-06-19-howard.html,"Mon, Nov 6, 2023",7:00p,REG,/cbb/schools/hampton/men/2024.html,Hampton,/cbb/conferences/coastal/men/2024.html,CAA,-15.69,W,92,80,1,0,W 1,Burr Gymnasium,/cbb/schools/howard/men/2024.html,,
1,/cbb/boxscores/2023-11-09-19-georgia-tech.html,"Thu, Nov 9, 2023",7:30p,REG,/cbb/schools/georgia-tech/men/2024.html,Georgia Tech,/cbb/conferences/acc/men/2024.html,ACC,4.52,L,85,88,1,1,L 1,McCamish Pavilion,/cbb/schools/howard/men/2024.html,@,
2,/cbb/boxscores/2023-11-12-16-james-madison.html,"Sun, Nov 12, 2023",4:00p,REG,/cbb/schools/james-madison/men/2024.html,James Madison,/cbb/conferences/sun-belt/men/2024.html,Sun Belt,8.63,L,86,107,1,2,L 2,Atlantic Union Bank Center,/cbb/schools/howard/men/2024.html,@,
3,/cbb/boxscores/2023-11-14-19-howard.html,"Tue, Nov 14, 2023",7:30p,REG,/cbb/schools/boston-university/men/2024.html,Boston University,/cbb/conferences/patriot/men/2024.html,Patriot,-9.78,W,64,53,2,2,W 1,Burr Gymnasium,/cbb/schools/howard/men/2024.html,,
4,/cbb/boxscores/2023-11-18-18-rutgers.html,"Sat, Nov 18, 2023",6:00p,REG,/cbb/schools/rutgers/men/2024.html,Rutgers,/cbb/conferences/big-ten/men/2024.html,Big Ten,7.61,L,63,85,2,3,L 1,Jersey Mike's Arena,/cbb/schools/howard/men/2024.html,@,
5,/cbb/boxscores/2023-11-20-19-bryant.html,"Mon, Nov 20, 2023",7:00p,REG,/cbb/schools/bryant/men/2024.html,Bryant,/cbb/conferences/america-east/men/2024.html,AEC,-2.92,L,61,67,2,4,L 2,Chase Athletic Center,/cbb/schools/howard/men/2024.html,@,
6,/cbb/boxscores/2023-11-25-16-mount-st-marys.html,"Sat, Nov 25, 2023",4:00p,REG,/cbb/schools/mount-st-marys/men/2024.html,Mount St. Mary's,/cbb/conferences/maac/men/2024.html,MAAC,-6.36,W,87,83,3,4,W 1,Knott Arena,/cbb/schools/howard/men/2024.html,@,2OT
7,/cbb/boxscores/2023-11-28-00-howard.html,"Tue, Nov 28, 2023",7:00p,REG,/cbb/schools/cincinnati/men/2024.html,Cincinnati,/cbb/conferences/big-12/men/2024.html,Big 12,15.29,L,81,86,3,5,L 1,Burr Gymnasium,/cbb/schools/howard/men/2024.html,,OT
8,/cbb/boxscores/2023-12-11-19-pennsylvania.html,"Mon, Dec 11, 2023",7:00p,REG,/cbb/schools/pennsylvania/men/2024.html,Pennsylvania,/cbb/conferences/ivy/men/2024.html,Ivy,-3.14,L,68,78,3,6,L 2,The Palestra,/cbb/schools/howard/men/2024.html,@,
9,/cbb/boxscores/2023-12-13-00-howard.html,"Wed, Dec 13, 2023",1:00p,REG,,Regent,,,,W,88,49,4,6,W 1,Burr Gymnasium,/cbb/schools/howard/men/2024.html,,
10,/cbb/boxscores/2023-12-17-00-howard.html,"Sun, Dec 17, 2023",12:00a,REG,/cbb/schools/jackson-state/men/2024.html,Jackson State,/cbb/conferences/swac/men/2024.html,SWAC,-11.40,L,74,81,4,7,L 1,Michelob Ultra Arena,/cbb/schools/howard/men/2024.html,N,
11,/cbb/boxscores/2023-12-17-18-howard.html,"Sun, Dec 17, 2023",6:00p,REG,/cbb/schools/texas-southern/men/2024.html,Texas Southern,/cbb/conferences/swac/men/2024.html,SWAC,-8.97,L,78,79,4,8,L 2,Michelob Ultra Arena,/cbb/schools/howard/men/2024.html,N,
12,/cbb/boxscores/2023-12-20-22-california-santa-barbara.html,"Wed, Dec 20, 2023",10:00p,REG,/cbb/schools/california-santa-barbara/men/2024.html,UC Santa Barbara,/cbb/conferences/big-west/men/2024.html,Big West,-2.83,L,81,94,4,9,L 3,The Thunderdome,/cbb/schools/howard/men/2024.html,@,
13,/cbb/boxscores/2023-12-30-14-la-salle.html,"Sat, Dec 30, 2023",2:00p,REG,/cbb/schools/la-salle/men/2024.html,La Salle,/cbb/conferences/atlantic-10/men/2024.html,A-10,-1.48,W,71,66,5,9,W 1,Tom Gola Arena,/cbb/schools/howard/men/2024.html,@,
14,/cbb/boxscores/2024-01-03-16-howard.html,"Wed, Jan 3, 2024",4:00p,REG,/cbb/schools/yale/men/2024.html,Yale,/cbb/conferences/ivy/men/2024.html,Ivy,4.76,L,78,86,5,10,L 1,Burr Gymnasium,/cbb/schools/howard/men/2024.html,,OT
15,/cbb/boxscores/2024-01-06-12-north-carolina-central.html,"Sat, Jan 6, 2024",12:00p,REG,/cbb/schools/north-carolina-central/men/2024.html,North Carolina Central,/cbb/conferences/meac/men/2024.html,MEAC,-7.79,L,54,73,5,11,L 2,McDougald-McLendon Arena,/cbb/schools/howard/men/2024.html,@,
16,/cbb/boxscores/2024-01-08-19-south-carolina-state.html,"Mon, Jan 8, 2024",7:30p,REG,/cbb/schools/south-carolina-state/men/2024.html,South Carolina State,/cbb/conferences/meac/men/2024.html,MEAC,-11.79,W,82,78,6,11,W 1,SHM Memorial Center,/cbb/schools/howard/men/2024.html,@,
17,/cbb/boxscores/2024-01-13-16-howard.html,"Sat, Jan 13, 2024",4:00p,REG,/cbb/schools/maryland-eastern-shore/men/2024.html,Maryland-Eastern Shore,/cbb/conferences/meac/men/2024.html,MEAC,-17.31,W,72,61,7,11,W 2,Burr Gymnasium,/cbb/schools/howard/men/2024.html,,
18,/cbb/boxscores/2024-01-15-00-howard.html,"Mon, Jan 15, 2024",7:00p,REG,,Morehouse,,,,W,78,72,8,11,W 3,Burr Gymnasium,/cbb/schools/howard/men/2024.html,,
19,/cbb/boxscores/2024-01-20-16-howard.html,"Sat, Jan 20, 2024",4:00p,REG,/cbb/schools/norfolk-state/men/2024.html,Norfolk State,/cbb/conferences/meac/men/2024.html,MEAC,-6.32,L,61,65,8,12,L 1,Burr Gymnasium,/cbb/schools/howard/men/2024.html,,
20,/cbb/boxscores/2024-01-27-16-morgan-state.html,"Sat, Jan 27, 2024",4:30p,REG,/cbb/schools/morgan-state/men/2024.html,Morgan State,/cbb/conferences/meac/men/2024.html,MEAC,-15.97,L,79,85,8,13,L 2,Talmadge L. Hill Field House,/cbb/schools/howard/men/2024.html,@,
21,/cbb/boxscores/2024-01-29-19-coppin-state.html,"Mon, Jan 29, 2024",7:30p,REG,/cbb/schools/coppin-state/men/2024.html,Coppin State,/cbb/conferences/meac/men/2024.html,MEAC,-21.43,W,81,66,9,13,W 1,Physical Education Complex,/cbb/schools/howard/men/2024.html,@,
22,/cbb/boxscores/2024-02-03-16-hampton.html,"Sat, Feb 3, 2024",4:00p,REG,/cbb/schools/hampton/men/2024.html,Hampton,/cbb/conferences/coastal/men/2024.html,CAA,-15.69,L,61,63,9,14,L 1,Prudential Center,/cbb/schools/howard/men/2024.html,N,
23,/cbb/boxscores/2024-02-05-19-delaware-state.html,"Mon, Feb 5, 2024",7:30p,REG,/cbb/schools/delaware-state/men/2024.html,Delaware State,/cbb/conferences/meac/men/2024.html,MEAC,-10.51,W,75,71,10,14,W 1,Memorial Hall,/cbb/schools/howard/men/2024.html,@,
24,/cbb/boxscores/2024-02-17-16-howard.html,"Sat, Feb 17, 2024",4:00p,REG,/cbb/schools/north-carolina-central/men/2024.html,North Carolina Central,/cbb/conferences/meac/men/2024.html,MEAC,-7.79,W,90,82,11,14,W 2,Burr Gymnasium,/cbb/schools/howard/men/2024.html,,
25,/cbb/boxscores/2024-02-19-19-howard.html,"Mon, Feb 19, 2024",7:30p,REG,/cbb/schools/south-carolina-state/men/2024.html,South Carolina State,/cbb/conferences/meac/men/2024.html,MEAC,-11.79,L,68,75,11,15,L 1,Burr Gymnasium,/cbb/schools/howard/men/2024.html,,
26,/cbb/boxscores/2024-02-24-16-howard.html,"Sat, Feb 24, 2024",4:00p,REG,/cbb/schools/morgan-state/men/2024.html,Morgan State,/cbb/conferences/meac/men/2024.html,MEAC,-15.97,W,78,72,12,15,W 1,Burr Gymnasium,/cbb/schools/howard/men/2024.html,,
27,/cbb/boxscores/2024-02-26-19-howard.html,"Mon, Feb 26, 2024",7:30p,REG,/cbb/schools/coppin-state/men/2024.html,Coppin State,/cbb/conferences/meac/men/2024.html,MEAC,-21.43,W,78,69,13,15,W 2,Burr Gymnasium,/cbb/schools/howard/men/2024.html,,
28,/cbb/boxscores/2024-03-02-16-maryland-eastern-shore.html,"Sat, Mar 2, 2024",4:00p,REG,/cbb/schools/maryland-eastern-shore/men/2024.html,Maryland-Eastern Shore,/cbb/conferences/meac/men/2024.html,MEAC,-17.31,W,70,66,14,15,W 3,Hytche Athletic Center,/cbb/schools/howard/men/2024.html,@,
29,/cbb/boxscores/2024-03-04-19-howard.html,"Mon, Mar 4, 2024",7:30p,REG,/cbb/schools/delaware-state/men/2024.html,Delaware State,/cbb/conferences/meac/men/2024.html,MEAC,-10.51,W,85,66,15,15,W 4,Burr Gymnasium,/cbb/schools/howard/men/2024.html,,
30,/cbb/boxscores/2024-03-07-19-norfolk-state.html,"Thu, Mar 7, 2024",9:00p,REG,/cbb/schools/norfolk-state/men/2024.html,Norfolk State,/cbb/conferences/meac/men/2024.html,MEAC,-6.32,L,58,77,15,16,L 1,Echols Memorial Hall,/cbb/schools/howard/men/2024.html,@,
