,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2023-11-06-20-kansas.html,"Mon, Nov 6, 2023",8:00p,REG,/cbb/schools/north-carolina-central/men/2024.html,North Carolina Central,/cbb/conferences/meac/men/2024.html,MEAC,-7.79,W,99,56,1,0,W 1,Allen Fieldhouse,/cbb/schools/kansas/men/2024.html,,
1,/cbb/boxscores/2023-11-10-20-kansas.html,"Fri, Nov 10, 2023",8:00p,REG,/cbb/schools/manhattan/men/2024.html,Manhattan,/cbb/conferences/maac/men/2024.html,MAAC,-15.12,W,99,61,2,0,W 2,Allen Fieldhouse,/cbb/schools/kansas/men/2024.html,,
2,/cbb/boxscores/2023-11-14-21-kansas.html,"Tue, Nov 14, 2023",9:30p,REG,/cbb/schools/kentucky/men/2024.html,Kentucky,/cbb/conferences/sec/men/2024.html,SEC,17.58,W,89,84,3,0,W 3,United Center,/cbb/schools/kansas/men/2024.html,N,
3,/cbb/boxscores/2023-11-20-21-chaminade.html,"Mon, Nov 20, 2023",9:00p,REG,,Chaminade,,,,W,83,56,4,0,W 4,Stan Sheriff Center,/cbb/schools/kansas/men/2024.html,N,
4,/cbb/boxscores/2023-11-21-22-kansas.html,"Tue, Nov 21, 2023",10:30p,REG,/cbb/schools/marquette/men/2024.html,Marquette,/cbb/conferences/big-east/men/2024.html,Big East,19.34,L,59,73,4,1,L 1,Stan Sheriff Center,/cbb/schools/kansas/men/2024.html,N,
5,/cbb/boxscores/2023-11-22-14-kansas.html,"Wed, Nov 22, 2023",2:30p,REG,/cbb/schools/tennessee/men/2024.html,Tennessee,/cbb/conferences/sec/men/2024.html,SEC,21.77,W,69,60,5,1,W 1,Stan Sheriff Center,/cbb/schools/kansas/men/2024.html,N,
6,/cbb/boxscores/2023-11-28-20-kansas.html,"Tue, Nov 28, 2023",8:00p,REG,/cbb/schools/eastern-illinois/men/2024.html,Eastern Illinois,/cbb/conferences/ovc/men/2024.html,OVC,-11.33,W,71,63,6,1,W 2,Allen Fieldhouse,/cbb/schools/kansas/men/2024.html,,
7,/cbb/boxscores/2023-12-01-21-kansas.html,"Fri, Dec 1, 2023",9:00p,REG,/cbb/schools/connecticut/men/2024.html,Connecticut,/cbb/conferences/big-east/men/2024.html,Big East,24.50,W,69,65,7,1,W 3,Allen Fieldhouse,/cbb/schools/kansas/men/2024.html,,
8,/cbb/boxscores/2023-12-05-20-kansas.html,"Tue, Dec 5, 2023",8:00p,REG,/cbb/schools/missouri-kansas-city/men/2024.html,Kansas City,/cbb/conferences/summit/men/2024.html,Summit,-5.00,W,88,69,8,1,W 4,Allen Fieldhouse,/cbb/schools/kansas/men/2024.html,,
9,/cbb/boxscores/2023-12-09-17-kansas.html,"Sat, Dec 9, 2023",5:15p,REG,/cbb/schools/missouri/men/2024.html,Missouri,/cbb/conferences/sec/men/2024.html,SEC,3.47,W,73,64,9,1,W 5,Allen Fieldhouse,/cbb/schools/kansas/men/2024.html,,
10,/cbb/boxscores/2023-12-16-00-indiana.html,"Sat, Dec 16, 2023",12:30p,REG,/cbb/schools/indiana/men/2024.html,Indiana,/cbb/conferences/big-ten/men/2024.html,Big Ten,7.98,W,75,71,10,1,W 6,Simon Skjodt Assembly Hall,/cbb/schools/kansas/men/2024.html,@,
11,/cbb/boxscores/2023-12-22-20-kansas.html,"Fri, Dec 22, 2023",8:00p,REG,/cbb/schools/yale/men/2024.html,Yale,/cbb/conferences/ivy/men/2024.html,Ivy,4.76,W,75,60,11,1,W 7,Allen Fieldhouse,/cbb/schools/kansas/men/2024.html,,
12,/cbb/boxscores/2023-12-30-16-kansas.html,"Sat, Dec 30, 2023",4:00p,REG,/cbb/schools/wichita-state/men/2024.html,Wichita State,/cbb/conferences/aac/men/2024.html,AAC,2.30,W,86,67,12,1,W 8,T-Mobile Center,/cbb/schools/kansas/men/2024.html,N,
13,/cbb/boxscores/2024-01-06-14-kansas.html,"Sat, Jan 6, 2024",2:00p,REG,/cbb/schools/texas-christian/men/2024.html,TCU,/cbb/conferences/big-12/men/2024.html,Big 12,15.55,W,83,81,13,1,W 9,Allen Fieldhouse,/cbb/schools/kansas/men/2024.html,,
14,/cbb/boxscores/2024-01-10-19-central-florida.html,"Wed, Jan 10, 2024",7:00p,REG,/cbb/schools/central-florida/men/2024.html,UCF,/cbb/conferences/big-12/men/2024.html,Big 12,12.35,L,60,65,13,2,L 1,Addition Financial Arena,/cbb/schools/kansas/men/2024.html,@,
15,/cbb/boxscores/2024-01-13-14-kansas.html,"Sat, Jan 13, 2024",2:00p,REG,/cbb/schools/oklahoma/men/2024.html,Oklahoma,/cbb/conferences/big-12/men/2024.html,Big 12,15.04,W,78,66,14,2,W 1,Allen Fieldhouse,/cbb/schools/kansas/men/2024.html,,
16,/cbb/boxscores/2024-01-16-21-oklahoma-state.html,"Tue, Jan 16, 2024",9:00p,REG,/cbb/schools/oklahoma-state/men/2024.html,Oklahoma State,/cbb/conferences/big-12/men/2024.html,Big 12,6.65,W,90,66,15,2,W 2,Gallagher-Iba Arena,/cbb/schools/kansas/men/2024.html,@,
17,/cbb/boxscores/2024-01-20-16-west-virginia.html,"Sat, Jan 20, 2024",4:00p,REG,/cbb/schools/west-virginia/men/2024.html,West Virginia,/cbb/conferences/big-12/men/2024.html,Big 12,4.07,L,85,91,15,3,L 1,WVU Coliseum,/cbb/schools/kansas/men/2024.html,@,
18,/cbb/boxscores/2024-01-22-21-kansas.html,"Mon, Jan 22, 2024",9:00p,REG,/cbb/schools/cincinnati/men/2024.html,Cincinnati,/cbb/conferences/big-12/men/2024.html,Big 12,15.29,W,74,69,16,3,W 1,Allen Fieldhouse,/cbb/schools/kansas/men/2024.html,,
19,/cbb/boxscores/2024-01-27-13-iowa-state.html,"Sat, Jan 27, 2024",1:30p,REG,/cbb/schools/iowa-state/men/2024.html,Iowa State,/cbb/conferences/big-12/men/2024.html,Big 12,22.92,L,75,79,16,4,L 1,James H. Hilton Coliseum,/cbb/schools/kansas/men/2024.html,@,
20,/cbb/boxscores/2024-01-30-21-kansas.html,"Tue, Jan 30, 2024",9:00p,REG,/cbb/schools/oklahoma-state/men/2024.html,Oklahoma State,/cbb/conferences/big-12/men/2024.html,Big 12,6.65,W,83,54,17,4,W 1,Allen Fieldhouse,/cbb/schools/kansas/men/2024.html,,
21,/cbb/boxscores/2024-02-03-16-kansas.html,"Sat, Feb 3, 2024",4:00p,REG,/cbb/schools/houston/men/2024.html,Houston,/cbb/conferences/big-12/men/2024.html,Big 12,26.20,W,78,65,18,4,W 2,Allen Fieldhouse,/cbb/schools/kansas/men/2024.html,,
22,/cbb/boxscores/2024-02-05-21-kansas-state.html,"Mon, Feb 5, 2024",9:00p,REG,/cbb/schools/kansas-state/men/2024.html,Kansas State,/cbb/conferences/big-12/men/2024.html,Big 12,11.45,L,70,75,18,5,L 1,Bramlage Coliseum,/cbb/schools/kansas/men/2024.html,@,OT
