,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2023-11-06-19-st-bonaventure.html,"Mon, Nov 6, 2023",7:00p,REG,@,/cbb/schools/st-bonaventure/men/2024.html,St. Bonaventure,/cbb/conferences/atlantic-10/men/2024.html,A-10,7.01,L,69,73,0,1,L 1,Reilly Center,/cbb/schools/longwood/men/2024.html,
1,/cbb/boxscores/2023-11-11-14-longwood.html,"Sat, Nov 11, 2023",2:30p,REG,,,St. Mary's (MD),,,,W,95,43,1,1,W 1,,/cbb/schools/longwood/men/2024.html,
2,/cbb/boxscores/2023-11-15-20-maryland-eastern-shore.html,"Wed, Nov 15, 2023",8:00p,REG,@,/cbb/schools/maryland-eastern-shore/men/2024.html,Maryland-Eastern Shore,/cbb/conferences/meac/men/2024.html,MEAC,-17.31,W,80,61,2,1,W 2,Hytche Athletic Center,/cbb/schools/longwood/men/2024.html,
3,/cbb/boxscores/2023-11-18-15-longwood.html,"Sat, Nov 18, 2023",3:00p,REG,,/cbb/schools/north-carolina-central/men/2024.html,North Carolina Central,/cbb/conferences/meac/men/2024.html,MEAC,-7.79,W,73,66,3,1,W 3,,/cbb/schools/longwood/men/2024.html,
4,/cbb/boxscores/2023-11-24-15-longwood.html,"Fri, Nov 24, 2023",3:00p,REG,,/cbb/schools/delaware-state/men/2024.html,Delaware State,/cbb/conferences/meac/men/2024.html,MEAC,-10.51,W,84,82,4,1,W 4,,/cbb/schools/longwood/men/2024.html,2OT
5,/cbb/boxscores/2023-11-25-15-longwood.html,"Sat, Nov 25, 2023",3:00p,REG,,/cbb/schools/lamar/men/2024.html,Lamar,/cbb/conferences/southland/men/2024.html,Southland,-5.14,W,83,72,5,1,W 5,,/cbb/schools/longwood/men/2024.html,
6,/cbb/boxscores/2023-11-26-15-longwood.html,"Sun, Nov 26, 2023",3:30p,REG,,/cbb/schools/bethune-cookman/men/2024.html,Bethune-Cookman,/cbb/conferences/swac/men/2024.html,SWAC,-12.05,W,69,48,6,1,W 6,,/cbb/schools/longwood/men/2024.html,
7,/cbb/boxscores/2023-11-30-19-longwood.html,"Thu, Nov 30, 2023",7:00p,REG,,,Newport News-Apprentice,,,,W,95,46,7,1,W 7,,/cbb/schools/longwood/men/2024.html,
8,/cbb/boxscores/2023-12-03-14-morgan-state.html,"Sun, Dec 3, 2023",2:00p,REG,@,/cbb/schools/morgan-state/men/2024.html,Morgan State,/cbb/conferences/meac/men/2024.html,MEAC,-15.97,W,88,54,8,1,W 8,Talmadge L. Hill Field House,/cbb/schools/longwood/men/2024.html,
9,/cbb/boxscores/2023-12-09-14-delaware-state.html,"Sat, Dec 9, 2023",2:00p,REG,@,/cbb/schools/delaware-state/men/2024.html,Delaware State,/cbb/conferences/meac/men/2024.html,MEAC,-10.51,W,62,61,9,1,W 9,Memorial Hall,/cbb/schools/longwood/men/2024.html,
10,/cbb/boxscores/2023-12-11-11-longwood.html,"Mon, Dec 11, 2023",11:00a,REG,,,Gallaudet,,,,W,92,61,10,1,W 10,,/cbb/schools/longwood/men/2024.html,
11,/cbb/boxscores/2023-12-13-20-milwaukee.html,"Wed, Dec 13, 2023",8:00p,REG,@,/cbb/schools/milwaukee/men/2024.html,Milwaukee,/cbb/conferences/horizon/men/2024.html,Horizon,-4.83,W,80,67,11,1,W 11,UW-Milwaukee Panther Arena,/cbb/schools/longwood/men/2024.html,
12,/cbb/boxscores/2023-12-17-14-longwood.html,"Sun, Dec 17, 2023",2:00p,REG,,/cbb/schools/virginia-military-institute/men/2024.html,Virginia Military Institute,/cbb/conferences/southern/men/2024.html,Southern,-20.46,W,68,49,12,1,W 12,,/cbb/schools/longwood/men/2024.html,
