,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink
0,/cbb/boxscores/2023-11-06-19-virginia-commonwealth.html,"Mon, Nov 6, 2023",7:00p,REG,@,/cbb/schools/virginia-commonwealth/men/2024.html,Virginia Commonwealth,/cbb/conferences/atlantic-10/men/2024.html,A-10,9.12,W,76,65,1,0,W 1,Stuart Siegel Center,/cbb/schools/mcneese-state/men/2024.html
1,/cbb/boxscores/2023-11-10-17-mcneese-state.html,"Fri, Nov 10, 2023",5:00p,REG,,,College of Biblical Studies,,,,W,96,55,2,0,W 2,The Legacy Center,/cbb/schools/mcneese-state/men/2024.html
2,/cbb/boxscores/2023-11-13-20-mcneese-state.html,"Mon, Nov 13, 2023",8:00p,REG,,,Champion Christian,,,,W,110,46,3,0,W 3,The Legacy Center,/cbb/schools/mcneese-state/men/2024.html
3,/cbb/boxscores/2023-11-14-20-mcneese-state.html,"Tue, Nov 14, 2023",8:00p,REG,,,LeTourneau,,,,W,81,49,4,0,W 4,The Legacy Center,/cbb/schools/mcneese-state/men/2024.html
4,/cbb/boxscores/2023-11-18-16-western-carolina.html,"Sat, Nov 18, 2023",4:00p,REG,@,/cbb/schools/western-carolina/men/2024.html,Western Carolina,/cbb/conferences/southern/men/2024.html,Southern,2.12,L,74,76,4,1,L 1,Ramsey Center,/cbb/schools/mcneese-state/men/2024.html
5,/cbb/boxscores/2023-11-21-13-mcneese-state.html,"Tue, Nov 21, 2023",1:00p,REG,N,/cbb/schools/texas-state/men/2024.html,Texas State,/cbb/conferences/sun-belt/men/2024.html,Sun Belt,-3.43,W,59,48,5,1,W 1,Thomas Assembly Center,/cbb/schools/mcneese-state/men/2024.html
6,/cbb/boxscores/2023-11-22-16-louisiana-tech.html,"Wed, Nov 22, 2023",4:00p,REG,@,/cbb/schools/louisiana-tech/men/2024.html,Louisiana Tech,/cbb/conferences/cusa/men/2024.html,CUSA,5.07,L,62,71,5,2,L 1,Thomas Assembly Center,/cbb/schools/mcneese-state/men/2024.html
7,/cbb/boxscores/2023-11-28-01-alabama-birmingham.html,"Tue, Nov 28, 2023",8:00p,REG,@,/cbb/schools/alabama-birmingham/men/2024.html,UAB,/cbb/conferences/aac/men/2024.html,AAC,5.25,W,81,60,6,2,W 1,Bartow Arena,/cbb/schools/mcneese-state/men/2024.html
8,/cbb/boxscores/2023-12-02-15-mcneese-state.html,"Sat, Dec 2, 2023",3:00p,REG,,/cbb/schools/tennessee-martin/men/2024.html,Tennessee-Martin,/cbb/conferences/ovc/men/2024.html,OVC,-5.37,W,91,80,7,2,W 2,The Legacy Center,/cbb/schools/mcneese-state/men/2024.html
9,/cbb/boxscores/2023-12-05-20-mcneese-state.html,"Tue, Dec 5, 2023",8:00p,REG,,,Mississippi Univ. for Women,,,,W,92,23,8,2,W 3,The Legacy Center,/cbb/schools/mcneese-state/men/2024.html
10,/cbb/boxscores/2023-12-13-20-mcneese-state.html,"Wed, Dec 13, 2023",8:00p,REG,,/cbb/schools/southern-mississippi/men/2024.html,Southern Mississippi,/cbb/conferences/sun-belt/men/2024.html,Sun Belt,-5.67,W,67,48,9,2,W 4,The Legacy Center,/cbb/schools/mcneese-state/men/2024.html
11,/cbb/boxscores/2023-12-17-16-mcneese-state.html,"Sun, Dec 17, 2023",4:00p,REG,,/cbb/schools/louisiana-lafayette/men/2024.html,Louisiana,/cbb/conferences/sun-belt/men/2024.html,Sun Belt,-0.35,W,74,72,10,2,W 5,The Legacy Center,/cbb/schools/mcneese-state/men/2024.html
12,/cbb/boxscores/2023-12-29-00-michigan.html,"Fri, Dec 29, 2023",7:00p,REG,@,/cbb/schools/michigan/men/2024.html,Michigan,/cbb/conferences/big-ten/men/2024.html,Big Ten,5.54,W,87,76,11,2,W 6,Crisler Center,/cbb/schools/mcneese-state/men/2024.html
13,/cbb/boxscores/2024-01-06-14-texas-am-commerce.html,"Sat, Jan 6, 2024",2:00p,REG,@,/cbb/schools/texas-am-commerce/men/2024.html,Texas A&M-Commerce,/cbb/conferences/southland/men/2024.html,Southland,-14.14,W,73,67,12,2,W 7,Texas A&M–Commerce Field House,/cbb/schools/mcneese-state/men/2024.html
