,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,overtimes,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2023-11-06-20-michigan-state.html,"Mon, Nov 6, 2023",8:30p,REG,/cbb/schools/james-madison/men/2024.html,James Madison,/cbb/conferences/sun-belt/men/2024.html,Sun Belt,8.63,L,76,79,OT,0,1,L 1,Breslin Student Events Center,/cbb/schools/michigan-state/men/2024.html,
1,/cbb/boxscores/2023-11-09-19-michigan-state.html,"Thu, Nov 9, 2023",7:00p,REG,/cbb/schools/southern-indiana/men/2024.html,Southern Indiana,/cbb/conferences/ovc/men/2024.html,OVC,-13.46,W,74,51,,1,1,W 1,Breslin Student Events Center,/cbb/schools/michigan-state/men/2024.html,
2,/cbb/boxscores/2023-11-14-19-duke.html,"Tue, Nov 14, 2023",7:00p,REG,/cbb/schools/duke/men/2024.html,Duke,/cbb/conferences/acc/men/2024.html,ACC,20.19,L,65,74,,1,2,L 1,United Center,/cbb/schools/michigan-state/men/2024.html,N
3,/cbb/boxscores/2023-11-17-18-michigan-state.html,"Fri, Nov 17, 2023",6:30p,REG,/cbb/schools/butler/men/2024.html,Butler,/cbb/conferences/big-east/men/2024.html,Big East,11.92,W,74,54,,2,2,W 1,Breslin Student Events Center,/cbb/schools/michigan-state/men/2024.html,
4,/cbb/boxscores/2023-11-19-18-michigan-state.html,"Sun, Nov 19, 2023",6:00p,REG,/cbb/schools/alcorn-state/men/2024.html,Alcorn State,/cbb/conferences/swac/men/2024.html,SWAC,-11.46,W,81,49,,3,2,W 2,Breslin Student Events Center,/cbb/schools/michigan-state/men/2024.html,
5,/cbb/boxscores/2023-11-23-16-arizona.html,"Thu, Nov 23, 2023",4:00p,REG,/cbb/schools/arizona/men/2024.html,Arizona,/cbb/conferences/pac-12/men/2024.html,Pac-12,25.35,L,68,74,,3,3,L 1,,/cbb/schools/michigan-state/men/2024.html,N
6,/cbb/boxscores/2023-11-28-18-michigan-state.html,"Tue, Nov 28, 2023",6:30p,REG,/cbb/schools/georgia-southern/men/2024.html,Georgia Southern,/cbb/conferences/sun-belt/men/2024.html,Sun Belt,-8.21,W,86,55,,4,3,W 1,Breslin Student Events Center,/cbb/schools/michigan-state/men/2024.html,
7,/cbb/boxscores/2023-12-05-19-michigan-state.html,"Tue, Dec 5, 2023",7:00p,REG,/cbb/schools/wisconsin/men/2024.html,Wisconsin,/cbb/conferences/big-ten/men/2024.html,Big Ten,16.74,L,57,70,,4,4,L 1,Breslin Student Events Center,/cbb/schools/michigan-state/men/2024.html,
8,/cbb/boxscores/2023-12-10-18-nebraska.html,"Sun, Dec 10, 2023",6:30p,REG,/cbb/schools/nebraska/men/2024.html,Nebraska,/cbb/conferences/big-ten/men/2024.html,Big Ten,15.08,L,70,77,,4,5,L 2,Pinnacle Bank Arena,/cbb/schools/michigan-state/men/2024.html,@
9,/cbb/boxscores/2023-12-16-20-michigan-state.html,"Sat, Dec 16, 2023",2:00p,REG,/cbb/schools/baylor/men/2024.html,Baylor,/cbb/conferences/big-12/men/2024.html,Big 12,20.09,W,88,64,,5,5,W 1,Little Caesars Arena,/cbb/schools/michigan-state/men/2024.html,N
10,/cbb/boxscores/2023-12-18-19-michigan-state.html,"Mon, Dec 18, 2023",7:00p,REG,/cbb/schools/oakland/men/2024.html,Oakland,/cbb/conferences/horizon/men/2024.html,Horizon,1.56,W,79,62,,6,5,W 2,Breslin Student Events Center,/cbb/schools/michigan-state/men/2024.html,
11,/cbb/boxscores/2023-12-21-00-michigan-state.html,"Thu, Dec 21, 2023",6:30p,REG,/cbb/schools/stony-brook/men/2024.html,Stony Brook,/cbb/conferences/coastal/men/2024.html,CAA,-2.49,W,99,55,,7,5,W 3,Breslin Student Events Center,/cbb/schools/michigan-state/men/2024.html,
12,/cbb/boxscores/2023-12-30-14-michigan-state.html,"Sat, Dec 30, 2023",2:00p,REG,/cbb/schools/indiana-state/men/2024.html,Indiana State,/cbb/conferences/mvc/men/2024.html,MVC,13.02,W,87,75,,8,5,W 4,Breslin Student Events Center,/cbb/schools/michigan-state/men/2024.html,
13,/cbb/boxscores/2024-01-04-19-michigan-state.html,"Thu, Jan 4, 2024",7:00p,REG,/cbb/schools/penn-state/men/2024.html,Penn State,/cbb/conferences/big-ten/men/2024.html,Big Ten,9.42,W,92,61,,9,5,W 5,Breslin Student Events Center,/cbb/schools/michigan-state/men/2024.html,
14,/cbb/boxscores/2024-01-07-01-northwestern.html,"Sun, Jan 7, 2024",7:30p,REG,/cbb/schools/northwestern/men/2024.html,Northwestern,/cbb/conferences/big-ten/men/2024.html,Big Ten,12.72,L,74,88,,9,6,L 1,Welsh-Ryan Arena,/cbb/schools/michigan-state/men/2024.html,@
15,/cbb/boxscores/2024-01-11-21-illinois.html,"Thu, Jan 11, 2024",9:00p,REG,/cbb/schools/illinois/men/2024.html,Illinois,/cbb/conferences/big-ten/men/2024.html,Big Ten,19.84,L,68,71,,9,7,L 2,State Farm Center,/cbb/schools/michigan-state/men/2024.html,@
16,/cbb/boxscores/2024-01-14-00-michigan-state.html,"Sun, Jan 14, 2024",12:00p,REG,/cbb/schools/rutgers/men/2024.html,Rutgers,/cbb/conferences/big-ten/men/2024.html,Big Ten,7.61,W,73,55,,10,7,W 1,Breslin Student Events Center,/cbb/schools/michigan-state/men/2024.html,
17,/cbb/boxscores/2024-01-18-18-michigan-state.html,"Thu, Jan 18, 2024",6:30p,REG,/cbb/schools/minnesota/men/2024.html,Minnesota,/cbb/conferences/big-ten/men/2024.html,Big Ten,9.98,W,76,66,,11,7,W 2,Breslin Student Events Center,/cbb/schools/michigan-state/men/2024.html,
18,/cbb/boxscores/2024-01-21-12-maryland.html,"Sun, Jan 21, 2024",12:00p,REG,/cbb/schools/maryland/men/2024.html,Maryland,/cbb/conferences/big-ten/men/2024.html,Big Ten,10.83,W,61,59,,12,7,W 3,Xfinity Center,/cbb/schools/michigan-state/men/2024.html,@
19,/cbb/boxscores/2024-01-26-20-wisconsin.html,"Fri, Jan 26, 2024",8:00p,REG,/cbb/schools/wisconsin/men/2024.html,Wisconsin,/cbb/conferences/big-ten/men/2024.html,Big Ten,16.74,L,66,81,,12,8,L 1,,/cbb/schools/michigan-state/men/2024.html,@
20,/cbb/boxscores/2024-01-30-21-michigan-state.html,"Tue, Jan 30, 2024",9:00p,REG,/cbb/schools/michigan/men/2024.html,Michigan,/cbb/conferences/big-ten/men/2024.html,Big Ten,5.54,W,81,62,,13,8,W 1,Breslin Student Events Center,/cbb/schools/michigan-state/men/2024.html,
21,/cbb/boxscores/2024-02-03-00-michigan-state.html,"Sat, Feb 3, 2024",5:30p,REG,/cbb/schools/maryland/men/2024.html,Maryland,/cbb/conferences/big-ten/men/2024.html,Big Ten,10.83,W,63,54,,14,8,W 2,Breslin Student Events Center,/cbb/schools/michigan-state/men/2024.html,
22,/cbb/boxscores/2024-02-06-21-minnesota.html,"Tue, Feb 6, 2024",9:00p,REG,/cbb/schools/minnesota/men/2024.html,Minnesota,/cbb/conferences/big-ten/men/2024.html,Big Ten,9.98,L,56,59,,14,9,L 1,Williams Arena,/cbb/schools/michigan-state/men/2024.html,@
23,/cbb/boxscores/2024-02-10-14-michigan-state.html,"Sat, Feb 10, 2024",2:00p,REG,/cbb/schools/illinois/men/2024.html,Illinois,/cbb/conferences/big-ten/men/2024.html,Big Ten,19.84,W,88,80,,15,9,W 1,Breslin Student Events Center,/cbb/schools/michigan-state/men/2024.html,
24,/cbb/boxscores/2024-02-14-18-penn-state.html,"Wed, Feb 14, 2024",6:30p,REG,/cbb/schools/penn-state/men/2024.html,Penn State,/cbb/conferences/big-ten/men/2024.html,Big Ten,9.42,W,80,72,,16,9,W 2,Bryce Jordan Center,/cbb/schools/michigan-state/men/2024.html,@
25,/cbb/boxscores/2024-02-17-20-michigan.html,"Sat, Feb 17, 2024",8:00p,REG,/cbb/schools/michigan/men/2024.html,Michigan,/cbb/conferences/big-ten/men/2024.html,Big Ten,5.54,W,73,63,,17,9,W 3,Crisler Center,/cbb/schools/michigan-state/men/2024.html,@
26,/cbb/boxscores/2024-02-20-19-michigan-state.html,"Tue, Feb 20, 2024",7:00p,REG,/cbb/schools/iowa/men/2024.html,Iowa,/cbb/conferences/big-ten/men/2024.html,Big Ten,13.42,L,71,78,,17,10,L 1,Breslin Student Events Center,/cbb/schools/michigan-state/men/2024.html,
27,/cbb/boxscores/2024-02-25-16-michigan-state.html,"Sun, Feb 25, 2024",4:00p,REG,/cbb/schools/ohio-state/men/2024.html,Ohio State,/cbb/conferences/big-ten/men/2024.html,Big Ten,13.92,L,57,60,,17,11,L 2,Breslin Student Events Center,/cbb/schools/michigan-state/men/2024.html,
28,/cbb/boxscores/2024-03-02-20-purdue.html,"Sat, Mar 2, 2024",8:00p,REG,/cbb/schools/purdue/men/2024.html,Purdue,/cbb/conferences/big-ten/men/2024.html,Big Ten,24.73,L,74,80,,17,12,L 3,Mackey Arena,/cbb/schools/michigan-state/men/2024.html,@
29,/cbb/boxscores/2024-03-06-19-michigan-state.html,"Wed, Mar 6, 2024",7:00p,REG,/cbb/schools/northwestern/men/2024.html,Northwestern,/cbb/conferences/big-ten/men/2024.html,Big Ten,12.72,W,53,49,,18,12,W 1,Breslin Student Events Center,/cbb/schools/michigan-state/men/2024.html,
30,/cbb/boxscores/2024-03-10-00-indiana.html,"Sun, Mar 10, 2024",4:30p,REG,/cbb/schools/indiana/men/2024.html,Indiana,/cbb/conferences/big-ten/men/2024.html,Big Ten,7.98,L,64,65,,18,13,L 1,Simon Skjodt Assembly Hall,/cbb/schools/michigan-state/men/2024.html,@
31,/cbb/boxscores/2024-03-14-12-michigan-state.html,"Thu, Mar 14, 2024",12:00p,CTOURN,/cbb/schools/minnesota/men/2024.html,Minnesota,/cbb/conferences/big-ten/men/2024.html,Big Ten,9.98,W,77,67,,19,13,W 1,Target Center,/cbb/schools/michigan-state/men/2024.html,N
32,/cbb/boxscores/2024-03-15-12-purdue.html,"Fri, Mar 15, 2024",12:00p,CTOURN,/cbb/schools/purdue/men/2024.html,Purdue,/cbb/conferences/big-ten/men/2024.html,Big Ten,24.73,L,62,67,,19,14,L 1,Target Center,/cbb/schools/michigan-state/men/2024.html,N
33,,"['Thu, Mar 21, 2024']",12:15p,NCAA,/cbb/schools/mississippi-state/men/2024.html,Mississippi State,/cbb/conferences/sec/men/2024.html,SEC,14.92,,,,,,,,Spectrum Center,/cbb/schools/michigan-state/men/2024.html,N
