,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs,overtimes
0,/cbb/boxscores/2023-11-06-21-montana-state.html,"Mon, Nov 6, 2023",9:00p,REG,Northwest Indian College,,W,103,63,1,0,W 1,Worthington Arena,/cbb/schools/montana-state/men/2024.html,,,,,
1,/cbb/boxscores/2023-11-11-17-seattle.html,"Sat, Nov 11, 2023",5:00p,REG,Seattle,WAC,L,68,71,1,1,L 1,Redhawk Center,/cbb/schools/montana-state/men/2024.html,@,/cbb/schools/seattle/men/2024.html,/cbb/conferences/wac/men/2024.html,3.41,
2,/cbb/boxscores/2023-11-16-03-california.html,"Thu, Nov 16, 2023",11:00p,REG,California,Pac-12,W,63,60,2,1,W 1,Haas Pavilion,/cbb/schools/montana-state/men/2024.html,@,/cbb/schools/california/men/2024.html,/cbb/conferences/pac-12/men/2024.html,5.23,
3,/cbb/boxscores/2023-11-20-21-montana-state.html,"Mon, Nov 20, 2023",9:00p,REG,Green Bay,Horizon,L,53,54,2,2,L 1,Worthington Arena,/cbb/schools/montana-state/men/2024.html,,/cbb/schools/green-bay/men/2024.html,/cbb/conferences/horizon/men/2024.html,-5.41,OT
4,/cbb/boxscores/2023-11-22-21-montana-state.html,"Wed, Nov 22, 2023",9:00p,REG,UC Riverside,Big West,W,69,68,3,2,W 1,Worthington Arena,/cbb/schools/montana-state/men/2024.html,,/cbb/schools/california-riverside/men/2024.html,/cbb/conferences/big-west/men/2024.html,-3.97,
5,/cbb/boxscores/2023-11-26-16-montana-state.html,"Sun, Nov 26, 2023",4:00p,REG,Long Beach State,Big West,L,69,75,3,3,L 1,Worthington Arena,/cbb/schools/montana-state/men/2024.html,,/cbb/schools/long-beach-state/men/2024.html,/cbb/conferences/big-west/men/2024.html,-1.02,
6,/cbb/boxscores/2023-11-30-21-montana-state.html,"Thu, Nov 30, 2023",9:00p,REG,Rocky Mountain,,L,62,70,3,4,L 2,Worthington Arena,/cbb/schools/montana-state/men/2024.html,,,,,
7,/cbb/boxscores/2023-12-05-23-washington.html,"Tue, Dec 5, 2023",11:00p,REG,Washington,Pac-12,L,61,85,3,5,L 3,Alaska Airlines Arena,/cbb/schools/montana-state/men/2024.html,@,/cbb/schools/washington/men/2024.html,/cbb/conferences/pac-12/men/2024.html,12.09,
8,/cbb/boxscores/2023-12-16-20-montana-state.html,"Sat, Dec 16, 2023",9:00p,REG,SAGU Amer. Indian Coll.,,W,106,81,4,5,W 1,Worthington Arena,/cbb/schools/montana-state/men/2024.html,,,,,
9,/cbb/boxscores/2023-12-19-21-montana-state.html,"Tue, Dec 19, 2023",9:00p,REG,Southern Utah,WAC,W,89,88,5,5,W 2,Worthington Arena,/cbb/schools/montana-state/men/2024.html,,/cbb/schools/southern-utah/men/2024.html,/cbb/conferences/wac/men/2024.html,-5.66,OT
10,/cbb/boxscores/2023-12-22-16-cal-state-northridge.html,"Fri, Dec 22, 2023",4:00p,REG,Cal State Northridge,Big West,L,70,82,5,6,L 1,The Matadome,/cbb/schools/montana-state/men/2024.html,@,/cbb/schools/cal-state-northridge/men/2024.html,/cbb/conferences/big-west/men/2024.html,-4.48,
11,/cbb/boxscores/2023-12-28-21-idaho-state.html,"Thu, Dec 28, 2023",9:00p,REG,Idaho State,Big Sky,W,74,66,6,6,W 1,Reed Gym,/cbb/schools/montana-state/men/2024.html,@,/cbb/schools/idaho-state/men/2024.html,/cbb/conferences/big-sky/men/2024.html,-7.11,
12,/cbb/boxscores/2023-12-30-16-weber-state.html,"Sat, Dec 30, 2023",4:00p,REG,Weber State,Big Sky,L,64,86,6,7,L 1,Dee Events Center,/cbb/schools/montana-state/men/2024.html,@,/cbb/schools/weber-state/men/2024.html,/cbb/conferences/big-sky/men/2024.html,-0.11,
13,/cbb/boxscores/2024-01-03-21-montana-state.html,"Wed, Jan 3, 2024",9:30p,REG,Oral Roberts,Summit,L,76,82,6,8,L 2,Worthington Arena,/cbb/schools/montana-state/men/2024.html,,/cbb/schools/oral-roberts/men/2024.html,/cbb/conferences/summit/men/2024.html,-7.15,
14,/cbb/boxscores/2024-01-06-17-south-dakota-state.html,"Sat, Jan 6, 2024",5:15p,REG,South Dakota State,Summit,L,61,89,6,9,L 3,Frost Arena,/cbb/schools/montana-state/men/2024.html,@,/cbb/schools/south-dakota-state/men/2024.html,/cbb/conferences/summit/men/2024.html,0.64,
