,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2023-11-06-19-north-carolina-state.html,"Mon, Nov 6, 2023",7:00p,REG,/cbb/schools/citadel/men/2024.html,The Citadel,/cbb/conferences/southern/men/2024.html,Southern,-6.45,W,72,59,1,0,W 1,PNC Arena,/cbb/schools/north-carolina-state/men/2024.html,,
1,/cbb/boxscores/2023-11-10-19-north-carolina-state.html,"Fri, Nov 10, 2023",7:00p,REG,/cbb/schools/abilene-christian/men/2024.html,Abilene Christian,/cbb/conferences/wac/men/2024.html,WAC,-4.11,W,84,64,2,0,W 2,PNC Arena,/cbb/schools/north-carolina-state/men/2024.html,,
2,/cbb/boxscores/2023-11-17-19-north-carolina-state.html,"Fri, Nov 17, 2023",7:00p,REG,/cbb/schools/charleston-southern/men/2024.html,Charleston Southern,/cbb/conferences/big-south/men/2024.html,Big South,-11.92,W,87,53,3,0,W 3,PNC Arena,/cbb/schools/north-carolina-state/men/2024.html,,
3,/cbb/boxscores/2023-11-23-22-vanderbilt.html,"Thu, Nov 23, 2023",10:00p,REG,/cbb/schools/vanderbilt/men/2024.html,Vanderbilt,/cbb/conferences/sec/men/2024.html,SEC,0.45,W,84,78,4,0,W 4,Michelob Ultra Arena,/cbb/schools/north-carolina-state/men/2024.html,N,
4,/cbb/boxscores/2023-11-24-22-brigham-young.html,"Fri, Nov 24, 2023",10:00p,REG,/cbb/schools/brigham-young/men/2024.html,Brigham Young,/cbb/conferences/big-12/men/2024.html,Big 12,20.22,L,86,95,4,1,L 1,Michelob Ultra Arena,/cbb/schools/north-carolina-state/men/2024.html,N,
5,/cbb/boxscores/2023-11-28-21-mississippi.html,"Tue, Nov 28, 2023",9:00p,REG,/cbb/schools/mississippi/men/2024.html,Mississippi,/cbb/conferences/sec/men/2024.html,SEC,8.53,L,52,72,4,2,L 2,The Sandy and John Black Pavilion at Ole Miss,/cbb/schools/north-carolina-state/men/2024.html,@,
6,/cbb/boxscores/2023-12-02-16-boston-college.html,"Sat, Dec 2, 2023",4:00p,REG,/cbb/schools/boston-college/men/2024.html,Boston College,/cbb/conferences/acc/men/2024.html,ACC,9.60,W,84,78,5,2,W 1,Silvio O. Conte Forum,/cbb/schools/north-carolina-state/men/2024.html,@,OT
7,/cbb/boxscores/2023-12-06-19-north-carolina-state.html,"Wed, Dec 6, 2023",7:00p,REG,/cbb/schools/maryland-eastern-shore/men/2024.html,Maryland-Eastern Shore,/cbb/conferences/meac/men/2024.html,MEAC,-17.31,W,93,61,6,2,W 2,PNC Arena,/cbb/schools/north-carolina-state/men/2024.html,,
8,/cbb/boxscores/2023-12-12-19-north-carolina-state.html,"Tue, Dec 12, 2023",7:00p,REG,/cbb/schools/tennessee-martin/men/2024.html,Tennessee-Martin,/cbb/conferences/ovc/men/2024.html,OVC,-5.37,W,81,67,7,2,W 3,PNC Arena,/cbb/schools/north-carolina-state/men/2024.html,,
9,/cbb/boxscores/2023-12-16-22-north-carolina-state.html,"Sat, Dec 16, 2023",10:00p,REG,/cbb/schools/tennessee/men/2024.html,Tennessee,/cbb/conferences/sec/men/2024.html,SEC,21.77,L,70,79,7,3,L 1,AT&T Center,/cbb/schools/north-carolina-state/men/2024.html,N,
10,/cbb/boxscores/2023-12-20-19-north-carolina-state.html,"Wed, Dec 20, 2023",7:00p,REG,/cbb/schools/saint-louis/men/2024.html,Saint Louis,/cbb/conferences/atlantic-10/men/2024.html,A-10,-1.41,W,82,70,8,3,W 1,PNC Arena,/cbb/schools/north-carolina-state/men/2024.html,,
11,/cbb/boxscores/2023-12-23-13-north-carolina-state.html,"Sat, Dec 23, 2023",1:00p,REG,/cbb/schools/detroit-mercy/men/2024.html,Detroit Mercy,/cbb/conferences/horizon/men/2024.html,Horizon,-16.75,W,83,66,9,3,W 2,PNC Arena,/cbb/schools/north-carolina-state/men/2024.html,,
12,/cbb/boxscores/2024-01-03-21-notre-dame.html,"Wed, Jan 3, 2024",9:00p,REG,/cbb/schools/notre-dame/men/2024.html,Notre Dame,/cbb/conferences/acc/men/2024.html,ACC,4.89,W,54,52,10,3,W 3,Purcell Pavilion at the Joyce Center,/cbb/schools/north-carolina-state/men/2024.html,@,
13,/cbb/boxscores/2024-01-06-14-north-carolina-state.html,"Sat, Jan 6, 2024",2:00p,REG,/cbb/schools/virginia/men/2024.html,Virginia,/cbb/conferences/acc/men/2024.html,ACC,10.35,W,76,60,11,3,W 4,PNC Arena,/cbb/schools/north-carolina-state/men/2024.html,,
14,/cbb/boxscores/2024-01-10-20-north-carolina-state.html,"Wed, Jan 10, 2024",8:00p,REG,/cbb/schools/north-carolina/men/2024.html,North Carolina,/cbb/conferences/acc/men/2024.html,ACC,20.93,L,54,67,11,4,L 1,PNC Arena,/cbb/schools/north-carolina-state/men/2024.html,,
15,/cbb/boxscores/2024-01-13-12-louisville.html,"Sat, Jan 13, 2024",12:00p,REG,/cbb/schools/louisville/men/2024.html,Louisville,/cbb/conferences/acc/men/2024.html,ACC,0.33,W,89,83,12,4,W 1,KFC Yum! Center,/cbb/schools/north-carolina-state/men/2024.html,@,
16,/cbb/boxscores/2024-01-16-19-north-carolina-state.html,"Tue, Jan 16, 2024",7:00p,REG,/cbb/schools/wake-forest/men/2024.html,Wake Forest,/cbb/conferences/acc/men/2024.html,ACC,15.17,W,83,76,13,4,W 2,PNC Arena,/cbb/schools/north-carolina-state/men/2024.html,,
17,/cbb/boxscores/2024-01-20-12-north-carolina-state.html,"Sat, Jan 20, 2024",12:00p,REG,/cbb/schools/virginia-tech/men/2024.html,Virginia Tech,/cbb/conferences/acc/men/2024.html,ACC,12.10,L,78,84,13,5,L 1,PNC Arena,/cbb/schools/north-carolina-state/men/2024.html,,
18,/cbb/boxscores/2024-01-24-19-virginia.html,"Wed, Jan 24, 2024",7:00p,REG,/cbb/schools/virginia/men/2024.html,Virginia,/cbb/conferences/acc/men/2024.html,ACC,10.35,L,53,59,13,6,L 2,John Paul Jones Arena,/cbb/schools/north-carolina-state/men/2024.html,@,OT
19,/cbb/boxscores/2024-01-27-19-syracuse.html,"Sat, Jan 27, 2024",7:00p,REG,/cbb/schools/syracuse/men/2024.html,Syracuse,/cbb/conferences/acc/men/2024.html,ACC,8.28,L,65,77,13,7,L 3,JMA Wireless Dome,/cbb/schools/north-carolina-state/men/2024.html,@,
20,/cbb/boxscores/2024-01-30-21-north-carolina-state.html,"Tue, Jan 30, 2024",9:00p,REG,/cbb/schools/miami-fl/men/2024.html,Miami (FL),/cbb/conferences/acc/men/2024.html,ACC,9.51,W,74,68,14,7,W 1,PNC Arena,/cbb/schools/north-carolina-state/men/2024.html,,
21,/cbb/boxscores/2024-02-03-17-north-carolina-state.html,"Sat, Feb 3, 2024",5:30p,REG,/cbb/schools/georgia-tech/men/2024.html,Georgia Tech,/cbb/conferences/acc/men/2024.html,ACC,4.52,W,82,76,15,7,W 2,PNC Arena,/cbb/schools/north-carolina-state/men/2024.html,,
22,/cbb/boxscores/2024-02-07-19-north-carolina-state.html,"Wed, Feb 7, 2024",7:00p,REG,/cbb/schools/pittsburgh/men/2024.html,Pittsburgh,/cbb/conferences/acc/men/2024.html,ACC,14.75,L,64,67,15,8,L 1,PNC Arena,/cbb/schools/north-carolina-state/men/2024.html,,
23,/cbb/boxscores/2024-02-10-16-wake-forest.html,"Sat, Feb 10, 2024",4:00p,REG,/cbb/schools/wake-forest/men/2024.html,Wake Forest,/cbb/conferences/acc/men/2024.html,ACC,15.17,L,79,83,15,9,L 2,Lawrence Joel Coliseum,/cbb/schools/north-carolina-state/men/2024.html,@,
24,/cbb/boxscores/2024-02-17-19-clemson.html,"Sat, Feb 17, 2024",7:45p,REG,/cbb/schools/clemson/men/2024.html,Clemson,/cbb/conferences/acc/men/2024.html,ACC,14.89,W,78,77,16,9,W 1,Littlejohn Coliseum,/cbb/schools/north-carolina-state/men/2024.html,@,
25,/cbb/boxscores/2024-02-20-19-north-carolina-state.html,"Tue, Feb 20, 2024",7:00p,REG,/cbb/schools/syracuse/men/2024.html,Syracuse,/cbb/conferences/acc/men/2024.html,ACC,8.28,L,83,87,16,10,L 1,PNC Arena,/cbb/schools/north-carolina-state/men/2024.html,,
26,/cbb/boxscores/2024-02-24-14-north-carolina-state.html,"Sat, Feb 24, 2024",2:00p,REG,/cbb/schools/boston-college/men/2024.html,Boston College,/cbb/conferences/acc/men/2024.html,ACC,9.60,W,81,70,17,10,W 1,PNC Arena,/cbb/schools/north-carolina-state/men/2024.html,,
27,/cbb/boxscores/2024-02-27-21-florida-state.html,"Tue, Feb 27, 2024",9:00p,REG,/cbb/schools/florida-state/men/2024.html,Florida State,/cbb/conferences/acc/men/2024.html,ACC,9.43,L,83,90,17,11,L 1,Donald L. Tucker Civic Center,/cbb/schools/north-carolina-state/men/2024.html,@,
28,/cbb/boxscores/2024-03-02-16-north-carolina.html,"Sat, Mar 2, 2024",4:00p,REG,/cbb/schools/north-carolina/men/2024.html,North Carolina,/cbb/conferences/acc/men/2024.html,ACC,20.93,L,70,79,17,12,L 2,Dean Smith Center,/cbb/schools/north-carolina-state/men/2024.html,@,
