,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2023-11-06-19-ohio-state.html,"Mon, Nov 6, 2023",7:00p,REG,@,/cbb/schools/ohio-state/men/2024.html,Ohio State,/cbb/conferences/big-ten/men/2024.html,Big Ten,13.92,L,73,79,0,1,L 1,Value City Arena,/cbb/schools/oakland/men/2024.html,
1,/cbb/boxscores/2023-11-10-20-illinois.html,"Fri, Nov 10, 2023",8:00p,REG,@,/cbb/schools/illinois/men/2024.html,Illinois,/cbb/conferences/big-ten/men/2024.html,Big Ten,19.84,L,53,64,0,2,L 2,State Farm Center,/cbb/schools/oakland/men/2024.html,
2,/cbb/boxscores/2023-11-14-19-oakland.html,"Tue, Nov 14, 2023",7:00p,REG,,/cbb/schools/bowling-green-state/men/2024.html,Bowling Green State,/cbb/conferences/mac/men/2024.html,MAC,-4.75,W,81,62,1,2,W 1,Athletics Center O''rena,/cbb/schools/oakland/men/2024.html,
3,/cbb/boxscores/2023-11-19-11-drake.html,"Sun, Nov 19, 2023",11:00a,REG,N,/cbb/schools/drake/men/2024.html,Drake,/cbb/conferences/mvc/men/2024.html,MVC,11.30,L,77,85,1,3,L 1,John Gray Gymnasium,/cbb/schools/oakland/men/2024.html,
4,/cbb/boxscores/2023-11-20-11-loyola-marymount.html,"Mon, Nov 20, 2023",11:00a,REG,N,/cbb/schools/loyola-marymount/men/2024.html,Loyola Marymount,/cbb/conferences/wcc/men/2024.html,WCC,0.16,W,74,69,2,3,W 1,John Gray Gymnasium,/cbb/schools/oakland/men/2024.html,
5,/cbb/boxscores/2023-11-21-13-marshall.html,"Tue, Nov 21, 2023",1:30p,REG,N,/cbb/schools/marshall/men/2024.html,Marshall,/cbb/conferences/sun-belt/men/2024.html,Sun Belt,-5.16,W,78,71,3,3,W 2,John Gray Gymnasium,/cbb/schools/oakland/men/2024.html,
6,/cbb/boxscores/2023-11-27-18-xavier.html,"Mon, Nov 27, 2023",6:30p,REG,@,/cbb/schools/xavier/men/2024.html,Xavier,/cbb/conferences/big-east/men/2024.html,Big East,11.88,W,78,76,4,3,W 3,Cintas Center,/cbb/schools/oakland/men/2024.html,
7,/cbb/boxscores/2023-11-29-19-detroit-mercy.html,"Wed, Nov 29, 2023",7:00p,REG,@,/cbb/schools/detroit-mercy/men/2024.html,Detroit Mercy,/cbb/conferences/horizon/men/2024.html,Horizon,-16.75,W,65,50,5,3,W 4,Calihan Hall,/cbb/schools/oakland/men/2024.html,
8,/cbb/boxscores/2023-12-02-00-oakland.html,"Sat, Dec 2, 2023",3:00p,REG,,/cbb/schools/ipfw/men/2024.html,Purdue Fort Wayne,/cbb/conferences/horizon/men/2024.html,Horizon,-0.30,L,77,98,5,4,L 1,Athletics Center O''rena,/cbb/schools/oakland/men/2024.html,
9,/cbb/boxscores/2023-12-06-19-oakland.html,"Wed, Dec 6, 2023",7:00p,REG,,/cbb/schools/toledo/men/2024.html,Toledo,/cbb/conferences/mac/men/2024.html,MAC,1.99,L,68,69,5,5,L 2,Athletics Center O''rena,/cbb/schools/oakland/men/2024.html,
10,/cbb/boxscores/2023-12-08-19-eastern-michigan.html,"Fri, Dec 8, 2023",7:00p,REG,@,/cbb/schools/eastern-michigan/men/2024.html,Eastern Michigan,/cbb/conferences/mac/men/2024.html,MAC,-12.56,W,77,63,6,5,W 1,George Gervin GameAbove Center,/cbb/schools/oakland/men/2024.html,
11,/cbb/boxscores/2023-12-18-19-michigan-state.html,"Mon, Dec 18, 2023",7:00p,REG,@,/cbb/schools/michigan-state/men/2024.html,Michigan State,/cbb/conferences/big-ten/men/2024.html,Big Ten,17.87,L,62,79,6,6,L 1,Breslin Student Events Center,/cbb/schools/oakland/men/2024.html,
