,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,oppLink,confLink,srs,game_location,overtimes
0,/cbb/boxscores/2023-11-06-22-saint-marys-ca.html,"Mon, Nov 6, 2023",10:00p,REG,Cal State Stanislaus,,W,107,28,1,0,W 1,University Credit Union Pavilion,/cbb/schools/saint-marys-ca/men/2024.html,,,,,
1,/cbb/boxscores/2023-11-09-22-saint-marys-ca.html,"Thu, Nov 9, 2023",10:00p,REG,New Mexico,MWC,W,72,58,2,0,W 2,University Credit Union Pavilion,/cbb/schools/saint-marys-ca/men/2024.html,/cbb/schools/new-mexico/men/2024.html,/cbb/conferences/mwc/men/2024.html,16.14,,
2,/cbb/boxscores/2023-11-12-20-saint-marys-ca.html,"Sun, Nov 12, 2023",8:00p,REG,Weber State,Big Sky,L,57,61,2,1,L 1,University Credit Union Pavilion,/cbb/schools/saint-marys-ca/men/2024.html,/cbb/schools/weber-state/men/2024.html,/cbb/conferences/big-sky/men/2024.html,-0.11,,
3,/cbb/boxscores/2023-11-17-21-saint-marys-ca.html,"Fri, Nov 17, 2023",9:30p,REG,San Diego State,MWC,L,54,79,2,2,L 2,T-Mobile Arena,/cbb/schools/saint-marys-ca/men/2024.html,/cbb/schools/san-diego-state/men/2024.html,/cbb/conferences/mwc/men/2024.html,15.42,N,
4,/cbb/boxscores/2023-11-19-19-saint-marys-ca.html,"Sun, Nov 19, 2023",7:30p,REG,Xavier,Big East,L,49,66,2,3,L 3,T-Mobile Arena,/cbb/schools/saint-marys-ca/men/2024.html,/cbb/schools/xavier/men/2024.html,/cbb/conferences/big-east/men/2024.html,11.88,N,
5,/cbb/boxscores/2023-11-24-16-saint-marys-ca.html,"Fri, Nov 24, 2023",4:00p,REG,Davidson,A-10,W,89,55,3,3,W 1,University Credit Union Pavilion,/cbb/schools/saint-marys-ca/men/2024.html,/cbb/schools/davidson/men/2024.html,/cbb/conferences/atlantic-10/men/2024.html,3.78,,
6,/cbb/boxscores/2023-11-27-23-saint-marys-ca.html,"Mon, Nov 27, 2023",11:00p,REG,Utah,Pac-12,L,71,78,3,4,L 1,University Credit Union Pavilion,/cbb/schools/saint-marys-ca/men/2024.html,/cbb/schools/utah/men/2024.html,/cbb/conferences/pac-12/men/2024.html,15.03,,
7,/cbb/boxscores/2023-12-01-22-boise-state.html,"Fri, Dec 1, 2023",10:30p,REG,Boise State,MWC,L,60,63,3,5,L 2,,/cbb/schools/saint-marys-ca/men/2024.html,/cbb/schools/boise-state/men/2024.html,/cbb/conferences/mwc/men/2024.html,13.81,N,
8,/cbb/boxscores/2023-12-05-22-saint-marys-ca.html,"Tue, Dec 5, 2023",10:00p,REG,Cleveland State,Horizon,W,70,57,4,5,W 1,University Credit Union Pavilion,/cbb/schools/saint-marys-ca/men/2024.html,/cbb/schools/cleveland-state/men/2024.html,/cbb/conferences/horizon/men/2024.html,-2.91,,
9,/cbb/boxscores/2023-12-09-18-colorado-state.html,"Sat, Dec 9, 2023",6:30p,REG,Colorado State,MWC,W,64,61,5,5,W 2,Moby Arena,/cbb/schools/saint-marys-ca/men/2024.html,/cbb/schools/colorado-state/men/2024.html,/cbb/conferences/mwc/men/2024.html,14.21,@,
10,/cbb/boxscores/2023-12-16-19-saint-marys-ca.html,"Sat, Dec 16, 2023",7:00p,REG,Nevada-Las Vegas,MWC,W,69,67,6,5,W 3,Footprint Center,/cbb/schools/saint-marys-ca/men/2024.html,/cbb/schools/nevada-las-vegas/men/2024.html,/cbb/conferences/mwc/men/2024.html,9.17,N,2OT
11,/cbb/boxscores/2023-12-19-22-saint-marys-ca.html,"Tue, Dec 19, 2023",10:00p,REG,Middle Tennessee,CUSA,W,71,34,7,5,W 4,University Credit Union Pavilion,/cbb/schools/saint-marys-ca/men/2024.html,/cbb/schools/middle-tennessee/men/2024.html,/cbb/conferences/cusa/men/2024.html,-7.23,,
12,/cbb/boxscores/2023-12-21-22-saint-marys-ca.html,"Thu, Dec 21, 2023",10:00p,REG,Northern Kentucky,Horizon,W,92,56,8,5,W 5,University Credit Union Pavilion,/cbb/schools/saint-marys-ca/men/2024.html,/cbb/schools/northern-kentucky/men/2024.html,/cbb/conferences/horizon/men/2024.html,-3.45,,
13,/cbb/boxscores/2023-12-23-20-saint-marys-ca.html,"Sat, Dec 23, 2023",8:00p,REG,Missouri State,MVC,L,64,69,8,6,L 1,University Credit Union Pavilion,/cbb/schools/saint-marys-ca/men/2024.html,/cbb/schools/missouri-state/men/2024.html,/cbb/conferences/mvc/men/2024.html,1.18,,
