,boxScorelink,date,time_game,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2023-11-06-19-seton-hall.html,"Mon, Nov 6, 2023",7:30p,REG,@,/cbb/schools/seton-hall/men/2024.html,Seton Hall,/cbb/conferences/big-east/men/2024.html,Big East,11.12,L,59,70,0,1,L 1,Prudential Center,/cbb/schools/saint-peters/men/2024.html,
1,/cbb/boxscores/2023-11-11-16-njit.html,"Sat, Nov 11, 2023",4:00p,REG,@,/cbb/schools/njit/men/2024.html,NJIT,/cbb/conferences/america-east/men/2024.html,AEC,-14.53,W,75,48,1,1,W 1,Wellness and Events Center,/cbb/schools/saint-peters/men/2024.html,
2,/cbb/boxscores/2023-11-15-19-fairleigh-dickinson.html,"Wed, Nov 15, 2023",7:00p,REG,@,/cbb/schools/fairleigh-dickinson/men/2024.html,FDU,/cbb/conferences/northeast/men/2024.html,NEC,-14.36,L,70,71,1,2,L 1,Rothman Center,/cbb/schools/saint-peters/men/2024.html,
3,/cbb/boxscores/2023-11-20-19-saint-peters.html,"Mon, Nov 20, 2023",7:00p,REG,,/cbb/schools/massachusetts-lowell/men/2024.html,Massachusetts-Lowell,/cbb/conferences/america-east/men/2024.html,AEC,-1.15,L,61,69,1,3,L 2,Yanitelli Center,/cbb/schools/saint-peters/men/2024.html,
4,/cbb/boxscores/2023-11-27-19-rutgers.html,"Mon, Nov 27, 2023",7:00p,REG,@,/cbb/schools/rutgers/men/2024.html,Rutgers,/cbb/conferences/big-ten/men/2024.html,Big Ten,7.61,L,40,71,1,4,L 3,Jersey Mike's Arena,/cbb/schools/saint-peters/men/2024.html,
5,/cbb/boxscores/2023-12-01-19-niagara.html,"Fri, Dec 1, 2023",7:00p,REG,@,/cbb/schools/niagara/men/2024.html,Niagara,/cbb/conferences/maac/men/2024.html,MAAC,-8.19,W,72,67,2,4,W 1,Gallagher Center,/cbb/schools/saint-peters/men/2024.html,
6,/cbb/boxscores/2023-12-03-13-canisius.html,"Sun, Dec 3, 2023",1:00p,REG,@,/cbb/schools/canisius/men/2024.html,Canisius,/cbb/conferences/maac/men/2024.html,MAAC,-7.74,W,54,52,3,4,W 2,Koessler Athletic Center,/cbb/schools/saint-peters/men/2024.html,
7,/cbb/boxscores/2023-12-08-00-duquesne.html,"Fri, Dec 8, 2023",7:00p,REG,@,/cbb/schools/duquesne/men/2024.html,Duquesne,/cbb/conferences/atlantic-10/men/2024.html,A-10,7.50,L,59,68,3,5,L 1,UMPC Cooper Fieldhouse,/cbb/schools/saint-peters/men/2024.html,
8,/cbb/boxscores/2023-12-12-00-saint-peters.html,"Tue, Dec 12, 2023",7:00p,REG,,/cbb/schools/maryland-baltimore-county/men/2024.html,Maryland-Baltimore County,/cbb/conferences/america-east/men/2024.html,AEC,-8.53,W,66,60,4,5,W 1,Yanitelli Center,/cbb/schools/saint-peters/men/2024.html,
9,/cbb/boxscores/2023-12-22-13-saint-peters.html,"Fri, Dec 22, 2023",1:00p,REG,,,Kean,,,,W,73,70,5,5,W 2,Yanitelli Center,/cbb/schools/saint-peters/men/2024.html,
10,/cbb/boxscores/2023-12-30-14-bucknell.html,"Sat, Dec 30, 2023",2:00p,REG,@,/cbb/schools/bucknell/men/2024.html,Bucknell,/cbb/conferences/patriot/men/2024.html,Patriot,-8.16,W,67,58,6,5,W 3,Sojka Pavilion,/cbb/schools/saint-peters/men/2024.html,
11,/cbb/boxscores/2024-01-05-19-saint-peters.html,"Fri, Jan 5, 2024",7:00p,REG,,/cbb/schools/iona/men/2024.html,Iona,/cbb/conferences/maac/men/2024.html,MAAC,-4.97,W,69,57,7,5,W 4,Yanitelli Center,/cbb/schools/saint-peters/men/2024.html,
12,/cbb/boxscores/2024-01-07-14-saint-peters.html,"Sun, Jan 7, 2024",2:00p,REG,,/cbb/schools/mount-st-marys/men/2024.html,Mount St. Mary's,/cbb/conferences/maac/men/2024.html,MAAC,-6.36,W,70,64,8,5,W 5,Yanitelli Center,/cbb/schools/saint-peters/men/2024.html,
13,/cbb/boxscores/2024-01-14-00-manhattan.html,"Sun, Jan 14, 2024",2:00p,REG,@,/cbb/schools/manhattan/men/2024.html,Manhattan,/cbb/conferences/maac/men/2024.html,MAAC,-15.12,W,81,68,9,5,W 6,Draddy Gymnasium,/cbb/schools/saint-peters/men/2024.html,
14,/cbb/boxscores/2024-01-19-19-fairfield.html,"Fri, Jan 19, 2024",7:00p,REG,@,/cbb/schools/fairfield/men/2024.html,Fairfield,/cbb/conferences/maac/men/2024.html,MAAC,-2.79,L,67,76,9,6,L 1,Leo D. Mahoney Arena,/cbb/schools/saint-peters/men/2024.html,
15,/cbb/boxscores/2024-01-21-14-saint-peters.html,"Sun, Jan 21, 2024",2:00p,REG,,/cbb/schools/canisius/men/2024.html,Canisius,/cbb/conferences/maac/men/2024.html,MAAC,-7.74,W,70,59,10,6,W 1,Yanitelli Center,/cbb/schools/saint-peters/men/2024.html,
16,/cbb/boxscores/2024-01-25-19-saint-peters.html,"Thu, Jan 25, 2024",7:00p,REG,,/cbb/schools/rider/men/2024.html,Rider,/cbb/conferences/maac/men/2024.html,MAAC,-5.50,L,57,62,10,7,L 1,Yanitelli Center,/cbb/schools/saint-peters/men/2024.html,
17,/cbb/boxscores/2024-01-28-14-siena.html,"Sun, Jan 28, 2024",2:00p,REG,@,/cbb/schools/siena/men/2024.html,Siena,/cbb/conferences/maac/men/2024.html,MAAC,-18.98,W,63,52,11,7,W 1,MVP Arena,/cbb/schools/saint-peters/men/2024.html,
18,/cbb/boxscores/2024-02-02-19-saint-peters.html,"Fri, Feb 2, 2024",7:00p,REG,,/cbb/schools/niagara/men/2024.html,Niagara,/cbb/conferences/maac/men/2024.html,MAAC,-8.19,L,59,68,11,8,L 1,Yanitelli Center,/cbb/schools/saint-peters/men/2024.html,OT
19,/cbb/boxscores/2024-02-04-14-marist.html,"Sun, Feb 4, 2024",2:00p,REG,@,/cbb/schools/marist/men/2024.html,Marist,/cbb/conferences/maac/men/2024.html,MAAC,-5.43,L,52,63,11,9,L 2,McCann Arena,/cbb/schools/saint-peters/men/2024.html,
20,/cbb/boxscores/2024-02-08-19-quinnipiac.html,"Thu, Feb 8, 2024",7:00p,REG,@,/cbb/schools/quinnipiac/men/2024.html,Quinnipiac,/cbb/conferences/maac/men/2024.html,MAAC,-2.81,L,73,84,11,10,L 3,,/cbb/schools/saint-peters/men/2024.html,
21,/cbb/boxscores/2024-02-10-14-saint-peters.html,"Sat, Feb 10, 2024",2:00p,REG,,/cbb/schools/fairfield/men/2024.html,Fairfield,/cbb/conferences/maac/men/2024.html,MAAC,-2.79,L,62,64,11,11,L 4,Yanitelli Center,/cbb/schools/saint-peters/men/2024.html,
22,/cbb/boxscores/2024-02-16-19-saint-peters.html,"Fri, Feb 16, 2024",7:00p,REG,,/cbb/schools/siena/men/2024.html,Siena,/cbb/conferences/maac/men/2024.html,MAAC,-18.98,W,75,53,12,11,W 1,Yanitelli Center,/cbb/schools/saint-peters/men/2024.html,
23,/cbb/boxscores/2024-02-18-13-iona.html,"Sun, Feb 18, 2024",1:00p,REG,@,/cbb/schools/iona/men/2024.html,Iona,/cbb/conferences/maac/men/2024.html,MAAC,-4.97,W,59,53,13,11,W 2,Hynes Athletic Center,/cbb/schools/saint-peters/men/2024.html,
24,/cbb/boxscores/2024-02-23-19-mount-st-marys.html,"Fri, Feb 23, 2024",7:00p,REG,@,/cbb/schools/mount-st-marys/men/2024.html,Mount St. Mary's,/cbb/conferences/maac/men/2024.html,MAAC,-6.36,W,70,65,14,11,W 3,Knott Arena,/cbb/schools/saint-peters/men/2024.html,
25,/cbb/boxscores/2024-02-25-15-saint-peters.html,"Sun, Feb 25, 2024",3:00p,REG,,/cbb/schools/marist/men/2024.html,Marist,/cbb/conferences/maac/men/2024.html,MAAC,-5.43,W,69,60,15,11,W 4,Yanitelli Center,/cbb/schools/saint-peters/men/2024.html,
26,/cbb/boxscores/2024-03-03-14-saint-peters.html,"Sun, Mar 3, 2024",2:00p,REG,,/cbb/schools/manhattan/men/2024.html,Manhattan,/cbb/conferences/maac/men/2024.html,MAAC,-15.12,W,89,57,16,11,W 5,Yanitelli Center,/cbb/schools/saint-peters/men/2024.html,
27,/cbb/boxscores/2024-03-07-20-rider.html,"Thu, Mar 7, 2024",8:00p,REG,@,/cbb/schools/rider/men/2024.html,Rider,/cbb/conferences/maac/men/2024.html,MAAC,-5.50,L,56,61,16,12,L 1,Alumni Gymnasium,/cbb/schools/saint-peters/men/2024.html,
28,/cbb/boxscores/2024-03-09-14-saint-peters.html,"Sat, Mar 9, 2024",2:00p,REG,,/cbb/schools/quinnipiac/men/2024.html,Quinnipiac,/cbb/conferences/maac/men/2024.html,MAAC,-2.81,L,74,89,16,13,L 2,Yanitelli Center,/cbb/schools/saint-peters/men/2024.html,
29,/cbb/boxscores/2024-03-14-21-rider.html,"Thu, Mar 14, 2024",9:00p,CTOURN,N,/cbb/schools/rider/men/2024.html,Rider,/cbb/conferences/maac/men/2024.html,MAAC,-5.50,W,50,48,17,13,W 1,,/cbb/schools/saint-peters/men/2024.html,
30,/cbb/boxscores/2024-03-15-18-quinnipiac.html,"Fri, Mar 15, 2024",6:30p,CTOURN,N,/cbb/schools/quinnipiac/men/2024.html,Quinnipiac,/cbb/conferences/maac/men/2024.html,MAAC,-2.81,W,62,60,18,13,W 2,,/cbb/schools/saint-peters/men/2024.html,
31,/cbb/boxscores/2024-03-16-19-fairfield.html,"Sat, Mar 16, 2024",7:30p,CTOURN,N,/cbb/schools/fairfield/men/2024.html,Fairfield,/cbb/conferences/maac/men/2024.html,MAAC,-2.79,W,68,63,19,13,W 3,,/cbb/schools/saint-peters/men/2024.html,
32,,"['Thu, Mar 21, 2024']",9:20p,NCAA,N,/cbb/schools/tennessee/men/2024.html,Tennessee,/cbb/conferences/sec/men/2024.html,SEC,21.77,,,,,,,Spectrum Center,/cbb/schools/saint-peters/men/2024.html,
