,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2023-11-06-21-south-dakota-state.html,"Mon, Nov 6, 2023",9:15p,REG,/cbb/schools/akron/men/2024.html,Akron,/cbb/conferences/mac/men/2024.html,MAC,3.02,L,75,81,0,1,L 1,Frost Arena,/cbb/schools/south-dakota-state/men/2024.html,,
1,/cbb/boxscores/2023-11-08-20-south-dakota-state.html,"Wed, Nov 8, 2023",8:00p,REG,,Dakota Wesleyan,,,,W,83,55,1,1,W 1,Frost Arena,/cbb/schools/south-dakota-state/men/2024.html,,
2,/cbb/boxscores/2023-11-13-20-kansas-state.html,"Mon, Nov 13, 2023",8:00p,REG,/cbb/schools/kansas-state/men/2024.html,Kansas State,/cbb/conferences/big-12/men/2024.html,Big 12,11.45,L,68,91,1,2,L 1,Bramlage Coliseum,/cbb/schools/south-dakota-state/men/2024.html,@,
3,/cbb/boxscores/2023-11-19-20-south-dakota-state.html,"Sun, Nov 19, 2023",8:00p,REG,/cbb/schools/central-florida/men/2024.html,UCF,/cbb/conferences/big-12/men/2024.html,Big 12,12.35,L,80,83,1,3,L 2,,/cbb/schools/south-dakota-state/men/2024.html,N,
4,/cbb/boxscores/2023-11-20-18-george-mason.html,"Mon, Nov 20, 2023",6:00p,REG,/cbb/schools/george-mason/men/2024.html,George Mason,/cbb/conferences/atlantic-10/men/2024.html,A-10,6.54,L,71,73,1,4,L 3,,/cbb/schools/south-dakota-state/men/2024.html,N,
5,/cbb/boxscores/2023-11-22-01-southern-mississippi.html,"Wed, Nov 22, 2023",8:00p,REG,/cbb/schools/southern-mississippi/men/2024.html,Southern Mississippi,/cbb/conferences/sun-belt/men/2024.html,Sun Belt,-5.67,W,65,54,2,4,W 1,Reed Green Coliseum,/cbb/schools/south-dakota-state/men/2024.html,@,
6,/cbb/boxscores/2023-11-27-20-south-dakota-state.html,"Mon, Nov 27, 2023",8:00p,REG,,Mount Marty,,,,W,92,70,3,4,W 2,Frost Arena,/cbb/schools/south-dakota-state/men/2024.html,,
7,/cbb/boxscores/2023-12-01-20-south-dakota-state.html,"Fri, Dec 1, 2023",8:00p,REG,/cbb/schools/towson/men/2024.html,Towson,/cbb/conferences/coastal/men/2024.html,CAA,0.35,W,61,48,4,4,W 3,Sanford Pentagon,/cbb/schools/south-dakota-state/men/2024.html,N,
8,/cbb/boxscores/2023-12-05-21-south-dakota-state.html,"Tue, Dec 5, 2023",9:15p,REG,/cbb/schools/kent-state/men/2024.html,Kent State,/cbb/conferences/mac/men/2024.html,MAC,-0.53,L,73,82,4,5,L 1,Frost Arena,/cbb/schools/south-dakota-state/men/2024.html,,
9,/cbb/boxscores/2023-12-09-19-south-dakota-state.html,"Sat, Dec 9, 2023",7:00p,REG,/cbb/schools/wichita-state/men/2024.html,Wichita State,/cbb/conferences/aac/men/2024.html,AAC,2.30,W,79,69,5,5,W 1,Intrust Bank Arena,/cbb/schools/south-dakota-state/men/2024.html,N,
10,/cbb/boxscores/2023-12-14-20-south-dakota-state.html,"Thu, Dec 14, 2023",8:00p,REG,,Mayville State,,,,W,94,62,6,5,W 2,Frost Arena,/cbb/schools/south-dakota-state/men/2024.html,,
11,/cbb/boxscores/2023-12-20-19-south-dakota-state.html,"Wed, Dec 20, 2023",7:00p,REG,/cbb/schools/wyoming/men/2024.html,Wyoming,/cbb/conferences/mwc/men/2024.html,MWC,1.06,L,65,78,6,6,L 1,Don Haskins Center,/cbb/schools/south-dakota-state/men/2024.html,N,
12,/cbb/boxscores/2023-12-21-19-norfolk-state.html,"Thu, Dec 21, 2023",7:00p,REG,/cbb/schools/norfolk-state/men/2024.html,Norfolk State,/cbb/conferences/meac/men/2024.html,MEAC,-6.32,L,65,84,6,7,L 2,Don Haskins Center,/cbb/schools/south-dakota-state/men/2024.html,N,
13,/cbb/boxscores/2023-12-31-15-south-dakota-state.html,"Sun, Dec 31, 2023",3:00p,REG,/cbb/schools/north-dakota/men/2024.html,North Dakota,/cbb/conferences/summit/men/2024.html,Summit,-5.94,W,80,61,7,7,W 1,Frost Arena,/cbb/schools/south-dakota-state/men/2024.html,,
14,/cbb/boxscores/2024-01-03-21-weber-state.html,"Wed, Jan 3, 2024",9:00p,REG,/cbb/schools/weber-state/men/2024.html,Weber State,/cbb/conferences/big-sky/men/2024.html,Big Sky,-0.11,L,73,75,7,8,L 1,Dee Events Center,/cbb/schools/south-dakota-state/men/2024.html,@,
15,/cbb/boxscores/2024-01-06-17-south-dakota-state.html,"Sat, Jan 6, 2024",5:15p,REG,/cbb/schools/montana-state/men/2024.html,Montana State,/cbb/conferences/big-sky/men/2024.html,Big Sky,-5.01,W,89,61,8,8,W 1,Frost Arena,/cbb/schools/south-dakota-state/men/2024.html,,
