,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2023-11-06-20-texas.html,"Mon, Nov 6, 2023",8:00p,REG,/cbb/schools/incarnate-word/men/2024.html,Incarnate Word,/cbb/conferences/southland/men/2024.html,Southland,-16.10,W,88,56,1,0,W 1,Moody Center,/cbb/schools/texas/men/2024.html,,
1,/cbb/boxscores/2023-11-10-20-texas.html,"Fri, Nov 10, 2023",9:00p,REG,/cbb/schools/delaware-state/men/2024.html,Delaware State,/cbb/conferences/meac/men/2024.html,MEAC,-10.51,W,86,59,2,0,W 2,Moody Center,/cbb/schools/texas/men/2024.html,,
2,/cbb/boxscores/2023-11-15-21-texas.html,"Wed, Nov 15, 2023",9:00p,REG,/cbb/schools/rice/men/2024.html,Rice,/cbb/conferences/aac/men/2024.html,AAC,-2.92,W,80,64,3,0,W 3,Moody Center,/cbb/schools/texas/men/2024.html,,
3,/cbb/boxscores/2023-11-19-15-louisville.html,"Sun, Nov 19, 2023",3:30p,REG,/cbb/schools/louisville/men/2024.html,Louisville,/cbb/conferences/acc/men/2024.html,ACC,0.33,W,81,80,4,0,W 4,Madison Square Garden (IV),/cbb/schools/texas/men/2024.html,N,
4,/cbb/boxscores/2023-11-20-19-texas.html,"Mon, Nov 20, 2023",7:00p,REG,/cbb/schools/connecticut/men/2024.html,Connecticut,/cbb/conferences/big-east/men/2024.html,Big East,24.50,L,71,81,4,1,L 1,Madison Square Garden (IV),/cbb/schools/texas/men/2024.html,N,
5,/cbb/boxscores/2023-11-26-15-texas.html,"Sun, Nov 26, 2023",3:00p,REG,/cbb/schools/wyoming/men/2024.html,Wyoming,/cbb/conferences/mwc/men/2024.html,MWC,1.06,W,86,63,5,1,W 1,Moody Center,/cbb/schools/texas/men/2024.html,,
6,/cbb/boxscores/2023-11-30-01-texas.html,"Thu, Nov 30, 2023",9:00p,REG,/cbb/schools/texas-state/men/2024.html,Texas State,/cbb/conferences/sun-belt/men/2024.html,Sun Belt,-3.43,W,77,58,6,1,W 2,Moody Center,/cbb/schools/texas/men/2024.html,,
7,/cbb/boxscores/2023-12-06-20-marquette.html,"Wed, Dec 6, 2023",8:00p,REG,/cbb/schools/marquette/men/2024.html,Marquette,/cbb/conferences/big-east/men/2024.html,Big East,19.34,L,65,86,6,2,L 1,Fiserv Forum,/cbb/schools/texas/men/2024.html,@,
8,/cbb/boxscores/2023-12-09-15-texas.html,"Sat, Dec 9, 2023",3:00p,REG,/cbb/schools/houston-baptist/men/2024.html,Houston Christian,/cbb/conferences/southland/men/2024.html,Southland,-19.01,W,77,50,7,2,W 1,Moody Center,/cbb/schools/texas/men/2024.html,,
9,/cbb/boxscores/2023-12-16-12-louisiana-state.html,"Sat, Dec 16, 2023",12:00p,REG,/cbb/schools/louisiana-state/men/2024.html,Louisiana State,/cbb/conferences/sec/men/2024.html,SEC,8.41,W,96,85,8,2,W 2,Toyota Center,/cbb/schools/texas/men/2024.html,N,
10,/cbb/boxscores/2023-12-22-15-texas.html,"Fri, Dec 22, 2023",3:00p,REG,/cbb/schools/texas-am-corpus-christi/men/2024.html,Texas A&M-Corpus Christi,/cbb/conferences/southland/men/2024.html,Southland,-4.11,W,71,55,9,2,W 3,Moody Center,/cbb/schools/texas/men/2024.html,,
11,/cbb/boxscores/2023-12-29-20-texas.html,"Fri, Dec 29, 2023",8:00p,REG,/cbb/schools/north-carolina-greensboro/men/2024.html,UNC Greensboro,/cbb/conferences/southern/men/2024.html,Southern,-0.12,W,72,37,10,2,W 4,Moody Center,/cbb/schools/texas/men/2024.html,,
12,/cbb/boxscores/2024-01-01-01-texas.html,"Mon, Jan 1, 2024",2:00p,REG,/cbb/schools/texas-arlington/men/2024.html,UT Arlington,/cbb/conferences/wac/men/2024.html,WAC,2.49,W,79,62,11,2,W 5,Moody Center,/cbb/schools/texas/men/2024.html,,
13,/cbb/boxscores/2024-01-06-20-texas.html,"Sat, Jan 6, 2024",8:00p,REG,/cbb/schools/texas-tech/men/2024.html,Texas Tech,/cbb/conferences/big-12/men/2024.html,Big 12,15.82,L,67,78,11,3,L 1,Moody Center,/cbb/schools/texas/men/2024.html,,
14,/cbb/boxscores/2024-01-09-20-cincinnati.html,"Tue, Jan 9, 2024",7:00p,REG,/cbb/schools/cincinnati/men/2024.html,Cincinnati,/cbb/conferences/big-12/men/2024.html,Big 12,15.29,W,74,73,12,3,W 1,Fifth Third Arena,/cbb/schools/texas/men/2024.html,@,
15,/cbb/boxscores/2024-01-13-19-west-virginia.html,"Sat, Jan 13, 2024",6:00p,REG,/cbb/schools/west-virginia/men/2024.html,West Virginia,/cbb/conferences/big-12/men/2024.html,Big 12,4.07,L,73,76,12,4,L 1,WVU Coliseum,/cbb/schools/texas/men/2024.html,@,
16,/cbb/boxscores/2024-01-17-20-texas.html,"Wed, Jan 17, 2024",8:00p,REG,/cbb/schools/central-florida/men/2024.html,UCF,/cbb/conferences/big-12/men/2024.html,Big 12,12.35,L,71,77,12,5,L 2,Moody Center,/cbb/schools/texas/men/2024.html,,
17,/cbb/boxscores/2024-01-20-01-texas.html,"Sat, Jan 20, 2024",12:00p,REG,/cbb/schools/baylor/men/2024.html,Baylor,/cbb/conferences/big-12/men/2024.html,Big 12,20.09,W,75,73,13,5,W 1,Moody Center,/cbb/schools/texas/men/2024.html,,
18,/cbb/boxscores/2024-01-23-19-oklahoma.html,"Tue, Jan 23, 2024",7:00p,REG,/cbb/schools/oklahoma/men/2024.html,Oklahoma,/cbb/conferences/big-12/men/2024.html,Big 12,15.04,W,75,60,14,5,W 2,Lloyd Noble Center,/cbb/schools/texas/men/2024.html,@,
19,/cbb/boxscores/2024-01-27-13-brigham-young.html,"Sat, Jan 27, 2024",2:00p,REG,/cbb/schools/brigham-young/men/2024.html,Brigham Young,/cbb/conferences/big-12/men/2024.html,Big 12,20.22,L,72,84,14,6,L 1,Marriott Center,/cbb/schools/texas/men/2024.html,@,
20,/cbb/boxscores/2024-01-29-21-texas.html,"Mon, Jan 29, 2024",9:00p,REG,/cbb/schools/houston/men/2024.html,Houston,/cbb/conferences/big-12/men/2024.html,Big 12,26.20,L,72,76,14,7,L 2,Moody Center,/cbb/schools/texas/men/2024.html,,OT
21,/cbb/boxscores/2024-02-03-14-texas-christian.html,"Sat, Feb 3, 2024",2:00p,REG,/cbb/schools/texas-christian/men/2024.html,TCU,/cbb/conferences/big-12/men/2024.html,Big 12,15.55,W,77,66,15,7,W 1,Ed & Rae Schollmaier Arena,/cbb/schools/texas/men/2024.html,@,
22,/cbb/boxscores/2024-02-06-20-texas.html,"Tue, Feb 6, 2024",8:00p,REG,/cbb/schools/iowa-state/men/2024.html,Iowa State,/cbb/conferences/big-12/men/2024.html,Big 12,22.92,L,65,70,15,8,L 1,Moody Center,/cbb/schools/texas/men/2024.html,,
23,/cbb/boxscores/2024-02-10-15-texas.html,"Sat, Feb 10, 2024",3:00p,REG,/cbb/schools/west-virginia/men/2024.html,West Virginia,/cbb/conferences/big-12/men/2024.html,Big 12,4.07,W,94,58,16,8,W 1,Moody Center,/cbb/schools/texas/men/2024.html,,
