,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs,overtimes
0,/cbb/boxscores/2023-11-06-21-utah-state.html,"Mon, Nov 6, 2023",9:30p,REG,South Dakota Mines,,W,101,48,1,0,W 1,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2024.html,,,,,
1,/cbb/boxscores/2023-11-11-20-bradley.html,"Sat, Nov 11, 2023",8:00p,REG,Bradley,MVC,L,66,72,1,1,L 1,Carver Arena,/cbb/schools/utah-state/men/2024.html,@,/cbb/schools/bradley/men/2024.html,/cbb/conferences/mvc/men/2024.html,10.03,OT
2,/cbb/boxscores/2023-11-14-21-utah-state.html,"Tue, Nov 14, 2023",9:00p,REG,Southern Utah,WAC,W,93,84,2,1,W 1,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2024.html,,/cbb/schools/southern-utah/men/2024.html,/cbb/conferences/wac/men/2024.html,-5.66,
3,/cbb/boxscores/2023-11-19-17-marshall.html,"Sun, Nov 19, 2023",5:00p,REG,Marshall,Sun Belt,W,83,60,3,1,W 2,John Gray Gymnasium,/cbb/schools/utah-state/men/2024.html,N,/cbb/schools/marshall/men/2024.html,/cbb/conferences/sun-belt/men/2024.html,-5.16,
4,/cbb/boxscores/2023-11-20-19-akron.html,"Mon, Nov 20, 2023",7:30p,REG,Akron,MAC,W,65,62,4,1,W 3,John Gray Gymnasium,/cbb/schools/utah-state/men/2024.html,N,/cbb/schools/akron/men/2024.html,/cbb/conferences/mac/men/2024.html,3.02,
5,/cbb/boxscores/2023-11-21-19-stephen-f-austin.html,"Tue, Nov 21, 2023",7:30p,REG,Stephen F. Austin,WAC,W,79,49,5,1,W 4,John Gray Gymnasium,/cbb/schools/utah-state/men/2024.html,N,/cbb/schools/stephen-f-austin/men/2024.html,/cbb/conferences/wac/men/2024.html,-0.88,
6,/cbb/boxscores/2023-11-28-01-saint-louis.html,"Tue, Nov 28, 2023",8:00p,REG,Saint Louis,A-10,W,81,76,6,1,W 5,Chaifetz Arena,/cbb/schools/utah-state/men/2024.html,@,/cbb/schools/saint-louis/men/2024.html,/cbb/conferences/atlantic-10/men/2024.html,-1.41,
7,/cbb/boxscores/2023-12-02-02-utah-state.html,"Sat, Dec 2, 2023",9:00p,REG,UC Irvine,Big West,W,79,69,7,1,W 6,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2024.html,,/cbb/schools/california-irvine/men/2024.html,/cbb/conferences/big-west/men/2024.html,7.26,
8,/cbb/boxscores/2023-12-06-02-utah-state.html,"Wed, Dec 6, 2023",9:00p,REG,San Diego,WCC,W,108,81,8,1,W 7,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2024.html,,/cbb/schools/san-diego/men/2024.html,/cbb/conferences/wcc/men/2024.html,-5.05,
9,/cbb/boxscores/2023-12-09-21-utah-state.html,"Sat, Dec 9, 2023",9:00p,REG,Northwest Nazarene,,W,84,53,9,1,W 8,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2024.html,,,,,
