,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2023-11-06-23-washington-state.html,"Mon, Nov 6, 2023",11:00p,REG,/cbb/schools/idaho/men/2024.html,Idaho,/cbb/conferences/big-sky/men/2024.html,Big Sky,-10.95,W,84,59,1,0,W 1,Friel Court at Beasley Coliseum,/cbb/schools/washington-state/men/2024.html,,
1,/cbb/boxscores/2023-11-10-22-washington-state.html,"Fri, Nov 10, 2023",10:00p,REG,/cbb/schools/prairie-view/men/2024.html,Prairie View,/cbb/conferences/swac/men/2024.html,SWAC,-15.29,W,83,65,2,0,W 2,Friel Court at Beasley Coliseum,/cbb/schools/washington-state/men/2024.html,,
2,/cbb/boxscores/2023-11-18-12-mississippi-state.html,"Sat, Nov 18, 2023",12:00p,REG,/cbb/schools/mississippi-state/men/2024.html,Mississippi State,/cbb/conferences/sec/men/2024.html,SEC,14.92,L,64,76,2,1,L 1,Mohegan Sun Arena,/cbb/schools/washington-state/men/2024.html,N,
3,/cbb/boxscores/2023-11-19-15-rhode-island.html,"Sun, Nov 19, 2023",3:30p,REG,/cbb/schools/rhode-island/men/2024.html,Rhode Island,/cbb/conferences/atlantic-10/men/2024.html,A-10,-2.12,W,78,57,3,1,W 1,Mohegan Sun Arena,/cbb/schools/washington-state/men/2024.html,N,
4,/cbb/boxscores/2023-11-24-16-washington-state.html,"Fri, Nov 24, 2023",4:00p,REG,/cbb/schools/dixie-state/men/2024.html,Utah Tech,/cbb/conferences/wac/men/2024.html,WAC,-8.02,W,93,53,4,1,W 2,Friel Court at Beasley Coliseum,/cbb/schools/washington-state/men/2024.html,,
5,/cbb/boxscores/2023-11-27-22-washington-state.html,"Mon, Nov 27, 2023",10:00p,REG,/cbb/schools/eastern-washington/men/2024.html,Eastern Washington,/cbb/conferences/big-sky/men/2024.html,Big Sky,-0.67,W,82,72,5,1,W 3,Friel Court at Beasley Coliseum,/cbb/schools/washington-state/men/2024.html,,
6,/cbb/boxscores/2023-12-02-17-washington-state.html,"Sat, Dec 2, 2023",5:00p,REG,/cbb/schools/portland-state/men/2024.html,Portland State,/cbb/conferences/big-sky/men/2024.html,Big Sky,-6.76,W,71,61,6,1,W 4,Friel Court at Beasley Coliseum,/cbb/schools/washington-state/men/2024.html,,
7,/cbb/boxscores/2023-12-06-22-washington-state.html,"Wed, Dec 6, 2023",10:00p,REG,/cbb/schools/california-riverside/men/2024.html,UC Riverside,/cbb/conferences/big-west/men/2024.html,Big West,-3.97,W,86,49,7,1,W 5,Friel Court at Beasley Coliseum,/cbb/schools/washington-state/men/2024.html,,
8,/cbb/boxscores/2023-12-10-20-washington-state.html,"Sun, Dec 10, 2023",8:00p,REG,/cbb/schools/grambling/men/2024.html,Grambling,/cbb/conferences/swac/men/2024.html,SWAC,-9.68,W,83,65,8,1,W 6,Friel Court at Beasley Coliseum,/cbb/schools/washington-state/men/2024.html,,
9,/cbb/boxscores/2023-12-16-14-santa-clara.html,"Sat, Dec 16, 2023",2:00p,REG,/cbb/schools/santa-clara/men/2024.html,Santa Clara,/cbb/conferences/wcc/men/2024.html,WCC,5.65,L,61,69,8,2,L 1,Footprint Center,/cbb/schools/washington-state/men/2024.html,N,
10,/cbb/boxscores/2023-12-21-23-boise-state.html,"Thu, Dec 21, 2023",11:00p,REG,/cbb/schools/boise-state/men/2024.html,Boise State,/cbb/conferences/mwc/men/2024.html,MWC,13.81,W,66,61,9,2,W 1,Spokane Veterans Memorial Arena,/cbb/schools/washington-state/men/2024.html,N,
11,/cbb/boxscores/2023-12-29-20-utah.html,"Fri, Dec 29, 2023",8:30p,REG,/cbb/schools/utah/men/2024.html,Utah,/cbb/conferences/pac-12/men/2024.html,Pac-12,15.03,L,58,80,9,3,L 1,Jon M. Huntsman Center,/cbb/schools/washington-state/men/2024.html,@,
12,/cbb/boxscores/2023-12-31-14-colorado.html,"Sun, Dec 31, 2023",2:00p,REG,/cbb/schools/colorado/men/2024.html,Colorado,/cbb/conferences/pac-12/men/2024.html,Pac-12,16.18,L,67,74,9,4,L 2,CU Events Center,/cbb/schools/washington-state/men/2024.html,@,
13,/cbb/boxscores/2024-01-04-23-washington-state.html,"Thu, Jan 4, 2024",11:00p,REG,/cbb/schools/oregon-state/men/2024.html,Oregon State,/cbb/conferences/pac-12/men/2024.html,Pac-12,3.54,W,65,58,10,4,W 1,Friel Court at Beasley Coliseum,/cbb/schools/washington-state/men/2024.html,,
14,/cbb/boxscores/2024-01-06-03-washington-state.html,"Sat, Jan 6, 2024",10:00p,REG,/cbb/schools/oregon/men/2024.html,Oregon,/cbb/conferences/pac-12/men/2024.html,Pac-12,12.27,L,84,89,10,5,L 1,Friel Court at Beasley Coliseum,/cbb/schools/washington-state/men/2024.html,,
15,/cbb/boxscores/2024-01-10-22-southern-california.html,"Wed, Jan 10, 2024",10:30p,REG,/cbb/schools/southern-california/men/2024.html,Southern California,/cbb/conferences/pac-12/men/2024.html,Pac-12,9.59,W,72,64,11,5,W 1,Galen Center,/cbb/schools/washington-state/men/2024.html,@,
16,/cbb/boxscores/2024-01-13-18-washington-state.html,"Sat, Jan 13, 2024",6:00p,REG,/cbb/schools/arizona/men/2024.html,Arizona,/cbb/conferences/pac-12/men/2024.html,Pac-12,25.35,W,73,70,12,5,W 2,Friel Court at Beasley Coliseum,/cbb/schools/washington-state/men/2024.html,,
17,/cbb/boxscores/2024-01-18-23-stanford.html,"Thu, Jan 18, 2024",11:00p,REG,/cbb/schools/stanford/men/2024.html,Stanford,/cbb/conferences/pac-12/men/2024.html,Pac-12,7.65,W,89,75,13,5,W 3,Maples Pavilion,/cbb/schools/washington-state/men/2024.html,@,
18,/cbb/boxscores/2024-01-20-17-california.html,"Sat, Jan 20, 2024",5:00p,REG,/cbb/schools/california/men/2024.html,California,/cbb/conferences/pac-12/men/2024.html,Pac-12,5.23,L,75,81,13,6,L 1,Haas Pavilion,/cbb/schools/washington-state/men/2024.html,@,OT
19,/cbb/boxscores/2024-01-24-22-washington-state.html,"Wed, Jan 24, 2024",10:00p,REG,/cbb/schools/utah/men/2024.html,Utah,/cbb/conferences/pac-12/men/2024.html,Pac-12,15.03,W,79,57,14,6,W 1,Friel Court at Beasley Coliseum,/cbb/schools/washington-state/men/2024.html,,
20,/cbb/boxscores/2024-01-27-17-washington-state.html,"Sat, Jan 27, 2024",5:00p,REG,/cbb/schools/colorado/men/2024.html,Colorado,/cbb/conferences/pac-12/men/2024.html,Pac-12,16.18,W,78,69,15,6,W 2,Friel Court at Beasley Coliseum,/cbb/schools/washington-state/men/2024.html,,
