,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs,overtimes
0,/cbb/boxscores/2023-11-06-19-yale.html,"Mon, Nov 6, 2023",7:00p,REG,Vassar,,W,102,53,1,0,W 1,John J. Lee Amphitheater,/cbb/schools/yale/men/2024.html,,,,,
1,/cbb/boxscores/2023-11-10-21-gonzaga.html,"Fri, Nov 10, 2023",9:00p,REG,Gonzaga,WCC,L,71,86,1,1,L 1,McCarthey Athletic Center,/cbb/schools/yale/men/2024.html,@,/cbb/schools/gonzaga/men/2024.html,/cbb/conferences/wcc/men/2024.html,17.35,
2,/cbb/boxscores/2023-11-12-18-loyola-marymount.html,"Sun, Nov 12, 2023",6:00p,REG,Loyola Marymount,WCC,W,83,80,2,1,W 1,Gersten Pavilion,/cbb/schools/yale/men/2024.html,@,/cbb/schools/loyola-marymount/men/2024.html,/cbb/conferences/wcc/men/2024.html,0.16,
3,/cbb/boxscores/2023-11-17-18-colgate.html,"Fri, Nov 17, 2023",6:00p,REG,Colgate,Patriot,W,68,50,3,1,W 2,,/cbb/schools/yale/men/2024.html,N,/cbb/schools/colgate/men/2024.html,/cbb/conferences/patriot/men/2024.html,0.03,
4,/cbb/boxscores/2023-11-18-18-weber-state.html,"Sat, Nov 18, 2023",6:00p,REG,Weber State,Big Sky,L,65,75,3,2,L 1,,/cbb/schools/yale/men/2024.html,N,/cbb/schools/weber-state/men/2024.html,/cbb/conferences/big-sky/men/2024.html,-0.11,OT
5,/cbb/boxscores/2023-11-19-15-gardner-webb.html,"Sun, Nov 19, 2023",3:00p,REG,Gardner-Webb,Big South,W,71,70,4,2,W 1,,/cbb/schools/yale/men/2024.html,N,/cbb/schools/gardner-webb/men/2024.html,/cbb/conferences/big-south/men/2024.html,-4.45,OT
6,/cbb/boxscores/2023-11-26-16-rhode-island.html,"Sun, Nov 26, 2023",4:00p,REG,Rhode Island,A-10,L,72,76,4,3,L 1,Thomas M. Ryan Center,/cbb/schools/yale/men/2024.html,@,/cbb/schools/rhode-island/men/2024.html,/cbb/conferences/atlantic-10/men/2024.html,-2.12,
7,/cbb/boxscores/2023-11-29-19-yale.html,"Wed, Nov 29, 2023",7:00p,REG,Stony Brook,CAA,W,79,71,5,3,W 1,John J. Lee Amphitheater,/cbb/schools/yale/men/2024.html,,/cbb/schools/stony-brook/men/2024.html,/cbb/conferences/coastal/men/2024.html,-2.49,
8,/cbb/boxscores/2023-12-02-19-vermont.html,"Sat, Dec 2, 2023",7:00p,REG,Vermont,AEC,L,65,66,5,4,L 1,Roy L. Patrick Gymnasium,/cbb/schools/yale/men/2024.html,@,/cbb/schools/vermont/men/2024.html,/cbb/conferences/america-east/men/2024.html,2.90,
9,/cbb/boxscores/2023-12-06-19-yale.html,"Wed, Dec 6, 2023",7:00p,REG,Fairfield,MAAC,L,71,75,5,5,L 2,John J. Lee Amphitheater,/cbb/schools/yale/men/2024.html,,/cbb/schools/fairfield/men/2024.html,/cbb/conferences/maac/men/2024.html,-2.79,
10,/cbb/boxscores/2023-12-08-19-yale.html,"Fri, Dec 8, 2023",7:00p,REG,Colby-Sawyer,,W,95,36,6,5,W 1,John J. Lee Amphitheater,/cbb/schools/yale/men/2024.html,,,,,
